,country,participant,result,olympic_game,discipline,event
0,,,,London 1948,Water Polo,water polo men
1,,,,London 1948,Water Polo,water polo men
2,,,,London 1948,Water Polo,water polo men
3,,,,London 1948,Water Polo,water polo men
4,,,,London 1948,Water Polo,water polo men
5,,,,London 1948,Water Polo,water polo men
6,,,,London 1948,Water Polo,water polo men
7,,,,London 1948,Water Polo,water polo men
8,,,,London 1948,Water Polo,water polo men
9,,,,London 1948,Water Polo,water polo men
10,,,,London 1948,Water Polo,water polo men
11,,,,London 1948,Water Polo,water polo men
12,,,,London 1948,Water Polo,water polo men
13,,,,London 1948,Water Polo,water polo men
14,,,,London 1948,Water Polo,water polo men
15,,,,London 1948,Water Polo,water polo men
16,,,,London 1948,Water Polo,water polo men
17,,,,London 1948,Water Polo,water polo men
