,country,participant,result,olympic_game,discipline,event
0,KOR,jin hyek oh,,London 2012,Archery,individual FITA Olympic round  70m men
1,JPN,takaharu furukawa,,London 2012,Archery,individual FITA Olympic round  70m men
2,CHN,xiaoxiang dai,,London 2012,Archery,individual FITA Olympic round  70m men
3,NED,rick van der ven,,London 2012,Archery,individual FITA Olympic round  70m men
4,KOR,bubmin kim,,London 2012,Archery,individual FITA Olympic round  70m men
5,MAS,khairul anuar mohamad,,London 2012,Archery,individual FITA Olympic round  70m men
6,UKR,viktor ruban,,London 2012,Archery,individual FITA Olympic round  70m men
7,TPE,cheng-wei kuo,,London 2012,Archery,individual FITA Olympic round  70m men
8,KOR,dong-hyeon im,,London 2012,Archery,individual FITA Olympic round  70m men
9,UKR,markiyan ivashko,,London 2012,Archery,individual FITA Olympic round  70m men
10,NOR,baard magnus nesteng,,London 2012,Archery,individual FITA Olympic round  70m men
11,GBR,laurence godfrey,,London 2012,Archery,individual FITA Olympic round  70m men
12,POL,rafal dobrowolski,,London 2012,Archery,individual FITA Olympic round  70m men
13,FRA,gael prevost,,London 2012,Archery,individual FITA Olympic round  70m men
14,AUS,taylor worth,,London 2012,Archery,individual FITA Olympic round  70m men
15,MDA,dan olaru,,London 2012,Archery,individual FITA Olympic round  70m men
16,TPE,cheng pang wang,,London 2012,Archery,individual FITA Olympic round  70m men
17,KAZ,denis gankin,,London 2012,Archery,individual FITA Olympic round  70m men
18,MYA,nay myo aung,,London 2012,Archery,individual FITA Olympic round  70m men
19,EGY,ahmed el-nemr,,London 2012,Archery,individual FITA Olympic round  70m men
20,UKR,dmytro hrachov,,London 2012,Archery,individual FITA Olympic round  70m men
21,USA,jacob wukie,,London 2012,Archery,individual FITA Olympic round  70m men
22,CHN,yu xing,,London 2012,Archery,individual FITA Olympic round  70m men
23,MEX,juan rene serrano,,London 2012,Archery,individual FITA Olympic round  70m men
24,MEX,luis alvarez,,London 2012,Archery,individual FITA Olympic round  70m men
25,IND,rahul banerjee,,London 2012,Archery,individual FITA Olympic round  70m men
26,TPE,yu-cheng chen,,London 2012,Archery,individual FITA Olympic round  70m men
27,FRA,thomas faucheron,,London 2012,Archery,individual FITA Olympic round  70m men
28,MEX,luis eduardo velez,,London 2012,Archery,individual FITA Olympic round  70m men
29,USA,brady ellison,,London 2012,Archery,individual FITA Olympic round  70m men
30,GBR,simon terry,,London 2012,Archery,individual FITA Olympic round  70m men
31,IND,tarundeep rai,,London 2012,Archery,individual FITA Olympic round  70m men
32,SMR,emanuele guidi,,London 2012,Archery,individual FITA Olympic round  70m men
33,COL,daniel felipe pineda,,London 2012,Archery,individual FITA Olympic round  70m men
34,MAS,haziq kamaruddin,,London 2012,Archery,individual FITA Olympic round  70m men
35,LUX,jeff henckels,,London 2012,Archery,individual FITA Olympic round  70m men
36,FRA,romain girouille,,London 2012,Archery,individual FITA Olympic round  70m men
37,ESP,elias cuesta,,London 2012,Archery,individual FITA Olympic round  70m men
38,VEN,elias malave,,London 2012,Archery,individual FITA Olympic round  70m men
39,CAN,crispin duenas,,London 2012,Archery,individual FITA Olympic round  70m men
40,HKG,kar wai calvin lee,,London 2012,Archery,individual FITA Olympic round  70m men
41,ITA,michele frangilli,,London 2012,Archery,individual FITA Olympic round  70m men
42,JPN,hideki kikuchi,,London 2012,Archery,individual FITA Olympic round  70m men
43,IND,jayanta talukdar,,London 2012,Archery,individual FITA Olympic round  70m men
44,GER,camilo mayr,,London 2012,Archery,individual FITA Olympic round  70m men
45,MAS,chu sian cheng,,London 2012,Archery,individual FITA Olympic round  70m men
46,ITA,marco galiazzo,,London 2012,Archery,individual FITA Olympic round  70m men
47,BAN,md. emdadul haque milon,,London 2012,Archery,individual FITA Olympic round  70m men
48,SUI,axel muller,,London 2012,Archery,individual FITA Olympic round  70m men
49,BUL,yavor vasilev hristov,,London 2012,Archery,individual FITA Olympic round  70m men
50,MGL,gantögs jantsangiin,,London 2012,Archery,individual FITA Olympic round  70m men
51,BRA,daniel rezende xavier,,London 2012,Archery,individual FITA Olympic round  70m men
