,country,participant,result,olympic_game,discipline,event
0,GBR,chris hoy,,London 2012,Cycling Track,Keirin men
1,GER,maximilian levy,,London 2012,Cycling Track,Keirin men
2,NZL,simon van velthooven,,London 2012,Cycling Track,Keirin men
3,NED,teun mulder,,London 2012,Cycling Track,Keirin men
4,AUS,shane perkins,,London 2012,Cycling Track,Keirin men
5,MAS,azizulhasni awang,,London 2012,Cycling Track,Keirin men
6,TTO,njisane phillip,10.818,London 2012,Cycling Track,Keirin men
7,FRA,mickael bourgain,,London 2012,Cycling Track,Keirin men
8,GRE,christos volikakis,,London 2012,Cycling Track,Keirin men
9,ESP,juan peralta gascon,,London 2012,Cycling Track,Keirin men
10,JPN,kazunari watanabe,,London 2012,Cycling Track,Keirin men
11,VEN,hersony canelon,,London 2012,Cycling Track,Keirin men
12,CAN,joseph veloce,,London 2012,Cycling Track,Keirin men
13,POL,kamil kuczynski,,London 2012,Cycling Track,Keirin men
14,RUS,sergey borisov,,London 2012,Cycling Track,Keirin men
15,COL,fabian hernando puerta zapata,,London 2012,Cycling Track,Keirin men
16,CHN,miao zhang,,London 2012,Cycling Track,Keirin men
17,CZE,denis spicka,,London 2012,Cycling Track,Keirin men
0,GBR,victoria pendleton,,London 2012,Cycling Track,Keirin women
1,CHN,shuang guo,,London 2012,Cycling Track,Keirin women
2,HKG,wai sze lee,,London 2012,Cycling Track,Keirin women
3,FRA,clara sanchez,,London 2012,Cycling Track,Keirin women
4,AUS,anna meares,,London 2012,Cycling Track,Keirin women
5,CAN,monique sullivan,,London 2012,Cycling Track,Keirin women
6,LTU,simona krupeckaite,11.456,London 2012,Cycling Track,Keirin women
7,VEN,daniela greluis larreal chirinos,,London 2012,Cycling Track,Keirin women
8,GER,kristina vogel,,London 2012,Cycling Track,Keirin women
9,NZL,natasha hansen,,London 2012,Cycling Track,Keirin women
10,NED,willy kanis,,London 2012,Cycling Track,Keirin women
11,UKR,liubov basova,,London 2012,Cycling Track,Keirin women
12,CUB,lisandra guerra,,London 2012,Cycling Track,Keirin women
13,MAS,fatehah mustapa,,London 2012,Cycling Track,Keirin women
14,BLR,olqa panarina-i̇smayılova,,London 2012,Cycling Track,Keirin women
15,KOR,hyejin lee,,London 2012,Cycling Track,Keirin women
16,COL,juliana gaviria rendon,,London 2012,Cycling Track,Keirin women
17,RUS,ekaterina gnidenko,Disqualified,London 2012,Cycling Track,Keirin women
0,DEN,lasse norman hansen,27,London 2012,Cycling Track,Omnium men
1,FRA,bryan coquard,29,London 2012,Cycling Track,Omnium men
2,GBR,edward clancy,30,London 2012,Cycling Track,Omnium men
3,GER,roger kluge,33,London 2012,Cycling Track,Omnium men
4,AUS,glenn oshea,34,London 2012,Cycling Track,Omnium men
5,ITA,elia viviani,34,London 2012,Cycling Track,Omnium men
6,NZL,shane archbold,48,London 2012,Cycling Track,Omnium men
7,CAN,zachary bell,49,London 2012,Cycling Track,Omnium men
8,ESP,eloy teruel rovira,59,London 2012,Cycling Track,Omnium men
9,COL,juan esteban arango carvajal,60,London 2012,Cycling Track,Omnium men
10,KOR,ho-seong jo,60,London 2012,Cycling Track,Omnium men
11,USA,bobby lea,61,London 2012,Cycling Track,Omnium men
12,IRL,martyn irvine,64,London 2012,Cycling Track,Omnium men
13,ARG,walter fernando perez,72,London 2012,Cycling Track,Omnium men
14,BEL,gijs van hoecke,77,London 2012,Cycling Track,Omnium men
15,HKG,ki ho choi,89,London 2012,Cycling Track,Omnium men
16,VEN,carlos daniel linarez zambrano,96,London 2012,Cycling Track,Omnium men
17,CHI,luis mansilla,104,London 2012,Cycling Track,Omnium men
0,GBR,laura kenny,18,London 2012,Cycling Track,Omnium women
1,USA,sarah hammer,19,London 2012,Cycling Track,Omnium women
2,AUS,annette edmondson,24,London 2012,Cycling Track,Omnium women
3,CAN,tara whitten,37,London 2012,Cycling Track,Omnium women
4,BEL,jolien d'hoore,45,London 2012,Cycling Track,Omnium women
