,country,participant,result,olympic_game,discipline,event
0,FRA,teddy riner,,London 2012,Judo,100kg heavyweight men
1,RUS,alexander mikhaylin,,London 2012,Judo,100kg heavyweight men
2,GER,andreas toelzer,,London 2012,Judo,100kg heavyweight men
3,BRA,rafael silva,,London 2012,Judo,100kg heavyweight men
4,BLR,ihar makarau,,London 2012,Judo,100kg heavyweight men
5,KOR,sungmin kim,,London 2012,Judo,100kg heavyweight men
6,CUB,oscar brayson,,London 2012,Judo,100kg heavyweight men
7,HUN,barna bor,,London 2012,Judo,100kg heavyweight men
8,TUN,faicel jaballah,,London 2012,Judo,100kg heavyweight men
9,GUM,ricardo blas jr,,London 2012,Judo,100kg heavyweight men
10,JPN,daiki kamikawa,,London 2012,Judo,100kg heavyweight men
11,SLO,matjaz ceraj,,London 2012,Judo,100kg heavyweight men
12,ROU,vladut simionescu,,London 2012,Judo,100kg heavyweight men
13,MAR,el mehdi malki,,London 2012,Judo,100kg heavyweight men
14,LTU,marius paskevicius,,London 2012,Judo,100kg heavyweight men
15,GBR,christopher sherrington,,London 2012,Judo,100kg heavyweight men
16,POL,janusz wojnarowicz,,London 2012,Judo,100kg heavyweight men
17,KAZ,yerzhan shynkeyev,,London 2012,Judo,100kg heavyweight men
18,EST,martin padar,,London 2012,Judo,100kg heavyweight men
19,GUI,facinet keita,,London 2012,Judo,100kg heavyweight men
20,EGY,islam el shehaby,,London 2012,Judo,100kg heavyweight men
21,GUA,darrel castillo,,London 2012,Judo,100kg heavyweight men
22,PHI,tomohiko hoshina,,London 2012,Judo,100kg heavyweight men
23,UKR,stanislav bondarenko,,London 2012,Judo,100kg heavyweight men
24,GEO,adam okruashvili,,London 2012,Judo,100kg heavyweight men
25,KGZ,yury krakovetsky,,London 2012,Judo,100kg heavyweight men
26,NED,luuk verbij,,London 2012,Judo,100kg heavyweight men
27,ISL,thormodur jonsson,,London 2012,Judo,100kg heavyweight men
28,VAN,nazario fiakaifonu,,London 2012,Judo,100kg heavyweight men
29,COD,cedric mandembo,,London 2012,Judo,100kg heavyweight men
30,AUS,jake andrewartha,,London 2012,Judo,100kg heavyweight men
31,IRI,mohammad reza rodaki,Did not start,London 2012,Judo,100kg heavyweight men
0,PRK,kum ae an,,London 2012,Judo,48  52kg halflightweight women
1,CUB,yanet bermoy acosta,,London 2012,Judo,48  52kg halflightweight women
2,ITA,rosalba forciniti,,London 2012,Judo,48  52kg halflightweight women
3,FRA,priscilla gneto,,London 2012,Judo,48  52kg halflightweight women
4,LUX,marie muller,,London 2012,Judo,48  52kg halflightweight women
5,BEL,ilse heylen,,London 2012,Judo,48  52kg halflightweight women
6,MRI,christianne legentil,,London 2012,Judo,48  52kg halflightweight women
7,KOR,kyung-ok kim,,London 2012,Judo,48  52kg halflightweight women
8,MGL,bundmaa munkhbaatar,,London 2012,Judo,48  52kg halflightweight women
9,DOM,maria garcia,,London 2012,Judo,48  52kg halflightweight women
10,ROU,andreea chitu,,London 2012,Judo,48  52kg halflightweight women
11,ALB,majlinda kelmendi,,London 2012,Judo,48  52kg halflightweight women
12,JPN,misato nakamura,,London 2012,Judo,48  52kg halflightweight women
13,POR,joana ramos,,London 2012,Judo,48  52kg halflightweight women
14,BRA,erika miranda,,London 2012,Judo,48  52kg halflightweight women
15,GER,romy tarangul,,London 2012,Judo,48  52kg halflightweight women
16,HAI,linouse desravine,,London 2012,Judo,48  52kg halflightweight women
17,ESP,ana carrascosa,,London 2012,Judo,48  52kg halflightweight women
18,ALG,soraya haddad,,London 2012,Judo,48  52kg halflightweight women
19,FIN,jaana sundberg,,London 2012,Judo,48  52kg halflightweight women
20,GBR,sophie cox,,London 2012,Judo,48  52kg halflightweight women
21,CHN,hongmei he,,London 2012,Judo,48  52kg halflightweight women
22,RUS,nataliya kuzyutina,,London 2012,Judo,48  52kg halflightweight women
0,BRA,sarah menezes,,London 2012,Judo,48 kg women
1,ROU,alina dumitru,,London 2012,Judo,48 kg women
2,BEL,charline van snick,,London 2012,Judo,48 kg women
3,HUN,eva csernoviczki,,London 2012,Judo,48 kg women
4,ARG,paula pareto,,London 2012,Judo,48 kg women
5,JPN,tomoko fukumi,,London 2012,Judo,48 kg women
6,MGL,urantsetseg munkhbat,,London 2012,Judo,48 kg women
7,CHN,shugen wu,,London 2012,Judo,48 kg women
8,GBR,kelly edwards,,London 2012,Judo,48 kg women
9,ITA,elena moretti,,London 2012,Judo,48 kg women
10,CUB,dayaris mestre alvarez,,London 2012,Judo,48 kg women
11,KAZ,alexandra podryadova,,London 2012,Judo,48 kg women
12,FRA,laetitia payet,,London 2012,Judo,48 kg women
13,IRL,lisa kearney,,London 2012,Judo,48 kg women
14,KOR,jeong-yeon chung,,London 2012,Judo,48 kg women
15,NED,birgit ente,,London 2012,Judo,48 kg women
16,ESP,oiana blanco,,London 2012,Judo,48 kg women
17,RUS,nataliya kondratyeva,,London 2012,Judo,48 kg women
18,VIE,ngoc tu van,,London 2012,Judo,48 kg women
0,JPN,kaori matsumoto,,London 2012,Judo,52  57kg lightweight women
1,ROU,corina caprioriu,,London 2012,Judo,52  57kg lightweight women
2,USA,marti malloy,,London 2012,Judo,52  57kg lightweight women
3,FRA,automne pavia,,London 2012,Judo,52  57kg lightweight women
