,country,participant,result,olympic_game,discipline,event
0,USA,bob bryan,,London 2012,Tennis,doubles men
1,FRA,jo-wilfried tsonga,,London 2012,Tennis,doubles men
2,FRA,richard gasquet,,London 2012,Tennis,doubles men
3,ESP,feliciano lopez,,London 2012,Tennis,doubles men
4,ISR,andy ram,,London 2012,Tennis,doubles men
5,SRB,nenad zimonjic,,London 2012,Tennis,doubles men
6,CRO,ivan dodig,,London 2012,Tennis,doubles men
7,BRA,marcelo melo,,London 2012,Tennis,doubles men
8,RUS,nikolay davydenko,,London 2012,Tennis,doubles men
9,SUI,roger federer,,London 2012,Tennis,doubles men
10,CAN,daniel nestor,,London 2012,Tennis,doubles men
11,IND,rohan bopanna,,London 2012,Tennis,doubles men
12,SWE,robert lindstedt,,London 2012,Tennis,doubles men
13,AUT,jurgen melzer,,London 2012,Tennis,doubles men
14,CZE,radek stepanek,,London 2012,Tennis,doubles men
15,IND,leander paes,,London 2012,Tennis,doubles men
16,BRA,thomaz bellucci,,London 2012,Tennis,doubles men
17,GER,philipp petzschner,,London 2012,Tennis,doubles men
18,ESP,marcel granollers,,London 2012,Tennis,doubles men
19,JPN,go soeda,,London 2012,Tennis,doubles men
20,SVK,lukas lacko,,London 2012,Tennis,doubles men
21,ROU,adrian ungur,,London 2012,Tennis,doubles men
22,GBR,ross hutchins,,London 2012,Tennis,doubles men
23,BLR,alexander bury,,London 2012,Tennis,doubles men
24,SRB,novak djokovic,,London 2012,Tennis,doubles men
25,COL,santiago giraldo,,London 2012,Tennis,doubles men
26,GBR,andy murray,,London 2012,Tennis,doubles men
27,POL,marcin matkowski,,London 2012,Tennis,doubles men
28,ITA,andreas seppi,,London 2012,Tennis,doubles men
29,USA,andy roddick,,London 2012,Tennis,doubles men
30,NED,robin haase,,London 2012,Tennis,doubles men
31,ARG,david nalbandian,,London 2012,Tennis,doubles men
0,USA,venus williams,,London 2012,Tennis,doubles women
1,CZE,lucie hradecka,,London 2012,Tennis,doubles women
2,RUS,maria kirilenko,,London 2012,Tennis,doubles women
3,USA,liezel horn,,London 2012,Tennis,doubles women
4,RUS,elena vesnina,,London 2012,Tennis,doubles women
5,TPE,su-wei hsieh,,London 2012,Tennis,doubles women
6,CHN,jie zheng,,London 2012,Tennis,doubles women
7,ITA,sara errani,,London 2012,Tennis,doubles women
8,POL,urszula radwanska,,London 2012,Tennis,doubles women
9,GER,anna-lena groenefeld,,London 2012,Tennis,doubles women
10,CHN,shuai zhang,,London 2012,Tennis,doubles women
11,ITA,flavia pennetta,,London 2012,Tennis,doubles women
12,ESP,nuria llagostera vives,,London 2012,Tennis,doubles women
13,KAZ,yaroslava shvedova,,London 2012,Tennis,doubles women
14,GER,angelique kerber,,London 2012,Tennis,doubles women
15,SLO,andreja klepac,,London 2012,Tennis,doubles women
16,SVK,dominika cibulkova,,London 2012,Tennis,doubles women
17,GBR,anne keothavong,,London 2012,Tennis,doubles women
18,AUS,jarmila gajdosova,,London 2012,Tennis,doubles women
19,HUN,timea babos,,London 2012,Tennis,doubles women
20,ARG,gisela dulko,,London 2012,Tennis,doubles women
21,IND,rushmi chakarvarthi,,London 2012,Tennis,doubles women
22,ESP,arantxa parra-santonja,,London 2012,Tennis,doubles women
23,AUS,samantha stosur,,London 2012,Tennis,doubles women
24,FRA,kristina mladenovic,,London 2012,Tennis,doubles women
25,CAN,aleksandra wozniak,,London 2012,Tennis,doubles women
26,POL,klaudia jans-ignacik,,London 2012,Tennis,doubles women
27,GBR,heather watson,,London 2012,Tennis,doubles women
28,ROU,simona halep,,London 2012,Tennis,doubles women
29,GEO,margalita chakhnashvili,,London 2012,Tennis,doubles women
30,CZE,petra cetkovska,,London 2012,Tennis,doubles women
0,BLR,victoria azarenka,,London 2012,Tennis,mixed doubles mixed
1,GBR,andy murray,,London 2012,Tennis,mixed doubles mixed
2,USA,mike bryan,,London 2012,Tennis,mixed doubles mixed
3,GER,christopher kas,,London 2012,Tennis,mixed doubles mixed
4,IND,leander paes,,London 2012,Tennis,mixed doubles mixed
5,ARG,gisela dulko,,London 2012,Tennis,mixed doubles mixed
6,AUS,samantha stosur,,London 2012,Tennis,mixed doubles mixed
7,ITA,roberta vinci,,London 2012,Tennis,mixed doubles mixed
8,GER,philipp petzschner,,London 2012,Tennis,mixed doubles mixed
9,SRB,ana ivanovic,,London 2012,Tennis,mixed doubles mixed
10,ITA,sara errani,,London 2012,Tennis,mixed doubles mixed
11,RUS,elena vesnina,,London 2012,Tennis,mixed doubles mixed
12,CZE,radek stepanek,,London 2012,Tennis,mixed doubles mixed
13,POL,marcin matkowski,,London 2012,Tennis,mixed doubles mixed
14,SWE,sofia arvidsson,,London 2012,Tennis,mixed doubles mixed
15,USA,bob bryan,,London 2012,Tennis,mixed doubles mixed
0,GBR,andy murray,,London 2012,Tennis,Singles men
1,SUI,roger federer,,London 2012,Tennis,Singles men
2,ARG,juan martin del potro,,London 2012,Tennis,Singles men
3,SRB,novak djokovic,,London 2012,Tennis,Singles men
4,USA,john isner,,London 2012,Tennis,Singles men
5,JPN,kei nishikori,,London 2012,Tennis,Singles men
6,ESP,nicolas almagro,,London 2012,Tennis,Singles men
7,FRA,jo-wilfried tsonga,,London 2012,Tennis,Singles men
8,UZB,denis istomin,,London 2012,Tennis,Singles men
9,SRB,janko tipsarevic,,London 2012,Tennis,Singles men
10,ESP,david ferrer,,London 2012,Tennis,Singles men
11,FRA,gilles simon,,London 2012,Tennis,Singles men
12,BEL,steve darcis,,London 2012,Tennis,Singles men
13,CYP,markos pagdatis,,London 2012,Tennis,Singles men
14,ESP,feliciano lopez,,London 2012,Tennis,Singles men
15,AUS,lleyton hewitt,,London 2012,Tennis,Singles men
16,FRA,julien benneteau,,London 2012,Tennis,Singles men
17,LUX,gilles muller,,London 2012,Tennis,Singles men
18,TUN,malek jaziri,,London 2012,Tennis,Singles men
19,GER,philipp petzschner,,London 2012,Tennis,Singles men
20,SLO,blaz kavcic,,London 2012,Tennis,Singles men
21,RUS,nikolay davydenko,,London 2012,Tennis,Singles men
22,BUL,grigor dimitrov,,London 2012,Tennis,Singles men
