,country,participant,result,olympic_game,discipline,event
0,CAN,horace lefty gwynne,,Los Angeles 1932,Boxing,508  54kg bantamweight men
1,GER,hans ziglarski,,Los Angeles 1932,Boxing,508  54kg bantamweight men
2,PHI,josé luis villanueva,,Los Angeles 1932,Boxing,508  54kg bantamweight men
3,USA,joseph i. lang,,Los Angeles 1932,Boxing,508  54kg bantamweight men
4,ITA,vito melis,,Los Angeles 1932,Boxing,508  54kg bantamweight men
5,JPN,akira nakao,,Los Angeles 1932,Boxing,508  54kg bantamweight men
6,FRA,paul nicolas,,Los Angeles 1932,Boxing,508  54kg bantamweight men
7,ARG,carlos alberto pereyra,,Los Angeles 1932,Boxing,508  54kg bantamweight men
8,MEX,sabino tirado,,Los Angeles 1932,Boxing,508  54kg bantamweight men
9,IRL,paddy hughes,,Los Angeles 1932,Boxing,508  54kg bantamweight men
0,HUN,istvan enekes,,Los Angeles 1932,Boxing,508kg flyweight men
1,MEX,francisco cabanas,,Los Angeles 1932,Boxing,508kg flyweight men
2,USA,lou salica,,Los Angeles 1932,Boxing,508kg flyweight men
3,GBR,tommy pardoe,,Los Angeles 1932,Boxing,508kg flyweight men
4,JPN,kiyonobu murakami,,Los Angeles 1932,Boxing,508kg flyweight men
5,RSA,ivan duke,,Los Angeles 1932,Boxing,508kg flyweight men
6,GER,werner spannagel,,Los Angeles 1932,Boxing,508kg flyweight men
7,ITA,edelweiss rodriguez,,Los Angeles 1932,Boxing,508kg flyweight men
8,CAN,jackie callura,,Los Angeles 1932,Boxing,508kg flyweight men
9,ARG,juan jose trillo,,Los Angeles 1932,Boxing,508kg flyweight men
10,FRA,gaston fayaud,,Los Angeles 1932,Boxing,508kg flyweight men
11,PHI,john gray,,Los Angeles 1932,Boxing,508kg flyweight men
0,ARG,carmelo ambrosio robledo,,Los Angeles 1932,Boxing,54  5715kg featherweight men
1,GER,josef schleinkofer,,Los Angeles 1932,Boxing,54  5715kg featherweight men
2,SWE,allan carlsson-ekeback,,Los Angeles 1932,Boxing,54  5715kg featherweight men
3,ITA,gaspare alessandri,,Los Angeles 1932,Boxing,54  5715kg featherweight men
4,CAN,johnny keller,,Los Angeles 1932,Boxing,54  5715kg featherweight men
5,FRA,henri walter,,Los Angeles 1932,Boxing,54  5715kg featherweight men
6,IRL,ernie smith,,Los Angeles 1932,Boxing,54  5715kg featherweight men
7,USA,john hines,,Los Angeles 1932,Boxing,54  5715kg featherweight men
8,JPN,katsuo kameoka,,Los Angeles 1932,Boxing,54  5715kg featherweight men
9,MEX,miguel araico,,Los Angeles 1932,Boxing,54  5715kg featherweight men
0,RSA,lawrence stevens,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
1,SWE,thure ahlqvist,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
2,USA,nathan bor,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
3,ITA,mario bianchini,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
4,FRA,gaston mayor,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
5,CAN,frankie genovese,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
6,GER,franz kartz,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
7,MEX,manuel ponce,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
8,NZL,bob purdie,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
9,ARG,eduardo vargas,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
10,JPN,otsu shuko,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
11,PHI,jose padilla,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
12,GBR,hyman mizler,,Los Angeles 1932,Boxing,5715  6124kg lightweight men
0,USA,edward l. flynn,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
1,GER,erich campe,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
2,FIN,bruno valfrid ahlberg,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
3,GBR,david edward mccleave,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
4,DEN,carl jensen,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
5,ITA,luciano fabbroni,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
6,RSA,dick barton,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
7,FRA,lucien laplace,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
8,ARG,luis sardella,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
9,IRL,larry flood,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
10,PHI,carlos padilla,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
11,MEX,al romero,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
12,JPN,aikoku hirabayashi,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
13,SWE,nils althin,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
14,NZL,harold fred thomas,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
15,CAN,tony mancini,,Los Angeles 1932,Boxing,6124  6668kg welterweight men
0,USA,carmen barth,,Los Angeles 1932,Boxing,6668  7257kg middleweight men
1,ARG,amado azar,,Los Angeles 1932,Boxing,6668  7257kg middleweight men
2,RSA,eddie peirce,,Los Angeles 1932,Boxing,6668  7257kg middleweight men
3,FRA,roger michelot,,Los Angeles 1932,Boxing,6668  7257kg middleweight men
4,MEX,manuel cruz,,Los Angeles 1932,Boxing,6668  7257kg middleweight men
5,HUN,lajos szigeti,,Los Angeles 1932,Boxing,6668  7257kg middleweight men
6,ITA,aldo longinotti,,Los Angeles 1932,Boxing,6668  7257kg middleweight men
7,GER,hans bernlohr,,Los Angeles 1932,Boxing,6668  7257kg middleweight men
8,CAN,louis lavoie,,Los Angeles 1932,Boxing,6668  7257kg middleweight men
9,NZL,bert lowe,,Los Angeles 1932,Boxing,6668  7257kg middleweight men
0,RSA,dave carstens,,Los Angeles 1932,Boxing,7257  7938kg lightheavyweight men
1,ITA,gino rossi,,Los Angeles 1932,Boxing,7257  7938kg lightheavyweight men
2,DEN,peter oscar jorgensen,,Los Angeles 1932,Boxing,7257  7938kg lightheavyweight men
3,IRL,jim murphy,,Los Angeles 1932,Boxing,7257  7938kg lightheavyweight men
4,GRE,nikolaos mastoridis,,Los Angeles 1932,Boxing,7257  7938kg lightheavyweight men
5,USA,johnny miler,,Los Angeles 1932,Boxing,7257  7938kg lightheavyweight men
6,ARG,rafael lang,,Los Angeles 1932,Boxing,7257  7938kg lightheavyweight men
7,GER,hans berger,,Los Angeles 1932,Boxing,7257  7938kg lightheavyweight men
0,ARG,alberto santiago lovell,,Los Angeles 1932,Boxing,7938kg heavyweight men
1,ITA,luigi rovati,,Los Angeles 1932,Boxing,7938kg heavyweight men
2,USA,frederick feary,,Los Angeles 1932,Boxing,7938kg heavyweight men
3,CAN,george b. maughan,,Los Angeles 1932,Boxing,7938kg heavyweight men
4,GER,heinz kohlhaas,,Los Angeles 1932,Boxing,7938kg heavyweight men
5,FIN,gunnar rikard barlund,,Los Angeles 1932,Boxing,7938kg heavyweight men
