,country,participant,result,olympic_game,discipline,event
0,USA,robert edward pearce,,Los Angeles 1932,Wrestling,"Bantamweight, Freestyle (≤56 kilograms) Men"
1,HUN,ödön zombori,,Los Angeles 1932,Wrestling,"Bantamweight, Freestyle (≤56 kilograms) Men"
2,FIN,aatos tuomas jaskari,,Los Angeles 1932,Wrestling,"Bantamweight, Freestyle (≤56 kilograms) Men"
3,GRE,georgios zervinis,,Los Angeles 1932,Wrestling,"Bantamweight, Freestyle (≤56 kilograms) Men"
4,GBR,joe reid,,Los Angeles 1932,Wrestling,"Bantamweight, Freestyle (≤56 kilograms) Men"
5,FRA,julien depuychaffray,,Los Angeles 1932,Wrestling,"Bantamweight, Freestyle (≤56 kilograms) Men"
6,SWE,bror vingren,,Los Angeles 1932,Wrestling,"Bantamweight, Freestyle (≤56 kilograms) Men"
7,CAN,james trifunov,,Los Angeles 1932,Wrestling,"Bantamweight, Freestyle (≤56 kilograms) Men"
0,GER,jacob brendel,,Los Angeles 1932,Wrestling,"Bantamweight, Greco-Roman (≤56 kilograms) Men"
1,ITA,marcello nizzola,,Los Angeles 1932,Wrestling,"Bantamweight, Greco-Roman (≤56 kilograms) Men"
2,FRA,louis francois,,Los Angeles 1932,Wrestling,"Bantamweight, Greco-Roman (≤56 kilograms) Men"
3,SWE,herman tuvesson,,Los Angeles 1932,Wrestling,"Bantamweight, Greco-Roman (≤56 kilograms) Men"
4,GRE,georgios zervinis,,Los Angeles 1932,Wrestling,"Bantamweight, Greco-Roman (≤56 kilograms) Men"
5,FIN,aatos tuomas jaskari,,Los Angeles 1932,Wrestling,"Bantamweight, Greco-Roman (≤56 kilograms) Men"
6,HUN,laszlo szekfü,,Los Angeles 1932,Wrestling,"Bantamweight, Greco-Roman (≤56 kilograms) Men"
0,FIN,hermanni pihlajamäki,,Los Angeles 1932,Wrestling,"Featherweight, Freestyle (≤61 kilograms) Men"
1,USA,edgar nemir,,Los Angeles 1932,Wrestling,"Featherweight, Freestyle (≤61 kilograms) Men"
2,SWE,einar karlsson,,Los Angeles 1932,Wrestling,"Featherweight, Freestyle (≤61 kilograms) Men"
3,GBR,joseph william taylor,,Los Angeles 1932,Wrestling,"Featherweight, Freestyle (≤61 kilograms) Men"
4,GRE,ioannis farmakidis,,Los Angeles 1932,Wrestling,"Featherweight, Freestyle (≤61 kilograms) Men"
5,FRA,jean chasson,,Los Angeles 1932,Wrestling,"Featherweight, Freestyle (≤61 kilograms) Men"
6,DEN,christian schack,,Los Angeles 1932,Wrestling,"Featherweight, Freestyle (≤61 kilograms) Men"
7,MEX,fidel arellano,,Los Angeles 1932,Wrestling,"Featherweight, Freestyle (≤61 kilograms) Men"
8,CAN,herb rowland,,Los Angeles 1932,Wrestling,"Featherweight, Freestyle (≤61 kilograms) Men"
9,JPN,ichiro hatta,,Los Angeles 1932,Wrestling,"Featherweight, Freestyle (≤61 kilograms) Men"
0,ITA,giovanni gozzi,,Los Angeles 1932,Wrestling,"Featherweight, Greco-Roman (≤61 kilograms) Men"
1,GER,wolfgang ehrl,,Los Angeles 1932,Wrestling,"Featherweight, Greco-Roman (≤61 kilograms) Men"
2,FIN,lauri koskela,,Los Angeles 1932,Wrestling,"Featherweight, Greco-Roman (≤61 kilograms) Men"
3,TCH,jindrich maudr,,Los Angeles 1932,Wrestling,"Featherweight, Greco-Roman (≤61 kilograms) Men"
4,JPN,kiyoshi kase,,Los Angeles 1932,Wrestling,"Featherweight, Greco-Roman (≤61 kilograms) Men"
5,HUN,ödön zombori,,Los Angeles 1932,Wrestling,"Featherweight, Greco-Roman (≤61 kilograms) Men"
6,SWE,oscar lindelöf,,Los Angeles 1932,Wrestling,"Featherweight, Greco-Roman (≤61 kilograms) Men"
7,DEN,christian schack,,Los Angeles 1932,Wrestling,"Featherweight, Greco-Roman (≤61 kilograms) Men"
0,SWE,johan rickttoff,,Los Angeles 1932,Wrestling,"Heavyweight, Freestyle (>87 kilograms) Men"
1,USA,jack john riley,,Los Angeles 1932,Wrestling,"Heavyweight, Freestyle (>87 kilograms) Men"
2,AUT,nikolaus hirschl,,Los Angeles 1932,Wrestling,"Heavyweight, Freestyle (>87 kilograms) Men"
0,SWE,carl westergren,,Los Angeles 1932,Wrestling,"Heavyweight, Greco-Roman (>87 kilograms) Men"
1,TCH,josef urban,,Los Angeles 1932,Wrestling,"Heavyweight, Greco-Roman (>87 kilograms) Men"
2,AUT,nikolaus hirschl,,Los Angeles 1932,Wrestling,"Heavyweight, Greco-Roman (>87 kilograms) Men"
3,GER,georg gehring,,Los Angeles 1932,Wrestling,"Heavyweight, Greco-Roman (>87 kilograms) Men"
4,ITA,aleardo donati,,Los Angeles 1932,Wrestling,"Heavyweight, Greco-Roman (>87 kilograms) Men"
0,USA,peter joseph mehringer,,Los Angeles 1932,Wrestling,"Light-Heavyweight, Freestyle (≤87 kilograms) Men"
1,SWE,thure sjöstedt,,Los Angeles 1932,Wrestling,"Light-Heavyweight, Freestyle (≤87 kilograms) Men"
2,AUS,richard edward scarf,,Los Angeles 1932,Wrestling,"Light-Heavyweight, Freestyle (≤87 kilograms) Men"
3,CAN,harry madison,,Los Angeles 1932,Wrestling,"Light-Heavyweight, Freestyle (≤87 kilograms) Men"
0,SWE,rudolf svensson,,Los Angeles 1932,Wrestling,"Light-Heavyweight, Greco-Roman (≤87 kilograms) Men"
1,FIN,onni pellinen,,Los Angeles 1932,Wrestling,"Light-Heavyweight, Greco-Roman (≤87 kilograms) Men"
2,ITA,mario gruppioni,,Los Angeles 1932,Wrestling,"Light-Heavyweight, Greco-Roman (≤87 kilograms) Men"
0,FRA,charles pacôme,,Los Angeles 1932,Wrestling,"Lightweight, Freestyle (≤66 kilograms) Men"
1,HUN,károly kárpáti,,Los Angeles 1932,Wrestling,"Lightweight, Freestyle (≤66 kilograms) Men"
2,SWE,gustaf klarén,,Los Angeles 1932,Wrestling,"Lightweight, Freestyle (≤66 kilograms) Men"
3,FIN,kustaa pihlajamäki,,Los Angeles 1932,Wrestling,"Lightweight, Freestyle (≤66 kilograms) Men"
4,USA,mervin carl clodfelter,,Los Angeles 1932,Wrestling,"Lightweight, Freestyle (≤66 kilograms) Men"
5,JPN,eitaro suzuki,,Los Angeles 1932,Wrestling,"Lightweight, Freestyle (≤66 kilograms) Men"
6,CAN,howard w. thomas,,Los Angeles 1932,Wrestling,"Lightweight, Freestyle (≤66 kilograms) Men"
7,EST,osvald kapp,,Los Angeles 1932,Wrestling,"Lightweight, Freestyle (≤66 kilograms) Men"
0,SWE,erik malmberg,,Los Angeles 1932,Wrestling,"Lightweight, Greco-Roman (≤66 kilograms) Men"
