,country,participant,result,olympic_game,discipline,event
0,USA,darrell owen pace,"2,616",Los Angeles 1984,Archery,individual FITA round men
1,USA,richard lee mckinney,"2,564",Los Angeles 1984,Archery,individual FITA round men
2,JPN,hiroshi yamamoto,"2,563",Los Angeles 1984,Archery,individual FITA round men
3,JPN,takayoshi matsushita,"2,552",Los Angeles 1984,Archery,individual FITA round men
4,FIN,tomi poikolainen,"2,538",Los Angeles 1984,Archery,individual FITA round men
5,SWE,goran bjerendal,"2,522",Los Angeles 1984,Archery,individual FITA round men
6,BEL,marnix vervinck,"2,519",Los Angeles 1984,Archery,individual FITA round men
7,KOR,ja-cheong gu,"2,500",Los Angeles 1984,Archery,individual FITA round men
8,FRG,harry wittig,"2,497",Los Angeles 1984,Archery,individual FITA round men
9,FRG,armin garnreiter,"2,494",Los Angeles 1984,Archery,individual FITA round men
10,KOR,won-tae choi,"2,490",Los Angeles 1984,Archery,individual FITA round men
11,USA,glenn lee meyers,"2,488",Los Angeles 1984,Archery,individual FITA round men
12,NED,tiny reniers,"2,486",Los Angeles 1984,Archery,individual FITA round men
13,BEL,patrick de koning,"2,486",Los Angeles 1984,Archery,individual FITA round men
14,FRG,detlef kahlert,"2,486",Los Angeles 1984,Archery,individual FITA round men
15,INA,suradi rukimin,"2,485",Los Angeles 1984,Archery,individual FITA round men
16,FRA,gerard douis,"2,485",Los Angeles 1984,Archery,individual FITA round men
17,CHN,yongshan ba,"2,483",Los Angeles 1984,Archery,individual FITA round men
18,SWE,gert bjerendal,"2,481",Los Angeles 1984,Archery,individual FITA round men
19,SUI,thomas hardmeier,"2,476",Los Angeles 1984,Archery,individual FITA round men
20,GBR,steven hallard,"2,473",Los Angeles 1984,Archery,individual FITA round men
21,KOR,in-su jeon,"2,467",Los Angeles 1984,Archery,individual FITA round men
22,NOR,jan roger skyttesater,"2,465",Los Angeles 1984,Archery,individual FITA round men
23,LUX,andre braun,"2,459",Los Angeles 1984,Archery,individual FITA round men
24,ITA,giancarlo ferrari,"2,455",Los Angeles 1984,Archery,individual FITA round men
25,BEL,willy van den bossche,"2,454",Los Angeles 1984,Archery,individual FITA round men
26,SWE,tommy quick,"2,447",Los Angeles 1984,Archery,individual FITA round men
27,FIN,kyösti kalevi laasonen,"2,443",Los Angeles 1984,Archery,individual FITA round men
28,ITA,ilario di buo,"2,437",Los Angeles 1984,Archery,individual FITA round men
29,GBR,peter gillam,"2,435",Los Angeles 1984,Archery,individual FITA round men
30,AUS,christopher blake,"2,434",Los Angeles 1984,Archery,individual FITA round men
31,LUX,jean-claude rohla,"2,421",Los Angeles 1984,Archery,individual FITA round men
