,country,participant,result,olympic_game,discipline,event
0,USA,alexi s. grewal,04:59:57.000,Los Angeles 1984,Cycling Road,individual road race men
1,CAN,stephen bauer,,Los Angeles 1984,Cycling Road,individual road race men
2,NOR,dag otto lauritzen,,Los Angeles 1984,Cycling Road,individual road race men
3,NOR,morten sather,,Los Angeles 1984,Cycling Road,individual road race men
4,USA,davis welsh phinney,,Los Angeles 1984,Cycling Road,individual road race men
5,USA,thurlow thomas rogers,,Los Angeles 1984,Cycling Road,individual road race men
6,YUG,bojan ropret,,Los Angeles 1984,Cycling Road,individual road race men
7,COL,nestor mora,,Los Angeles 1984,Cycling Road,individual road race men
8,USA,ronald alexander kiefel,,Los Angeles 1984,Cycling Road,individual road race men
9,SUI,richard trinkler,,Los Angeles 1984,Cycling Road,individual road race men
10,MEX,raul alcala,,Los Angeles 1984,Cycling Road,individual road race men
11,SUI,stefan maurer,,Los Angeles 1984,Cycling Road,individual road race men
12,ITA,alberto volpi,,Los Angeles 1984,Cycling Road,individual road race men
13,SWE,per christiansson,,Los Angeles 1984,Cycling Road,individual road race men
14,AUT,helmut wechselberger,,Los Angeles 1984,Cycling Road,individual road race men
15,VEN,enrique campos,,Los Angeles 1984,Cycling Road,individual road race men
16,MEX,luis rosendo ramos,,Los Angeles 1984,Cycling Road,individual road race men
17,NZL,brian andrew fowler,,Los Angeles 1984,Cycling Road,individual road race men
18,IRL,martin earley,,Los Angeles 1984,Cycling Road,individual road race men
19,NOR,atle kvaalsvoll,,Los Angeles 1984,Cycling Road,individual road race men
20,COL,fabio parra,,Los Angeles 1984,Cycling Road,individual road race men
21,FRG,thomas freienstein,,Los Angeles 1984,Cycling Road,individual road race men
22,ESP,francisco antequera alabau,,Los Angeles 1984,Cycling Road,individual road race men
23,DEN,per johnny pedersen,,Los Angeles 1984,Cycling Road,individual road race men
24,FIN,kari myyrylainen,,Los Angeles 1984,Cycling Road,individual road race men
25,SWE,lars wahlqvist,,Los Angeles 1984,Cycling Road,individual road race men
26,IRL,paul kimmage,,Los Angeles 1984,Cycling Road,individual road race men
27,FRA,daniel amardeilh,,Los Angeles 1984,Cycling Road,individual road race men
28,FRA,philippe bouvatier,,Los Angeles 1984,Cycling Road,individual road race men
29,SWE,kjell nilsson,,Los Angeles 1984,Cycling Road,individual road race men
30,FIN,harry hannus,,Los Angeles 1984,Cycling Road,individual road race men
31,SWE,stefan brykt,,Los Angeles 1984,Cycling Road,individual road race men
32,CAN,louis garneau,,Los Angeles 1984,Cycling Road,individual road race men
33,AUT,kurt zellhofer,,Los Angeles 1984,Cycling Road,individual road race men
34,YUG,primoz cerin,,Los Angeles 1984,Cycling Road,individual road race men
35,FRG,achim stadler,,Los Angeles 1984,Cycling Road,individual road race men
36,NZL,stephen clifford cox,,Los Angeles 1984,Cycling Road,individual road race men
37,FIN,patrick rafael wackstrom,,Los Angeles 1984,Cycling Road,individual road race men
38,IRL,gary thomson,,Los Angeles 1984,Cycling Road,individual road race men
39,DEN,kim jolin eriksen,,Los Angeles 1984,Cycling Road,individual road race men
40,FRG,werner stauff,,Los Angeles 1984,Cycling Road,individual road race men
41,YUG,jure pavlic,,Los Angeles 1984,Cycling Road,individual road race men
42,IRL,seamus downey,,Los Angeles 1984,Cycling Road,individual road race men
43,NED,jean-paul van poppel,,Los Angeles 1984,Cycling Road,individual road race men
44,JPN,matsuyoshi takahashi,,Los Angeles 1984,Cycling Road,individual road race men
45,YUG,marko cuderman,,Los Angeles 1984,Cycling Road,individual road race men
46,MEX,salvador rios,,Los Angeles 1984,Cycling Road,individual road race men
47,KOR,se-yong park,,Los Angeles 1984,Cycling Road,individual road race men
48,AUT,johann traxler,,Los Angeles 1984,Cycling Road,individual road race men
49,AUS,jeffrey leslie,,Los Angeles 1984,Cycling Road,individual road race men
50,VEN,fernando correa,,Los Angeles 1984,Cycling Road,individual road race men
51,COL,carlos jaramillo,,Los Angeles 1984,Cycling Road,individual road race men
52,JAM,arthur tenn,,Los Angeles 1984,Cycling Road,individual road race men
53,MAR,mustapha najjari,,Los Angeles 1984,Cycling Road,individual road race men
54,AUS,michael lynch,,Los Angeles 1984,Cycling Road,individual road race men
55,ARG,luis alberto biera,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
56,AUS,gary trowell,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
57,AUS,john watters,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
58,AUT,paul popp,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
59,BEL,carlo bomans,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
60,BEL,ronny van sweevelt,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
61,BEL,frank verleyen,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
62,BER,john ford,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
63,BER,earl godfrey,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
64,BER,clyde wilson,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
65,BIZ,joslyn chavarria,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
66,BIZ,warren coye,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
67,BIZ,lindford gillitt,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
68,BIZ,wernell reneau,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
69,CAN,pierre harvey,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
70,CAN,alain gabriel masson,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
71,CAY,craig tyrone merren,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
72,CAY,david dibben,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
73,CAY,alfred william ebanks,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
74,CAY,aldyn wint,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
75,CHI,manuel aravena,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
76,CHI,roberto munoz,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
77,CMR,alain ayissi,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
78,CMR,joseph kono,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
79,CMR,dieudonne ntep,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
80,CMR,thomas siani,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
81,COL,rogelio arango,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
82,CYP,spyros agrotis,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
83,DEN,ole byriel,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
84,DEN,soren lilholt,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
85,ESP,manuel jorge dominguez,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
86,ESP,miguel indurain,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
87,ESP,jose salvador sanchis tormo,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
88,FIN,harri hedgren,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
89,FRA,claude carlin,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
90,FRA,denis pelizzari,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
91,FRG,andreas kappes,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
92,GBR,mark bell,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
93,GBR,neil martin,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
94,GBR,peter sanders,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
95,GBR,darryl webster,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
96,GRE,kanellos kanellopoulos,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
97,GRE,ilias kelisidis,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
98,GUY,randolph toussaint,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
99,HKG,yiu-chung choy,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
100,HKG,chung yam hung,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
101,HKG,siu-on law,Did not finish,Los Angeles 1984,Cycling Road,individual road race men
