,country,participant,result,olympic_game,discipline,event
0,FRA,philippe boisse,10,Los Angeles 1984,Fencing,épée individual men
1,SWE,björne väggö,,Los Angeles 1984,Fencing,épée individual men
2,FRA,philippe riboud,,Los Angeles 1984,Fencing,épée individual men
3,ITA,stefano bellone,,Los Angeles 1984,Fencing,épée individual men
4,SUI,michel poffet,,Los Angeles 1984,Fencing,épée individual men
5,FRG,elmar borrmann,,Los Angeles 1984,Fencing,épée individual men
6,FRG,alexander pusch,,Los Angeles 1984,Fencing,épée individual men
7,FRG,volker fischer,,Los Angeles 1984,Fencing,épée individual men
8,ITA,angelo mazzoni,,Los Angeles 1984,Fencing,épée individual men
9,CAN,michel dessureault,,Los Angeles 1984,Fencing,épée individual men
10,NOR,nils björn koppang,8,Los Angeles 1984,Fencing,épée individual men
11,SUI,daniel giger,,Los Angeles 1984,Fencing,épée individual men
12,FRA,olivier lenglet,,Los Angeles 1984,Fencing,épée individual men
13,ITA,sandro cuomo,,Los Angeles 1984,Fencing,épée individual men
14,NZL,martin brill,,Los Angeles 1984,Fencing,épée individual men
15,NOR,bård vonen,,Los Angeles 1984,Fencing,épée individual men
16,USA,stephen spaulding trevor,,Los Angeles 1984,Fencing,épée individual men
17,USA,robert gabriel marx,,Los Angeles 1984,Fencing,épée individual men
18,CAN,daniel perreault,,Los Angeles 1984,Fencing,épée individual men
19,GBR,steven paul,,Los Angeles 1984,Fencing,épée individual men
20,SWE,jerri bergström,,Los Angeles 1984,Fencing,épée individual men
21,GBR,john patrick llewellyn,,Los Angeles 1984,Fencing,épée individual men
22,CHN,yi-ning cui,,Los Angeles 1984,Fencing,épée individual men
23,EGY,ihab aly,,Los Angeles 1984,Fencing,épée individual men
24,CHN,li-zhong zhao,,Los Angeles 1984,Fencing,épée individual men
25,AUT,arno strohmeyer,,Los Angeles 1984,Fencing,épée individual men
26,KOR,seong-mun kim,,Los Angeles 1984,Fencing,épée individual men
27,EGY,khaled soliman,,Los Angeles 1984,Fencing,épée individual men
28,ESP,angel fernandez garcia,,Los Angeles 1984,Fencing,épée individual men
29,CHN,xiang-qing zong,,Los Angeles 1984,Fencing,épée individual men
30,CAN,jean-marc chouinard,,Los Angeles 1984,Fencing,épée individual men
31,TUR,ali murat dizioglu,,Los Angeles 1984,Fencing,épée individual men
32,KOR,nam-jin yoon,,Los Angeles 1984,Fencing,épée individual men
33,KOR,il-he lee,,Los Angeles 1984,Fencing,épée individual men
34,AUT,hannes lembacher,,Los Angeles 1984,Fencing,épée individual men
35,BEL,stephane ganeff,,Los Angeles 1984,Fencing,épée individual men
36,TPE,shing-hsiang tsai,,Los Angeles 1984,Fencing,épée individual men
37,USA,charles lee shelley,,Los Angeles 1984,Fencing,épée individual men
38,VEN,jose rafael magallanes,,Los Angeles 1984,Fencing,épée individual men
39,SUI,gabriel nigon,,Los Angeles 1984,Fencing,épée individual men
40,KUW,mohammad al-thuwani,,Los Angeles 1984,Fencing,épée individual men
41,BEL,thierry soumagne,,Los Angeles 1984,Fencing,épée individual men
42,KUW,kazem hassan,,Los Angeles 1984,Fencing,épée individual men
43,SWE,greger forslow,,Los Angeles 1984,Fencing,épée individual men
44,EGY,abdel monem salem,,Los Angeles 1984,Fencing,épée individual men
45,ARG,sergio a. lucchetti,,Los Angeles 1984,Fencing,épée individual men
46,BEL,stefan joos,,Los Angeles 1984,Fencing,épée individual men
