,country,participant,result,olympic_game,discipline,event
0,ESP,roberto molina carrasco,33.7,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
1,USA,hans christopher steinfeld,43.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
2,FRA,thierry peponnet,49.4,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
3,FRG,wolfgang hunger,50.1,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
4,ITA,enrico chieffi,57.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
5,FIN,johan von koskull,67.4,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
6,GBR,peter newlands,70.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
7,ISR,eytan fridlander,70.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
8,NED,guido alkemade,75.4,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
9,ARG,carlos a. irigoyen,90.7,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
10,JPN,yutaka takagi,93.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
11,SUI,luc dubois,98.7,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
12,BRA,rolf nehn,99.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
13,NZL,peter evans,101.7,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
14,CAN,martin tenhove,102.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
15,SWE,dan loven,115.7,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
16,IND,dhruv bhandari,129.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
17,CHI,juan barahona,136.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
18,TPE,kui-aon lim,137.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
19,MEX,hermann mergenthaler,142.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
20,AUS,christopher tillett,145.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
21,PAK,muhammad zakaullah,147.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
22,ISL,gunnlaugur jonasson,147.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
23,CHN,xian-yuan xu,166.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
24,IVB,peter barker,170.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
25,ISV,erik zucker,174.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
26,SRI,lalin jirasinha,179.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
27,CAY,carson ebanks,188.0,Los Angeles 1984,Sailing,470 - Two Person Dinghy men
0,NZL,russell coutts,34.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
1,USA,john joseph bertrand,37.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
2,CAN,terence neilson,37.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
3,ESP,joaquin blanco,60.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
4,FRG,wolfgang gerz,66.1,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
5,AUS,christopher pratt,68.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
6,GBR,michael mackay mcintyre,70.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
7,BRA,jorge zarif neto,78.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
8,NED,mark neeleman,81.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
9,SWE,ingvar bengtsson,84.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
10,ISV,peter holmberg,86.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
11,DEN,lasse hjortnaes,93.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
12,IRL,william o'hara,96.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
13,FIN,esko rechardt,105.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
14,ITA,paolo semeraro,106.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
15,GRE,armando ortolano,108.7,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
16,FRA,luc choley,124.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
17,MEX,eric mergenthaler hall,126.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
18,GUA,juan maegli,129.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
19,TTO,jean marc holder,131.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
20,NOR,per arne nilsen,133.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
21,BEL,philippe willems,141.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
22,ZIM,guy grossmith,155.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
23,PAK,arshad choudhry,168.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
24,CHN,guang-ming tu,178.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
25,FIJ,david ashby,185.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
26,BOT,derek hudson,189.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
27,EGY,nasser karam,199.0,Los Angeles 1984,Sailing,Finn - One Person Dinghy (Heavyweight) men
0,,,33.7,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
1,,,43.4,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
2,,,49.7,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
3,,,54.7,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
4,,,57.7,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
5,,,59.2,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
6,,,62.4,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
7,,,71.0,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
8,,,73.7,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
9,,,74.0,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
10,,,88.7,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
11,,,92.5,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
12,,,93.7,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
13,,,110.7,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
14,,,113.0,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
15,,,116.7,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
16,,,124.0,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
17,,,128.0,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
18,,,145.0,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
19,,,145.0,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
20,,,146.0,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
21,,,160.0,Los Angeles 1984,Sailing,fleetmatch race keelboat open Soling mixed
0,USA,jonathan dunn mckee,19.7,Los Angeles 1984,Sailing,flying dutchman mixed
