,country,participant,result,olympic_game,discipline,event
0,USA,karen patricia spurgin,393,Los Angeles 1984,Shooting,10m air rifle 40 shots women
1,ITA,edith gufler,391,Los Angeles 1984,Shooting,10m air rifle 40 shots women
2,CHN,xiao-xuan wu,389,Los Angeles 1984,Shooting,10m air rifle 40 shots women
3,CAN,sharon ruth bowes,388,Los Angeles 1984,Shooting,10m air rifle 40 shots women
4,FRA,yvette courault,386,Los Angeles 1984,Shooting,10m air rifle 40 shots women
5,FRG,gisela sailer,385,Los Angeles 1984,Shooting,10m air rifle 40 shots women
6,NOR,siri landsem-lauritsen,384,Los Angeles 1984,Shooting,10m air rifle 40 shots women
7,FIN,sirpa ylonen,383,Los Angeles 1984,Shooting,10m air rifle 40 shots women
8,CHN,ren-qing liu,383,Los Angeles 1984,Shooting,10m air rifle 40 shots women
9,JPN,noriko kosai,383,Los Angeles 1984,Shooting,10m air rifle 40 shots women
10,FRA,françoise decharne,381,Los Angeles 1984,Shooting,10m air rifle 40 shots women
11,SWE,christina gustafsson,381,Los Angeles 1984,Shooting,10m air rifle 40 shots women
12,NOR,anne-grethe jeppesen,381,Los Angeles 1984,Shooting,10m air rifle 40 shots women
13,KOR,jeong-ah park,381,Los Angeles 1984,Shooting,10m air rifle 40 shots women
14,AUT,gudrun sinnhuber,381,Los Angeles 1984,Shooting,10m air rifle 40 shots women
15,FRG,silvia sperber,381,Los Angeles 1984,Shooting,10m air rifle 40 shots women
16,YUG,valentina atanaskovski,380,Los Angeles 1984,Shooting,10m air rifle 40 shots women
17,AUT,karin bauer,379,Los Angeles 1984,Shooting,10m air rifle 40 shots women
18,USA,mary anne schweitzer,379,Los Angeles 1984,Shooting,10m air rifle 40 shots women
19,GBR,irene daw,378,Los Angeles 1984,Shooting,10m air rifle 40 shots women
20,KOR,jeong-hwa lee,377,Los Angeles 1984,Shooting,10m air rifle 40 shots women
21,IND,soma dutta,376,Los Angeles 1984,Shooting,10m air rifle 40 shots women
22,SWE,margareta gustafsson,375,Los Angeles 1984,Shooting,10m air rifle 40 shots women
23,BEL,marie-louise hosdey,375,Los Angeles 1984,Shooting,10m air rifle 40 shots women
24,GBR,sarah cooper,374,Los Angeles 1984,Shooting,10m air rifle 40 shots women
25,COL,alejandra hoyos,373,Los Angeles 1984,Shooting,10m air rifle 40 shots women
26,AUS,sylvia muehlberg,373,Los Angeles 1984,Shooting,10m air rifle 40 shots women
27,CAN,jackie terry,372,Los Angeles 1984,Shooting,10m air rifle 40 shots women
28,YUG,mirjana jovovic-horvat,371,Los Angeles 1984,Shooting,10m air rifle 40 shots women
29,COL,gloria lopez,370,Los Angeles 1984,Shooting,10m air rifle 40 shots women
30,THA,siriwan bhudvanbhen,369,Los Angeles 1984,Shooting,10m air rifle 40 shots women
31,CRC,elizabeth bourland,365,Los Angeles 1984,Shooting,10m air rifle 40 shots women
32,THA,kanokwan krittakom,360,Los Angeles 1984,Shooting,10m air rifle 40 shots women
0,USA,karen patricia spurgin,393,Los Angeles 1984,Shooting,10m air rifle 60 shots men
1,ITA,edith gufler,391,Los Angeles 1984,Shooting,10m air rifle 60 shots men
2,CHN,xiao-xuan wu,389,Los Angeles 1984,Shooting,10m air rifle 60 shots men
3,CAN,sharon ruth bowes,388,Los Angeles 1984,Shooting,10m air rifle 60 shots men
4,FRA,yvette courault,386,Los Angeles 1984,Shooting,10m air rifle 60 shots men
5,FRG,gisela sailer,385,Los Angeles 1984,Shooting,10m air rifle 60 shots men
6,NOR,siri landsem-lauritsen,384,Los Angeles 1984,Shooting,10m air rifle 60 shots men
7,FIN,sirpa ylonen,383,Los Angeles 1984,Shooting,10m air rifle 60 shots men
8,CHN,ren-qing liu,383,Los Angeles 1984,Shooting,10m air rifle 60 shots men
9,JPN,noriko kosai,383,Los Angeles 1984,Shooting,10m air rifle 60 shots men
10,FRA,françoise decharne,381,Los Angeles 1984,Shooting,10m air rifle 60 shots men
11,SWE,christina gustafsson,381,Los Angeles 1984,Shooting,10m air rifle 60 shots men
12,NOR,anne-grethe jeppesen,381,Los Angeles 1984,Shooting,10m air rifle 60 shots men
13,KOR,jeong-ah park,381,Los Angeles 1984,Shooting,10m air rifle 60 shots men
14,AUT,gudrun sinnhuber,381,Los Angeles 1984,Shooting,10m air rifle 60 shots men
15,FRG,silvia sperber,381,Los Angeles 1984,Shooting,10m air rifle 60 shots men
16,YUG,valentina atanaskovski,380,Los Angeles 1984,Shooting,10m air rifle 60 shots men
17,AUT,karin bauer,379,Los Angeles 1984,Shooting,10m air rifle 60 shots men
18,USA,mary anne schweitzer,379,Los Angeles 1984,Shooting,10m air rifle 60 shots men
19,GBR,irene daw,378,Los Angeles 1984,Shooting,10m air rifle 60 shots men
20,KOR,jeong-hwa lee,377,Los Angeles 1984,Shooting,10m air rifle 60 shots men
21,IND,soma dutta,376,Los Angeles 1984,Shooting,10m air rifle 60 shots men
22,SWE,margareta gustafsson,375,Los Angeles 1984,Shooting,10m air rifle 60 shots men
23,BEL,marie-louise hosdey,375,Los Angeles 1984,Shooting,10m air rifle 60 shots men
24,GBR,sarah cooper,374,Los Angeles 1984,Shooting,10m air rifle 60 shots men
25,COL,alejandra hoyos,373,Los Angeles 1984,Shooting,10m air rifle 60 shots men
26,AUS,sylvia muehlberg,373,Los Angeles 1984,Shooting,10m air rifle 60 shots men
27,CAN,jackie terry,372,Los Angeles 1984,Shooting,10m air rifle 60 shots men
28,YUG,mirjana jovovic-horvat,371,Los Angeles 1984,Shooting,10m air rifle 60 shots men
29,COL,gloria lopez,370,Los Angeles 1984,Shooting,10m air rifle 60 shots men
30,THA,siriwan bhudvanbhen,369,Los Angeles 1984,Shooting,10m air rifle 60 shots men
31,CRC,elizabeth bourland,365,Los Angeles 1984,Shooting,10m air rifle 60 shots men
32,THA,kanokwan krittakom,360,Los Angeles 1984,Shooting,10m air rifle 60 shots men
0,CAN,linda thom,OR,Los Angeles 1984,Shooting,25m pistol 3030 shots women
1,USA,ruby ellen fox,OR,Los Angeles 1984,Shooting,25m pistol 3030 shots women
2,AUS,patricia dench,196,Los Angeles 1984,Shooting,25m pistol 3030 shots women
3,CHN,hai-ying liu,195,Los Angeles 1984,Shooting,25m pistol 3030 shots women
4,SWE,kristina fries,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
5,CHN,zhi-fang wen,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
6,BRA,debora srour,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
7,ROU,maria macovei,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
8,FRA,evelyne manchon,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
9,KOR,yang-ja moon,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
10,SWE,cris kajd,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
11,GBR,carol bartlett,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
12,USA,kimberley sue dyer,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
13,KOR,hae-young kim,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
14,POR,isabel chitas,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
15,ROU,elena macovei,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
16,INA,lely sampurno,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
17,ITA,loredana zugna,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
18,THA,angsuman jotikasthira,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
19,FRG,waltraud weissenberg-wieland,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
20,GRE,agi kasoumi,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
21,COL,elvira salazar,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
22,SUI,brida bellarelli,,Los Angeles 1984,Shooting,25m pistol 3030 shots women
