,country,participant,result,olympic_game,discipline,event
0,POL,jozef zapedzki,593,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
1,ROU,marcel rosca,591,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
2,URS,renart suleimanov,591,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
3,GDR,christian düring,591,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
4,FRG,erich masurat,590,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
5,GDR,gerhard dommrich,589,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
6,TCH,lubomir nacovsky,588,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
7,ITA,giovanni liverzani,588,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
8,FRG,johann standl,587,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
9,TCH,ladislav falta,587,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
10,FIN,pentti tapio akseli linnosvuo,587,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
11,JPN,takeo kamachi,586,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
12,SWE,ake califf,586,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
13,HUN,aladar dobsa,586,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
14,FIN,immo uolevi huhtinen,586,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
15,POL,waclaw hamerlinski,585,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
16,USA,william willard mcmillan,584,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
17,ITA,ugo amicosante,584,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
18,AUS,alexander taransky,583,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
19,HUN,szilard kun,583,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
20,ROU,virgil atanasiu,583,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
21,GRE,alkibiades papageorgopoulos,582,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
22,JPN,makoto shiraishi,582,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
23,GBR,anthony john clark,581,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
24,USA,james henderson mcnally,580,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
25,GBR,robert seymour hassal,580,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
26,URS,anatoli onishchuk,579,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
27,BUL,dentcho todorov denev,579,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
28,GUA,fernando g. samoya estrada,579,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
29,AUT,hubert garschall,579,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
30,ESP,jaime gonzalez chaz,579,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
31,PHI,paterno r.jr. miranda,578,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
32,GUA,victor castellanos barrios,578,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
33,CAN,jules sobrian,576,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
34,KEN,leonard james bull,576,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
35,THA,rangsit yanothai,576,Mexico City 1968,Shooting,25m rapid fire pistol 60 shots men
