,country,participant,result,olympic_game,discipline,event
0,,,,Mexico City 1968,Water Polo,water polo men
1,,,,Mexico City 1968,Water Polo,water polo men
2,,,,Mexico City 1968,Water Polo,water polo men
3,,,,Mexico City 1968,Water Polo,water polo men
4,,,,Mexico City 1968,Water Polo,water polo men
5,,,,Mexico City 1968,Water Polo,water polo men
6,,,,Mexico City 1968,Water Polo,water polo men
7,,,,Mexico City 1968,Water Polo,water polo men
8,,,,Mexico City 1968,Water Polo,water polo men
9,,,,Mexico City 1968,Water Polo,water polo men
10,,,,Mexico City 1968,Water Polo,water polo men
11,,,,Mexico City 1968,Water Polo,water polo men
12,,,,Mexico City 1968,Water Polo,water polo men
13,,,,Mexico City 1968,Water Polo,water polo men
14,,,,Mexico City 1968,Water Polo,water polo men
