,country,participant,result,olympic_game,discipline,event
0,USA,darrell owen pace,"2,571",Montreal 1976,Archery,individual FITA round men
1,JPN,hiroshi michinaga,"2,502",Montreal 1976,Archery,individual FITA round men
2,ITA,giancarlo ferrari,"2,495",Montreal 1976,Archery,individual FITA round men
3,USA,richard lee mckinney,"2,471",Montreal 1976,Archery,individual FITA round men
4,URS,vladimir chendarov,"2,467",Montreal 1976,Archery,individual FITA round men
5,FRG,willi gabriel,"2,435",Montreal 1976,Archery,individual FITA round men
6,CAN,david mann,"2,431",Montreal 1976,Archery,individual FITA round men
7,JPN,takanobu nishi,"2,422",Montreal 1976,Archery,individual FITA round men
8,YUG,bojan postruznik,"2,421",Montreal 1976,Archery,individual FITA round men
9,ITA,sante spigarelli,"2,419",Montreal 1976,Archery,individual FITA round men
10,SWE,rolf svensson,"2,412",Montreal 1976,Archery,individual FITA round men
11,FRA,albert le tyrant,"2,408",Montreal 1976,Archery,individual FITA round men
12,AUS,david anear,"2,407",Montreal 1976,Archery,individual FITA round men
13,SWE,gunnar jervill,"2,406",Montreal 1976,Archery,individual FITA round men
14,FIN,kyösti kalevi laasonen,"2,379",Montreal 1976,Archery,individual FITA round men
15,CAN,edward gamble,"2,362",Montreal 1976,Archery,individual FITA round men
16,POL,jan popowicz,"2,355",Montreal 1976,Archery,individual FITA round men
17,BEL,pierre blacks,"2,353",Montreal 1976,Archery,individual FITA round men
18,INA,donald d. pandiangan,"2,353",Montreal 1976,Archery,individual FITA round men
19,FIN,kauko markus laasonen,"2,348",Montreal 1976,Archery,individual FITA round men
20,GBR,david anthony pink,"2,347",Montreal 1976,Archery,individual FITA round men
21,POL,wojciech szymanczyk,"2,346",Montreal 1976,Archery,individual FITA round men
22,BEL,robert cogniaux,"2,346",Montreal 1976,Archery,individual FITA round men
23,NOR,jan erik humlekjaer,"2,337",Montreal 1976,Archery,individual FITA round men
24,DEN,arne erik jacobsen,"2,334",Montreal 1976,Archery,individual FITA round men
25,AUS,terry reilly,"2,331",Montreal 1976,Archery,individual FITA round men
26,FRG,rudolf schiffl,"2,326",Montreal 1976,Archery,individual FITA round men
27,MGL,byambasüren nyamtserengiin,"2,256",Montreal 1976,Archery,individual FITA round men
28,IRL,james conroy,"2,255",Montreal 1976,Archery,individual FITA round men
29,GBR,stewart littlefair,"2,238",Montreal 1976,Archery,individual FITA round men
30,PUR,edgardo berdeguer,"2,200",Montreal 1976,Archery,individual FITA round men
31,MGL,dagvadorj tserendorjiin,"2,179",Montreal 1976,Archery,individual FITA round men
32,AUT,oswald probst,"2,173",Montreal 1976,Archery,individual FITA round men
33,CRC,juan wedel,"2,165",Montreal 1976,Archery,individual FITA round men
34,THA,vallop potaya,"2,060",Montreal 1976,Archery,individual FITA round men
35,THA,wijit suksompong,"2,032",Montreal 1976,Archery,individual FITA round men
36,CRC,luis gonzalez,"2,005",Montreal 1976,Archery,individual FITA round men
0,USA,luann marie ryon,"2,499",Montreal 1976,Archery,individual FITA round women
1,URS,valentina kovpan,"2,460",Montreal 1976,Archery,individual FITA round women
2,URS,zebiniso rustamova,"2,407",Montreal 1976,Archery,individual FITA round women
3,PRK,sun-yong jang,"2,405",Montreal 1976,Archery,individual FITA round women
4,CAN,lucille lemay,"2,401",Montreal 1976,Archery,individual FITA round women
5,POL,jadwiga szoszler-wilejto,"2,395",Montreal 1976,Archery,individual FITA round women
6,USA,linda ann myers,"2,393",Montreal 1976,Archery,individual FITA round women
7,FRG,maria urban-wielandmer,"2,376",Montreal 1976,Archery,individual FITA round women
8,INA,lene suniar,"2,352",Montreal 1976,Archery,individual FITA round women
9,PRK,sun hui han,"2,347",Montreal 1976,Archery,individual FITA round women
10,SWE,anna-lisa berglund,"2,340",Montreal 1976,Archery,individual FITA round women
11,ITA,franca capetta,"2,339",Montreal 1976,Archery,individual FITA round women
12,SWE,lena sjoholm,"2,322",Montreal 1976,Archery,individual FITA round women
13,JPN,minako hokari,"2,308",Montreal 1976,Archery,individual FITA round women
14,AUS,carole toy,"2,305",Montreal 1976,Archery,individual FITA round women
15,CAN,wanda allan-sadegur,"2,303",Montreal 1976,Archery,individual FITA round women
16,FRA,marie christine ventrillon,"2,298",Montreal 1976,Archery,individual FITA round women
17,THA,amornrat kaewbaidhoon,"2,282",Montreal 1976,Archery,individual FITA round women
18,ITA,ida dapoian,"2,282",Montreal 1976,Archery,individual FITA round women
19,POL,irena szydlowska,"2,264",Montreal 1976,Archery,individual FITA round women
20,GBR,patricia conway,"2,257",Montreal 1976,Archery,individual FITA round women
21,MGL,dariimaa natjavyn,"2,209",Montreal 1976,Archery,individual FITA round women
22,GBR,rachel dorothy mary fenwick,"2,199",Montreal 1976,Archery,individual FITA round women
23,MGL,enkhtaivan gombosürengiin,"2,156",Montreal 1976,Archery,individual FITA round women
24,AUS,maureen adams,"2,114",Montreal 1976,Archery,individual FITA round women
25,JPN,kyoko yamazaki,"2,094",Montreal 1976,Archery,individual FITA round women
26,PUR,maria del carmen medina,"1,993",Montreal 1976,Archery,individual FITA round women
