,country,participant,result,olympic_game,discipline,event
0,,,584,Montreal 1976,Basketball,basketball men
1,,,527,Montreal 1976,Basketball,basketball men
2,,,732,Montreal 1976,Basketball,basketball men
3,,,595,Montreal 1976,Basketball,basketball men
4,,,524,Montreal 1976,Basketball,basketball men
5,,,584,Montreal 1976,Basketball,basketball men
6,,,616,Montreal 1976,Basketball,basketball men
7,,,625,Montreal 1976,Basketball,basketball men
8,,,521,Montreal 1976,Basketball,basketball men
9,,,545,Montreal 1976,Basketball,basketball men
10,,,455,Montreal 1976,Basketball,basketball men
11,,,64,Montreal 1976,Basketball,basketball men
0,,,504,Montreal 1976,Basketball,basketball women
1,,,415,Montreal 1976,Basketball,basketball women
2,,,365,Montreal 1976,Basketball,basketball women
3,,,351,Montreal 1976,Basketball,basketball women
4,,,405,Montreal 1976,Basketball,basketball women
5,,,336,Montreal 1976,Basketball,basketball women
