,country,participant,result,olympic_game,discipline,event
0,ITA,klaus dibiasi,600.51,Montreal 1976,Diving,10m platform men
1,USA,gregory louganis,576.99,Montreal 1976,Diving,10m platform men
2,URS,vladimir aleynik,548.61,Montreal 1976,Diving,10m platform men
3,USA,kent douglas vosler,544.14,Montreal 1976,Diving,10m platform men
4,USA,tim moore,538.17,Montreal 1976,Diving,10m platform men
5,GDR,falk hoffmann,531.60,Montreal 1976,Diving,10m platform men
6,URS,davit hambardzumyan,516.21,Montreal 1976,Diving,10m platform men
7,MEX,carlos giron,513.93,Montreal 1976,Diving,10m platform men
0,URS,elena vaytsekhovskaya,406.59,Montreal 1976,Diving,10m platform women
1,SWE,ulrika knape-lindbergh,402.60,Montreal 1976,Diving,10m platform women
2,USA,deborah keplar wilson,401.07,Montreal 1976,Diving,10m platform women
3,URS,irina kalinina,398.67,Montreal 1976,Diving,10m platform women
4,CAN,cinderella shatto,389.58,Montreal 1976,Diving,10m platform women
5,CAN,teri york,378.39,Montreal 1976,Diving,10m platform women
6,USA,melissa jane briley,376.86,Montreal 1976,Diving,10m platform women
7,GDR,heidi becker-ramlow,365.64,Montreal 1976,Diving,10m platform women
0,USA,philip george boggs,619.05,Montreal 1976,Diving,3m springboard men
1,ITA,giorgio franco cagnotto,570.48,Montreal 1976,Diving,3m springboard men
2,URS,aleksandr kosenkov,567.24,Montreal 1976,Diving,3m springboard men
3,GDR,falk hoffmann,553.53,Montreal 1976,Diving,3m springboard men
4,USA,"robert lewis, jr. cragg",548.19,Montreal 1976,Diving,3m springboard men
5,USA,gregory louganis,528.96,Montreal 1976,Diving,3m springboard men
6,MEX,carlos giron,523.59,Montreal 1976,Diving,3m springboard men
7,ITA,klaus dibiasi,516.18,Montreal 1976,Diving,3m springboard men
0,USA,jennifer kay chandler,506.19,Montreal 1976,Diving,3m springboard women
1,GDR,christa köhler,469.41,Montreal 1976,Diving,3m springboard women
2,USA,cynthia potter-mcingvale,466.83,Montreal 1976,Diving,3m springboard women
3,GDR,heidi becker-ramlow,462.15,Montreal 1976,Diving,3m springboard women
4,GDR,karin guthke,459.81,Montreal 1976,Diving,3m springboard women
5,URS,olga dmitriyeva,432.24,Montreal 1976,Diving,3m springboard women
6,URS,irina kalinina,417.99,Montreal 1976,Diving,3m springboard women
7,USA,barbara nejman,365.07,Montreal 1976,Diving,3m springboard women
