,country,participant,result,olympic_game,discipline,event
0,,,10,Montreal 1976,Football,football men
1,,,11,Montreal 1976,Football,football men
2,,,10,Montreal 1976,Football,football men
3,,,6,Montreal 1976,Football,football men
4,,,4,Montreal 1976,Football,football men
5,,,9,Montreal 1976,Football,football men
6,,,3,Montreal 1976,Football,football men
7,,,4,Montreal 1976,Football,football men
8,,,1,Montreal 1976,Football,football men
9,,,2,Montreal 1976,Football,football men
10,,,4,Montreal 1976,Football,football men
11,,,0,Montreal 1976,Football,football men
12,,,2,Montreal 1976,Football,football men
