,country,participant,result,olympic_game,discipline,event
0,FRG,frank hübner,42.4,Montreal 1976,Sailing,470 - Two Person Dinghy men
1,ESP,antonio gorostegui ceballos,49.7,Montreal 1976,Sailing,470 - Two Person Dinghy men
2,AUS,ian ruff,57.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
3,URS,viktor potapov,57.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
4,NZL,brett bennett,59.7,Montreal 1976,Sailing,470 - Two Person Dinghy men
5,GBR,philip j.b. crebbin,69.4,Montreal 1976,Sailing,470 - Two Person Dinghy men
6,SUI,laurent quellet,71.7,Montreal 1976,Sailing,470 - Two Person Dinghy men
7,FRA,marc laurent,79.4,Montreal 1976,Sailing,470 - Two Person Dinghy men
8,USA,robert michael whitehurst,89.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
9,JPN,kazunori komatsu,95.7,Montreal 1976,Sailing,470 - Two Person Dinghy men
10,BRA,luiz antonio sohni aydos,96.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
11,DEN,dan ibsen sorensen,99.7,Montreal 1976,Sailing,470 - Two Person Dinghy men
12,NED,joop van werkhoven,101.7,Montreal 1976,Sailing,470 - Two Person Dinghy men
13,ITA,roberto sponza,102.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
14,NOR,morten jensen,102.7,Montreal 1976,Sailing,470 - Two Person Dinghy men
15,CAN,jay cross,109.7,Montreal 1976,Sailing,470 - Two Person Dinghy men
16,BER,eugene scott simmons,116.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
17,FIN,henry mikko ilari brummer,126.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
18,BEL,peter winters,128.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
19,SWE,olle johansson,132.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
20,POR,francisco antunes mourao,137.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
21,COL,beatriz de lisocky,147.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
22,IRL,peter dix,152.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
23,THA,santi thamsucharit,163.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
24,PUR,miguel antonio casellas,166.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
25,GUA,jorge springmuhl,172.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
26,GRE,demetrios gerontaris,175.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
27,CAY,geoffrey kirkconnell,176.0,Montreal 1976,Sailing,470 - Two Person Dinghy men
0,GDR,jochen schümann,35.4,Montreal 1976,Sailing,Finn - One Person Dinghy (Heavyweight) men
