,country,participant,result,olympic_game,discipline,event
0,,,,Montreal 1976,Water Polo,water polo men
1,,,,Montreal 1976,Water Polo,water polo men
2,,,,Montreal 1976,Water Polo,water polo men
3,,,,Montreal 1976,Water Polo,water polo men
4,,,,Montreal 1976,Water Polo,water polo men
5,,,,Montreal 1976,Water Polo,water polo men
6,,,,Montreal 1976,Water Polo,water polo men
7,,,,Montreal 1976,Water Polo,water polo men
8,,,,Montreal 1976,Water Polo,water polo men
9,,,,Montreal 1976,Water Polo,water polo men
10,,,,Montreal 1976,Water Polo,water polo men
11,,,,Montreal 1976,Water Polo,water polo men
