,country,participant,result,olympic_game,discipline,event
0,,,825,Moscow 1980,Basketball,basketball men
1,,,665,Moscow 1980,Basketball,basketball men
2,,,842,Moscow 1980,Basketball,basketball men
3,,,780,Moscow 1980,Basketball,basketball men
4,,,657,Moscow 1980,Basketball,basketball men
5,,,588,Moscow 1980,Basketball,basketball men
6,,,625,Moscow 1980,Basketball,basketball men
7,,,577,Moscow 1980,Basketball,basketball men
8,,,626,Moscow 1980,Basketball,basketball men
9,,,511,Moscow 1980,Basketball,basketball men
10,,,477,Moscow 1980,Basketball,basketball men
11,,,458,Moscow 1980,Basketball,basketball men
0,,,657,Moscow 1980,Basketball,basketball women
1,,,513,Moscow 1980,Basketball,basketball women
2,,,424,Moscow 1980,Basketball,basketball women
3,,,409,Moscow 1980,Basketball,basketball women
4,,,346,Moscow 1980,Basketball,basketball women
5,,,308,Moscow 1980,Basketball,basketball women
