,country,participant,result,olympic_game,discipline,event
0,URS,anatoli starostin,"5,568",Moscow 1980,Modern Pentathlon,Individual competition men
1,HUN,tamas szombathelyi,"5,502",Moscow 1980,Modern Pentathlon,Individual competition men
2,URS,pavel lednev,"5,382",Moscow 1980,Modern Pentathlon,Individual competition men
3,SWE,svante rasmuson,"5,373",Moscow 1980,Modern Pentathlon,Individual competition men
4,HUN,tibor maracsko,"5,279",Moscow 1980,Modern Pentathlon,Individual competition men
5,POL,janusz pyciak-peciak,"5,268",Moscow 1980,Modern Pentathlon,Individual competition men
6,SWE,lennart pettersson,"5,243",Moscow 1980,Modern Pentathlon,Individual competition men
7,TCH,milan kadlec,"5,229",Moscow 1980,Modern Pentathlon,Individual competition men
8,SWE,george horvath,"5,229",Moscow 1980,Modern Pentathlon,Individual competition men
9,FIN,heikki hulkkonen,"5,227",Moscow 1980,Modern Pentathlon,Individual competition men
10,POL,jan olesinski,"5,219",Moscow 1980,Modern Pentathlon,Individual competition men
11,FRA,paul four,"5,196",Moscow 1980,Modern Pentathlon,Individual competition men
12,MEX,ivar sisniega,"5,186",Moscow 1980,Modern Pentathlon,Individual competition men
13,URS,yevgeny lipeyev,"5,176",Moscow 1980,Modern Pentathlon,Individual competition men
14,GBR,robert nightingale,"5,168",Moscow 1980,Modern Pentathlon,Individual competition men
15,TCH,jan bartu,"5,158",Moscow 1980,Modern Pentathlon,Individual competition men
16,ITA,pier paolo cristofori,"5,156",Moscow 1980,Modern Pentathlon,Individual competition men
17,POL,marek bajan,"5,147",Moscow 1980,Modern Pentathlon,Individual competition men
18,HUN,laszlo horvath,"5,131",Moscow 1980,Modern Pentathlon,Individual competition men
19,FRA,joel bouzou,"5,107",Moscow 1980,Modern Pentathlon,Individual competition men
20,GBR,peter whiteside,"5,085",Moscow 1980,Modern Pentathlon,Individual competition men
21,ROU,dumitru spirlea,"5,058",Moscow 1980,Modern Pentathlon,Individual competition men
22,FRA,alain cortes,"5,042",Moscow 1980,Modern Pentathlon,Individual competition men
23,FIN,jussi antti pelli,"5,032",Moscow 1980,Modern Pentathlon,Individual competition men
24,ESP,federico calera fernandez,"5,001",Moscow 1980,Modern Pentathlon,Individual competition men
25,TCH,bohumil starnovsky,"4,952",Moscow 1980,Modern Pentathlon,Individual competition men
26,ROU,gyula-laszlo gallovits,"4,935",Moscow 1980,Modern Pentathlon,Individual competition men
27,BUL,simeon monev,"4,915",Moscow 1980,Modern Pentathlon,Individual competition men
28,ESP,jose serrano,"4,887",Moscow 1980,Modern Pentathlon,Individual competition men
29,BUL,nikolai nikolov,"4,832",Moscow 1980,Modern Pentathlon,Individual competition men
30,FIN,pekka santanen,"4,828",Moscow 1980,Modern Pentathlon,Individual competition men
31,ESP,manuel montesinos,"4,811",Moscow 1980,Modern Pentathlon,Individual competition men
32,GBR,nigel clark,"4,809",Moscow 1980,Modern Pentathlon,Individual competition men
33,BUL,borislav batikov,"4,798",Moscow 1980,Modern Pentathlon,Individual competition men
34,AUT,alexander topay,"4,784",Moscow 1980,Modern Pentathlon,Individual competition men
35,MEX,jens lohmann,"4,747",Moscow 1980,Modern Pentathlon,Individual competition men
36,AUS,robert barrie,"4,696",Moscow 1980,Modern Pentathlon,Individual competition men
37,AUT,helmut wieser,"4,582",Moscow 1980,Modern Pentathlon,Individual competition men
38,IRL,jerome hartigan,"4,557",Moscow 1980,Modern Pentathlon,Individual competition men
39,NZL,brian allen newth,"4,486",Moscow 1980,Modern Pentathlon,Individual competition men
40,ROU,cezar mihai raducanu,"4,397",Moscow 1980,Modern Pentathlon,Individual competition men
41,IRL,sackville currie,"4,377",Moscow 1980,Modern Pentathlon,Individual competition men
42,IRL,mark hartigan,"4,361",Moscow 1980,Modern Pentathlon,Individual competition men
0,,,"16,126",Moscow 1980,Modern Pentathlon,team competition men
1,,,"15,912",Moscow 1980,Modern Pentathlon,team competition men
2,,,"15,845",Moscow 1980,Modern Pentathlon,team competition men
3,,,"15,634",Moscow 1980,Modern Pentathlon,team competition men
4,,,"15,345",Moscow 1980,Modern Pentathlon,team competition men
5,,,"15,339",Moscow 1980,Modern Pentathlon,team competition men
6,,,"15,087",Moscow 1980,Modern Pentathlon,team competition men
7,,,"15,062",Moscow 1980,Modern Pentathlon,team competition men
8,,,"14,699",Moscow 1980,Modern Pentathlon,team competition men
9,,,"14,545",Moscow 1980,Modern Pentathlon,team competition men
10,,,"14,390",Moscow 1980,Modern Pentathlon,team competition men
11,,,"13,295",Moscow 1980,Modern Pentathlon,team competition men
