,country,participant,result,olympic_game,discipline,event
0,ROU,corneliu ion,148,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
1,GDR,jürgen wiefel,148,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
2,AUT,gerhard petritsch,146,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
3,URS,vladas turla,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
4,ITA,roberto ferraris,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
5,URS,afanasijs kuzmins,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
6,ROU,marin stan,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
7,CUB,rafael rodriguez,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
8,PRK,gil san so,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
9,HUN,laszlo orban,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
10,GDR,andreas franke,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
11,BUL,ivan mandov,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
12,ITA,gianfranco mantelli,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
13,POL,andrzej macur,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
14,POL,jozef zapedzki,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
15,SWE,ove gunnarsson,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
16,BUL,todor stoimenov,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
17,NED,wibout jolles,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
18,BRA,fernando lessa gomes,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
19,AUT,hermann sailer,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
20,PRK,chang ho yun,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
21,ESP,jaime gonzalez chaz,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
22,VIE,quoc cuong nguyen,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
23,YUG,franc peternel,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
24,PER,pedro garcia miro jr.,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
25,TCH,vladimir hurt,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
26,VIE,duc yunh nguyen,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
27,ESP,juan segui picornell,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
28,FIN,olavi heikkinen,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
29,HUN,gabor plank,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
30,CRC,marco hidalgo,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
31,SWE,ragnar skanåker,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
32,BEL,christian raynaud,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
33,ZIM,ian redmond,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
34,IRL,kenneth stanford,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
35,SMR,roberto tamagnini,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
36,SMR,bruno morri,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
37,ZIM,david westerhout,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
38,LAO,khamsing ,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
39,LAO,khamphanh ,,Moscow 1980,Shooting,25m rapid fire pistol 60 shots mixed
0,URS,aleksandr melentyev,581,Moscow 1980,Shooting,50m pistol 60 shots mixed
1,GDR,harald vollmar,568,Moscow 1980,Shooting,50m pistol 60 shots mixed
2,BUL,lyubcho dyakov,565,Moscow 1980,Shooting,50m pistol 60 shots mixed
3,PRK,gil san so,565,Moscow 1980,Shooting,50m pistol 60 shots mixed
4,FIN,seppo saarenpaa,565,Moscow 1980,Shooting,50m pistol 60 shots mixed
5,URS,serguei pyzhyanov,564,Moscow 1980,Shooting,50m pistol 60 shots mixed
6,SWE,ragnar skanåker,563,Moscow 1980,Shooting,50m pistol 60 shots mixed
7,FIN,paavo palokangas,561,Moscow 1980,Shooting,50m pistol 60 shots mixed
8,BRA,silvio carvalho,558,Moscow 1980,Shooting,50m pistol 60 shots mixed
9,POL,slawomir romanowski,558,Moscow 1980,Shooting,50m pistol 60 shots mixed
10,BUL,liuben popov,558,Moscow 1980,Shooting,50m pistol 60 shots mixed
11,ITA,enrico rabbachin,558,Moscow 1980,Shooting,50m pistol 60 shots mixed
12,POL,erwin matelski,557,Moscow 1980,Shooting,50m pistol 60 shots mixed
13,HUN,lajos nagy,557,Moscow 1980,Shooting,50m pistol 60 shots mixed
14,TCH,ivan nemethy,557,Moscow 1980,Shooting,50m pistol 60 shots mixed
15,GDR,uwe potteck,556,Moscow 1980,Shooting,50m pistol 60 shots mixed
16,ROU,daniel iuga,555,Moscow 1980,Shooting,50m pistol 60 shots mixed
17,PER,carlos hora,551,Moscow 1980,Shooting,50m pistol 60 shots mixed
18,PRK,gi jong kim,551,Moscow 1980,Shooting,50m pistol 60 shots mixed
19,VIE,huy khang phan,550,Moscow 1980,Shooting,50m pistol 60 shots mixed
20,HUN,rudolf seres,549,Moscow 1980,Shooting,50m pistol 60 shots mixed
21,VIE,huu kinh ngo,548,Moscow 1980,Shooting,50m pistol 60 shots mixed
22,SWE,staffan oscarsson,547,Moscow 1980,Shooting,50m pistol 60 shots mixed
23,ITA,roberto ferraris,546,Moscow 1980,Shooting,50m pistol 60 shots mixed
24,IRL,kenneth stanford,545,Moscow 1980,Shooting,50m pistol 60 shots mixed
25,CRC,mariano lara,542,Moscow 1980,Shooting,50m pistol 60 shots mixed
26,ZIM,ian redmond,527,Moscow 1980,Shooting,50m pistol 60 shots mixed
27,ZIM,maureen reichert,524,Moscow 1980,Shooting,50m pistol 60 shots mixed
28,CRC,rodrigo ruiz soto,512,Moscow 1980,Shooting,50m pistol 60 shots mixed
29,SMR,gian franco giardi,509,Moscow 1980,Shooting,50m pistol 60 shots mixed
30,SMR,giorgio paolini,507,Moscow 1980,Shooting,50m pistol 60 shots mixed
31,LAO,souvanny souksavath,502,Moscow 1980,Shooting,50m pistol 60 shots mixed
32,LAO,syseuy ,481,Moscow 1980,Shooting,50m pistol 60 shots mixed
0,URS,viktor vlasov,"1,173",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
1,GDR,bernd hartstein,"1,166",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
2,SWE,sven johansson,"1,165",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
3,FIN,mauri roppanen,"1,164",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
4,URS,aleksandr mitrofanov,"1,164",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
5,BUL,nonka detcheva matova,"1,163",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
6,GDR,hellfried heilfort,"1,162",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
7,POL,eugeniusz pedzisz,"1,156",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
8,DEN,henning brunsg clausen,"1,156",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
9,HUN,istvan matrai,"1,155",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
10,HUN,eva forian,"1,153",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
11,PRK,dong gil kim,"1,153",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
12,PRK,ho-jun li,"1,153",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
13,POL,romuald siemionow,"1,153",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
14,SWE,stefan thynell,"1,150",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
15,CUB,miguel valdes gonzalez,"1,148",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
16,DEN,finn danielsen,"1,147",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
17,YUG,srecko pejovic,"1,147",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
18,FIN,timo hagmaan,"1,146",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
19,CUB,adelso pena terusi,"1,144",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
20,YUG,zdravko milutinovic,"1,143",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
21,TCH,jaroslav pekar,"1,142",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
22,BUL,emil yankov,"1,142",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
23,TCH,adolf jakes,"1,140",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
24,AUT,wolfram waibel sr,"1,140",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
25,JOR,moh'd jbour,"1,138",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
26,MGL,adilbish sangidorjiin,"1,135",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
27,PER,justo moreno,"1,133",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
28,VIE,tien trung nguyen,"1,122",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
29,PER,oscar caceres lopez,"1,117",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
30,ZIM,dennis roscoe hardman,"1,117",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
31,MGL,jantsankhorloo mendbayaryn,"1,104",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
32,JOR,amera khalif,"1,104",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
33,LUX,roland jacoby,"1,099",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
34,VIE,van san nghiem,"1,094",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
35,SMR,francesco nanni,"1,093",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
36,SMR,pasquale raschi,"1,081",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
37,CRC,mauricio alvarado,"1,057",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
38,CRC,roger cartin,"1,022",Moscow 1980,Shooting,50m rifle 3 positions 3x40 shots mixed
0,HUN,karoly varga,599,Moscow 1980,Shooting,50m rifle prone 60 shots mixed
1,GDR,hellfried heilfort,599,Moscow 1980,Shooting,50m rifle prone 60 shots mixed
