,country,participant,result,olympic_game,discipline,event
0,FIN,lasse artturi virén,00:27:38.350,Munich 1972,Athletics,10000m men
1,BEL,emiel puttemans,00:27:39.580,Munich 1972,Athletics,10000m men
2,ETH,miruts yifter,00:27:40.960,Munich 1972,Athletics,10000m men
3,ESP,mariano haro cisneros,00:27:48.140,Munich 1972,Athletics,10000m men
4,USA,frank charles shorter,00:27:51.320,Munich 1972,Athletics,10000m men
5,GBR,david colin bedford,00:28:05.440,Munich 1972,Athletics,10000m men
6,YUG,daniel korica,00:28:15.180,Munich 1972,Athletics,10000m men
7,TUN,abdel kader zaddem,00:28:18.170,Munich 1972,Athletics,10000m men
8,TCH,josef jansky,00:28:23.590,Munich 1972,Athletics,10000m men
9,MEX,juan maximo martinez,00:28:44.080,Munich 1972,Athletics,10000m men
10,URS,pavlo andreiev,00:28:46.270,Munich 1972,Athletics,10000m men
11,ESP,javier alvarez salgado,00:28:56.380,Munich 1972,Athletics,10000m men
12,KEN,paul mose,00:29:02.870,Munich 1972,Athletics,10000m men
13,BEL,willy polleunis,00:29:10.150,Munich 1972,Athletics,10000m men
14,TUN,mohamed gammoudi,Did not finish,Munich 1972,Athletics,10000m men
15,FIJ,usaia sotutu,,Munich 1972,Athletics,10000m men
16,FRG,günther mielke,,Munich 1972,Athletics,10000m men
17,SWZ,richard mabusa,,Munich 1972,Athletics,10000m men
18,HAI,anilus joseph,,Munich 1972,Athletics,10000m men
19,NZL,gavin thorley,,Munich 1972,Athletics,10000m men
20,SOM,abdi gulet,Did not start,Munich 1972,Athletics,10000m men
21,CHI,edmundo warnke,Did not start,Munich 1972,Athletics,10000m men
22,FIN,juha väätainen,Did not start,Munich 1972,Athletics,10000m men
23,NOR,per halle,Did not start,Munich 1972,Athletics,10000m men
0,GDR,annelie ehrhardt,12.590,Munich 1972,Athletics,100m hurdles women
1,ROU,valeria bufanu-stefanescu,12.840,Munich 1972,Athletics,100m hurdles women
2,GDR,karin richert-balzer,12.900,Munich 1972,Athletics,100m hurdles women
3,AUS,pam kilborn-ryan,12.980,Munich 1972,Athletics,100m hurdles women
4,POL,teresa nowak,13.170,Munich 1972,Athletics,100m hurdles women
5,POL,danuta straszynska,13.180,Munich 1972,Athletics,100m hurdles women
6,GDR,annerose krumpholz,13.270,Munich 1972,Athletics,100m hurdles women
7,POL,grazyna rabsztyn,13.440,Munich 1972,Athletics,100m hurdles women
8,SUI,meta antenen,,Munich 1972,Athletics,100m hurdles women
9,GBR,mary peters,Did not start,Munich 1972,Athletics,100m hurdles women
10,PER,edith noding,Did not start,Munich 1972,Athletics,100m hurdles women
0,URS,valeriy borzov,10.140,Munich 1972,Athletics,100m men
1,USA,robert taylor,10.240,Munich 1972,Athletics,100m men
2,JAM,lennox miller,10.330,Munich 1972,Athletics,100m men
3,URS,aleksandr kornelyuk,10.360,Munich 1972,Athletics,100m men
4,JAM,mike fray,10.400,Munich 1972,Athletics,100m men
5,FRG,jobst hirscht,10.400,Munich 1972,Athletics,100m men
6,POL,zenon nowosz,10.460,Munich 1972,Athletics,100m men
7,TTO,hasely crawford,Did not finish,Munich 1972,Athletics,100m men
8,TOG,robert aregba,Did not start,Munich 1972,Athletics,100m men
9,CIV,gahoussou kone,Did not start,Munich 1972,Athletics,100m men
10,CUB,pablo montes casanova,Did not start,Munich 1972,Athletics,100m men
11,CUB,hermes julian ramirez limonta,Did not start,Munich 1972,Athletics,100m men
12,THA,anat ratanapol,Did not start,Munich 1972,Athletics,100m men
0,GDR,renate stecher,11.070,Munich 1972,Athletics,100m women
1,AUS,raelene ann boyle,11.230,Munich 1972,Athletics,100m women
2,CUB,silvia chivas baro,11.240,Munich 1972,Athletics,100m women
3,USA,iris la verne davis,11.320,Munich 1972,Athletics,100m women
4,FRG,annegret richter,11.380,Munich 1972,Athletics,100m women
5,GHA,alice annum,11.410,Munich 1972,Athletics,100m women
6,USA,barbara ann ferrell,11.450,Munich 1972,Athletics,100m women
7,TCH,eva lehocka-gleskova,12.480,Munich 1972,Athletics,100m women
8,URS,nadezhda besfamilnaya,Did not start,Munich 1972,Athletics,100m women
0,USA,rodney jr. milburn,13.240,Munich 1972,Athletics,110m hurdles men
1,FRA,guy drut,13.340,Munich 1972,Athletics,110m hurdles men
2,USA,thomas hill,13.480,Munich 1972,Athletics,110m hurdles men
3,USA,willie davenport,13.500,Munich 1972,Athletics,110m hurdles men
4,GDR,frank siebeck,13.710,Munich 1972,Athletics,110m hurdles men
5,POL,leszek wodzynski,13.720,Munich 1972,Athletics,110m hurdles men
6,TCH,lubomir nadenicek,13.760,Munich 1972,Athletics,110m hurdles men
7,TCH,petr čech,13.860,Munich 1972,Athletics,110m hurdles men
8,ITA,giuseppe buttari,,Munich 1972,Athletics,110m hurdles men
9,CUB,alejandro casañas,,Munich 1972,Athletics,110m hurdles men
0,FIN,pekka vasala,00:03:36.330,Munich 1972,Athletics,1500m men
1,KEN,kipchoge keino,00:03:36.810,Munich 1972,Athletics,1500m men
2,NZL,rodney dixon,00:03:37.460,Munich 1972,Athletics,1500m men
3,KEN,mike boit,00:03:38.410,Munich 1972,Athletics,1500m men
4,GBR,brendan foster,00:03:39.020,Munich 1972,Athletics,1500m men
5,BEL,herman mignon,00:03:39.050,Munich 1972,Athletics,1500m men
6,FRG,paul-heinz wellmann,00:03:40.080,Munich 1972,Athletics,1500m men
7,URS,vladimir pantelei,00:03:40.240,Munich 1972,Athletics,1500m men
8,NZL,anthony polhill,00:03:41.800,Munich 1972,Athletics,1500m men
9,DEN,tom birger hansen,00:03:46.600,Munich 1972,Athletics,1500m men
10,NED,bram wassenaar,Did not start,Munich 1972,Athletics,1500m men
11,FRA,robert leborgne,Did not start,Munich 1972,Athletics,1500m men
12,LBN,kassem hamze,Did not start,Munich 1972,Athletics,1500m men
13,URS,yevgeni arzhanov,Did not start,Munich 1972,Athletics,1500m men
14,ZAM,benson mulomba,Did not start,Munich 1972,Athletics,1500m men
0,URS,lyudmila bragina,00:04:01.380,Munich 1972,Athletics,1500m women
1,GDR,gunhild hoffmeister,00:04:02.830,Munich 1972,Athletics,1500m women
2,ITA,paola pigni-cacchi,00:04:02.850,Munich 1972,Athletics,1500m women
3,GDR,karin burneleit,00:04:04.110,Munich 1972,Athletics,1500m women
4,GBR,sheila janet taylor-carey,00:04:04.810,Munich 1972,Athletics,1500m women
5,NED,ilja keizer-laman,00:04:05.130,Munich 1972,Athletics,1500m women
6,URS,tamara pangelova,00:04:06.450,Munich 1972,Athletics,1500m women
7,AUS,jennifer louise orr-mcconell,00:04:12.150,Munich 1972,Athletics,1500m women
8,NED,bernardina boxem-lenferink,00:04:13.100,Munich 1972,Athletics,1500m women
9,HUN,magdolna kulcsar-rozsa,,Munich 1972,Athletics,1500m women
10,LBN,arda kalpakian,Did not start,Munich 1972,Athletics,1500m women
11,USA,doris elaine brown,Did not start,Munich 1972,Athletics,1500m women
0,URS,valeriy borzov,20.000,Munich 1972,Athletics,200m men
1,USA,lawrence j. black,20.190,Munich 1972,Athletics,200m men
2,ITA,pietro mennea,20.300,Munich 1972,Athletics,200m men
3,USA,lawrence godfrey burton,20.370,Munich 1972,Athletics,200m men
4,USA,charles kenneth smith,20.550,Munich 1972,Athletics,200m men
5,GDR,siegfried schenke,20.560,Munich 1972,Athletics,200m men
6,FRG,martin jellinghaus,20.650,Munich 1972,Athletics,200m men
7,GDR,hans-joachim zenk,21.050,Munich 1972,Athletics,200m men
8,JAM,donald quarrie,,Munich 1972,Athletics,200m men
9,GHA,james aryee addy,,Munich 1972,Athletics,200m men
10,SUR,samuel monsels,,Munich 1972,Athletics,200m men
11,CHA,salem alah-djaba,,Munich 1972,Athletics,200m men
12,PAR,rodolfo rieder,Did not start,Munich 1972,Athletics,200m men
13,CAM,mao samphon,Did not start,Munich 1972,Athletics,200m men
14,CAN,charlie francis,Did not start,Munich 1972,Athletics,200m men
15,CIV,amadou méité,Did not start,Munich 1972,Athletics,200m men
16,KUW,abdul aziz abdul kareem,Did not start,Munich 1972,Athletics,200m men
17,MAD,jean-louis ravelomanantsoa,Did not start,Munich 1972,Athletics,200m men
18,NGR,benedict majekodunmi,Did not start,Munich 1972,Athletics,200m men
