,country,participant,result,olympic_game,discipline,event
0,,,757,Munich 1972,Basketball,basketball men
1,,,660,Munich 1972,Basketball,basketball men
2,,,687,Munich 1972,Basketball,basketball men
3,,,650,Munich 1972,Basketball,basketball men
4,,,734,Munich 1972,Basketball,basketball men
5,,,727 / Member(s) DSQ for doping,Munich 1972,Basketball,basketball men
6,,,731,Munich 1972,Basketball,basketball men
7,,,625,Munich 1972,Basketball,basketball men
8,,,684,Munich 1972,Basketball,basketball men
9,,,690,Munich 1972,Basketball,basketball men
10,,,646,Munich 1972,Basketball,basketball men
11,,,634,Munich 1972,Basketball,basketball men
12,,,608,Munich 1972,Basketball,basketball men
13,,,585,Munich 1972,Basketball,basketball men
14,,,472,Munich 1972,Basketball,basketball men
15,,,440,Munich 1972,Basketball,basketball men
