,country,participant,result,olympic_game,discipline,event
0,JPN,toyokazu nomura,,Munich 1972,Judo,63  70kg halfmiddleweight men
1,POL,antoni zajkowski,,Munich 1972,Judo,63  70kg halfmiddleweight men
2,GDR,dietmar hötger,,Munich 1972,Judo,63  70kg halfmiddleweight men
3,URS,anatoli novikov,,Munich 1972,Judo,63  70kg halfmiddleweight men
4,FRG,engelbert dorrbrandt,,Munich 1972,Judo,63  70kg halfmiddleweight men
5,HUN,antal hetenyi,,Munich 1972,Judo,63  70kg halfmiddleweight men
6,TPE,yong-she wang,,Munich 1972,Judo,63  70kg halfmiddleweight men
7,SUI,reto zinsli,,Munich 1972,Judo,63  70kg halfmiddleweight men
8,MAD,justin andriamanantena,,Munich 1972,Judo,63  70kg halfmiddleweight men
9,AUT,gerold jungwirth,,Munich 1972,Judo,63  70kg halfmiddleweight men
10,FRA,patrick vial,,Munich 1972,Judo,63  70kg halfmiddleweight men
11,POR,antonio roquette andrade,,Munich 1972,Judo,63  70kg halfmiddleweight men
12,PHI,geronimo dyogi,,Munich 1972,Judo,63  70kg halfmiddleweight men
13,MEX,raul foullon,,Munich 1972,Judo,63  70kg halfmiddleweight men
14,AUS,douglas george churchill,,Munich 1972,Judo,63  70kg halfmiddleweight men
15,PUR,gustavo brito,,Munich 1972,Judo,63  70kg halfmiddleweight men
16,KOR,in-gwon jang,,Munich 1972,Judo,63  70kg halfmiddleweight men
17,USA,patrick mitsugi burris,,Munich 1972,Judo,63  70kg halfmiddleweight men
18,MGL,baatarjav damiran,,Munich 1972,Judo,63  70kg halfmiddleweight men
19,SEN,boubacar sidibe,,Munich 1972,Judo,63  70kg halfmiddleweight men
20,LIE,paul armin buchel,,Munich 1972,Judo,63  70kg halfmiddleweight men
21,HKG,cheuk-wing mok,,Munich 1972,Judo,63  70kg halfmiddleweight men
22,GBR,robert sullivan,,Munich 1972,Judo,63  70kg halfmiddleweight men
23,BEL,robert van de weyer,,Munich 1972,Judo,63  70kg halfmiddleweight men
24,CAN,william mcgregor,,Munich 1972,Judo,63  70kg halfmiddleweight men
25,ITA,luciano di palma,,Munich 1972,Judo,63  70kg halfmiddleweight men
26,IRL,liam carroll,,Munich 1972,Judo,63  70kg halfmiddleweight men
27,NCA,erwin garcia,,Munich 1972,Judo,63  70kg halfmiddleweight men
0,JPN,takao kawaguchi,,Munich 1972,Judo,63kg lightweight men
1,PRK,yong ik kim,,Munich 1972,Judo,63kg lightweight men
2,FRA,jean-jacques mounier,,Munich 1972,Judo,63kg lightweight men
