,country,participant,result,olympic_game,discipline,event
0,POL,jozef zapedzki,595,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
1,TCH,ladislav falta,594,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
2,URS,viktor torshin,593,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
3,SUI,paul buser,592,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
4,ESP,jaime gonzalez chaz,592,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
5,ITA,giovanni liverzani,591,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
6,BUL,dentcho todorov denev,590,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
7,AUT,gerhard petritsch,590,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
8,TCH,vladimir hurt,590,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
9,USA,james henderson mcnally,589,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
10,FRG,helmut seeger,589,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
11,ROU,daniel iuga,589,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
12,FIN,immo uolevi huhtinen,589,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
13,POL,zbigniew fedyczak,587,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
14,ESP,damian cerda mairata,586,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
15,FRG,erwin glock,586,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
16,NOR,thor-øistein endsjø,586,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
17,AUS,alexander taransky,586,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
18,GBR,john patrick cooke,585,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
19,CUB,arturo costa valdes,583,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
20,GDR,christian düring,583,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
21,THA,solos nalampoon,583,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
22,HUN,szilard kun,583,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
23,URS,igor bakalov,583,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
24,ROU,ion tripsa,582,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
25,FRA,jean baumann,582,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
26,FIN,seppo ilmari makinen,582,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
27,NZL,bruce mcmillan,582,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
28,CAN,jules sobrian,582,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
29,JPN,kanji kubo,582,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
30,SWE,curt andersson,582,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
31,AUT,hubert garschall,581,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
32,JPN,takeo kamachi,580,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
33,GBR,anthony john clark,579,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
34,FRA,jean richard germont,579,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
35,POR,andre antunes,578,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
36,MEX,homero laddaga,578,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
37,LUX,michel braun,577,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
38,MGL,mjagmarsjav tudeviin,577,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
39,COL,luis colima,577,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
40,CAN,william e. hare,577,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
41,BUL,ivan mandov,576,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
42,VEN,victor francis,573,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
43,DEN,lennart christensen,573,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
44,USA,william willard mcmillan,572,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
45,THA,rangsit yanothai,571,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
46,SMR,bruno morri,570,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
47,ARG,nelson charles torno,569,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
48,ITA,roberto ferraris,568,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
49,GUA,victor castellanos barrios,567,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
50,COL,guillermo martinez,564,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
51,PUR,simon gonzalez,563,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
52,PHI,rafael recto,553,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
53,MEX,mario sanchez,551,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
54,KEN,leonard james bull,548,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
55,ESA,jose luis rosales,543,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
56,PHI,mariano (tom) ong,533,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
57,KEN,peter laurence,533,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
58,ISV,robert mcauliffe,494,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
59,SUI,kurt rey,440,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
60,SMR,roberto tamagnini,Did not finish,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
61,PUR,fernando miranda,Did not finish,Munich 1972,Shooting,25m rapid fire pistol 60 shots mixed
0,USA,lones wesley jr. wigger,"1,155",Munich 1972,Shooting,300m free rifle 3 positions 3x40 shots mixed
1,URS,boris melnik,"1,155",Munich 1972,Shooting,300m free rifle 3 positions 3x40 shots mixed
2,HUN,lajos papp,"1,149",Munich 1972,Shooting,300m free rifle 3 positions 3x40 shots mixed
3,GDR,uto wunderlich,"1,149",Munich 1972,Shooting,300m free rifle 3 positions 3x40 shots mixed
4,TCH,karel bulan,"1,146",Munich 1972,Shooting,300m free rifle 3 positions 3x40 shots mixed
5,FIN,jaakko otto minkkinen,"1,146",Munich 1972,Shooting,300m free rifle 3 positions 3x40 shots mixed
6,USA,lanny bassham,"1,144",Munich 1972,Shooting,300m free rifle 3 positions 3x40 shots mixed
