,country,participant,result,olympic_game,discipline,event
0,,,14,Munich 1972,Volleyball,volleyball men
1,,,12,Munich 1972,Volleyball,volleyball men
2,,,13,Munich 1972,Volleyball,volleyball men
3,,,11,Munich 1972,Volleyball,volleyball men
4,,,11,Munich 1972,Volleyball,volleyball men
5,,,11,Munich 1972,Volleyball,volleyball men
6,,,10,Munich 1972,Volleyball,volleyball men
7,,,9,Munich 1972,Volleyball,volleyball men
8,,,8,Munich 1972,Volleyball,volleyball men
9,,,8,Munich 1972,Volleyball,volleyball men
10,,,7,Munich 1972,Volleyball,volleyball men
11,,,6,Munich 1972,Volleyball,volleyball men
0,,,10,Munich 1972,Volleyball,volleyball women
1,,,9,Munich 1972,Volleyball,volleyball women
2,,,8,Munich 1972,Volleyball,volleyball women
3,,,7,Munich 1972,Volleyball,volleyball women
4,,,8,Munich 1972,Volleyball,volleyball women
5,,,7,Munich 1972,Volleyball,volleyball women
6,,,6,Munich 1972,Volleyball,volleyball women
7,,,5,Munich 1972,Volleyball,volleyball women
