,country,participant,result,olympic_game,discipline,event
0,,,,Nagano 1998,Curling,curling men
1,,,,Nagano 1998,Curling,curling men
2,,,,Nagano 1998,Curling,curling men
3,,,,Nagano 1998,Curling,curling men
4,,,,Nagano 1998,Curling,curling men
5,,,,Nagano 1998,Curling,curling men
6,,,,Nagano 1998,Curling,curling men
7,,,,Nagano 1998,Curling,curling men
0,,,,Nagano 1998,Curling,curling women
1,,,,Nagano 1998,Curling,curling women
2,,,,Nagano 1998,Curling,curling women
3,,,,Nagano 1998,Curling,curling women
4,,,,Nagano 1998,Curling,curling women
5,,,,Nagano 1998,Curling,curling women
6,,,,Nagano 1998,Curling,curling women
7,,,,Nagano 1998,Curling,curling women
