,country,participant,result,olympic_game,discipline,event
0,RUS,evgeny platov,2.0,Nagano 1998,Figure skating,Ice dancing mixed
1,RUS,anjelika krylova,4.0,Nagano 1998,Figure skating,Ice dancing mixed
2,FRA,marina anissina,7.0,Nagano 1998,Figure skating,Ice dancing mixed
3,CAN,shae-lynn bourne,7.2,Nagano 1998,Figure skating,Ice dancing mixed
4,RUS,ilia averbukh,9.8,Nagano 1998,Figure skating,Ice dancing mixed
5,ITA,maurizio margaglio,12.0,Nagano 1998,Figure skating,Ice dancing mixed
6,USA,elizabeth punsalan,14.0,Nagano 1998,Figure skating,Ice dancing mixed
7,LTU,povilas vanagas,16.2,Nagano 1998,Figure skating,Ice dancing mixed
8,UKR,igor yaroshenko,18.4,Nagano 1998,Figure skating,Ice dancing mixed
9,GER,kati winkler,19.8,Nagano 1998,Figure skating,Ice dancing mixed
10,FRA,pascal lavanchy,22.2,Nagano 1998,Figure skating,Ice dancing mixed
11,POL,sylwia nowak,23.4,Nagano 1998,Figure skating,Ice dancing mixed
12,CZE,katerina mrazova,26.0,Nagano 1998,Figure skating,Ice dancing mixed
13,ISR,sergey sakhnovsky,28.6,Nagano 1998,Figure skating,Ice dancing mixed
14,UKR,ruslan goncharov,30.2,Nagano 1998,Figure skating,Ice dancing mixed
15,BLR,tatyana navka,32.0,Nagano 1998,Figure skating,Ice dancing mixed
16,ITA,pasquale camerlengo,33.2,Nagano 1998,Figure skating,Ice dancing mixed
17,BUL,maksim stavisky,36.0,Nagano 1998,Figure skating,Ice dancing mixed
18,CAN,michel brunet,38.0,Nagano 1998,Figure skating,Ice dancing mixed
19,FRA,martial jaffredo,40.8,Nagano 1998,Figure skating,Ice dancing mixed
20,USA,charles butler,41.4,Nagano 1998,Figure skating,Ice dancing mixed
21,KAZ,yelizaveta stekolnikova,44.2,Nagano 1998,Figure skating,Ice dancing mixed
22,JPN,aya kawai,45.6,Nagano 1998,Figure skating,Ice dancing mixed
23,ARM,xenia smetanenko,48.0,Nagano 1998,Figure skating,Ice dancing mixed
0,RUS,ilia kulik,1.5,Nagano 1998,Figure skating,Individual men
1,CAN,elvis stojko,4.0,Nagano 1998,Figure skating,Individual men
2,FRA,philippe candeloro,4.5,Nagano 1998,Figure skating,Individual men
3,USA,todd eldredge,5.5,Nagano 1998,Figure skating,Individual men
4,RUS,alexei yagudin,7.0,Nagano 1998,Figure skating,Individual men
5,GBR,steven cousins,10.0,Nagano 1998,Figure skating,Individual men
6,USA,michael weiss,11.5,Nagano 1998,Figure skating,Individual men
7,CHN,zhengxin guo,14.0,Nagano 1998,Figure skating,Individual men
8,DEN,michael tyllesen,15.5,Nagano 1998,Figure skating,Individual men
9,UKR,v'iacheslav zahorodniuk,16.0,Nagano 1998,Figure skating,Individual men
10,BUL,ivan dinev,17.5,Nagano 1998,Figure skating,Individual men
11,CAN,jeff langdon,18.5,Nagano 1998,Figure skating,Individual men
12,HUN,szabolcs vidrai,19.0,Nagano 1998,Figure skating,Individual men
13,UKR,dmytro dmytrenko,20.0,Nagano 1998,Figure skating,Individual men
14,JPN,takeshi honda,21.0,Nagano 1998,Figure skating,Individual men
15,AZE,igor pashkevitch,21.5,Nagano 1998,Figure skating,Individual men
16,JPN,yamato tamura,24.5,Nagano 1998,Figure skating,Individual men
17,ISR,michael shmerkin,25.0,Nagano 1998,Figure skating,Individual men
18,UZB,roman skorniakov,29.0,Nagano 1998,Figure skating,Individual men
19,EST,margus hernits,29.5,Nagano 1998,Figure skating,Individual men
20,ROU,cornel gheorghe,31.5,Nagano 1998,Figure skating,Individual men
21,SUI,patrick meier,33.0,Nagano 1998,Figure skating,Individual men
22,ITA,gilberto viadana,35.0,Nagano 1998,Figure skating,Individual men
23,KOR,kyu-hyun lee,35.5,Nagano 1998,Figure skating,Individual men
0,USA,tara lipinski,2.0,Nagano 1998,Figure skating,Individual women
1,USA,michelle kwan,2.5,Nagano 1998,Figure skating,Individual women
2,CHN,lu chen,5.0,Nagano 1998,Figure skating,Individual women
3,RUS,maria butyrskaya,5.5,Nagano 1998,Figure skating,Individual women
4,RUS,irina slutskaya,7.5,Nagano 1998,Figure skating,Individual women
5,FRA,vanessa gusmeroli,10.0,Nagano 1998,Figure skating,Individual women
6,RUS,elena sokolova,12.0,Nagano 1998,Figure skating,Individual women
7,UZB,tatiana malinina,12.5,Nagano 1998,Figure skating,Individual women
8,UKR,elena liashenko,13.5,Nagano 1998,Figure skating,Individual women
9,FRA,surya bonaly,14.0,Nagano 1998,Figure skating,Individual women
10,UKR,yulia lavrenchuk,16.5,Nagano 1998,Figure skating,Individual women
11,AUS,joanne carter,17.5,Nagano 1998,Figure skating,Individual women
12,JPN,shizuka arakawa,21.0,Nagano 1998,Figure skating,Individual women
13,AUT,julia lautowa,23.5,Nagano 1998,Figure skating,Individual women
14,HUN,julia sebestyen,24.5,Nagano 1998,Figure skating,Individual women
15,AZE,yuliya vorobyova,25.0,Nagano 1998,Figure skating,Individual women
16,USA,nicole bobek,25.5,Nagano 1998,Figure skating,Individual women
17,CZE,lenka kulovana,26.0,Nagano 1998,Figure skating,Individual women
18,POL,anna rechnio,26.5,Nagano 1998,Figure skating,Individual women
19,FRA,laetitia hubert,27.0,Nagano 1998,Figure skating,Individual women
20,FIN,alisa drei,29.0,Nagano 1998,Figure skating,Individual women
21,ESP,marta andrade vidal,34.0,Nagano 1998,Figure skating,Individual women
22,SLO,mojca kopac,34.0,Nagano 1998,Figure skating,Individual women
23,RSA,shirene human,35.5,Nagano 1998,Figure skating,Individual women
0,RUS,oksana kazakova,1.5,Nagano 1998,Figure skating,Pairs mixed
1,RUS,anton sikharulidze,3.5,Nagano 1998,Figure skating,Pairs mixed
2,GER,ingo steuer,4.0,Nagano 1998,Figure skating,Pairs mixed
3,USA,kyoko ina,6.0,Nagano 1998,Figure skating,Pairs mixed
4,CHN,xue shen,9.0,Nagano 1998,Figure skating,Pairs mixed
5,FRA,sarah abitbol,9.5,Nagano 1998,Figure skating,Pairs mixed
6,RUS,andrei bushkov,9.5,Nagano 1998,Figure skating,Pairs mixed
7,USA,todd sand,12.0,Nagano 1998,Figure skating,Pairs mixed
8,GER,peggy schwarz,12.5,Nagano 1998,Figure skating,Pairs mixed
9,POL,mariusz siudek,16.0,Nagano 1998,Figure skating,Pairs mixed
10,UKR,ihor marchenko,16.5,Nagano 1998,Figure skating,Pairs mixed
11,CAN,kristofer wirtz,17.5,Nagano 1998,Figure skating,Pairs mixed
12,AUS,danielle mcgrath,20.5,Nagano 1998,Figure skating,Pairs mixed
13,KAZ,marina khalturina,22.0,Nagano 1998,Figure skating,Pairs mixed
14,CZE,otto dlabola,22.0,Nagano 1998,Figure skating,Pairs mixed
15,CAN,m.-claude savard-gagnon,22.0,Nagano 1998,Figure skating,Pairs mixed
16,FRA,sabrina lefrancois,25.5,Nagano 1998,Figure skating,Pairs mixed
17,AZE,aleksandr anichenko,27.5,Nagano 1998,Figure skating,Pairs mixed
18,ARM,maria krasiltseva,28.0,Nagano 1998,Figure skating,Pairs mixed
19,JPN,shin amano,30.0,Nagano 1998,Figure skating,Pairs mixed
