,country,participant,result,olympic_game,discipline,event
0,NOR,bjarte engen vik,,Nagano 1998,Nordic Combined,Individual men
1,FIN,samppa lajunen,,Nagano 1998,Nordic Combined,Individual men
2,RUS,valery stolyarov,,Nagano 1998,Nordic Combined,Individual men
3,JPN,kenji ogiwara,,Nagano 1998,Nordic Combined,Individual men
4,CZE,milan kucera,,Nagano 1998,Nordic Combined,Individual men
5,JPN,tsugiharu ogiwara,,Nagano 1998,Nordic Combined,Individual men
6,FRA,nicolas bal,,Nagano 1998,Nordic Combined,Individual men
7,AUT,mario stecher,,Nagano 1998,Nordic Combined,Individual men
8,FRA,sylvain guillaume,,Nagano 1998,Nordic Combined,Individual men
9,RUS,dmitry sinitsyn,,Nagano 1998,Nordic Combined,Individual men
10,FIN,hannu manninen,,Nagano 1998,Nordic Combined,Individual men
11,GER,ronny ackermann,,Nagano 1998,Nordic Combined,Individual men
12,GER,jens deimel,,Nagano 1998,Nordic Combined,Individual men
13,CZE,ladislav rygl,,Nagano 1998,Nordic Combined,Individual men
14,FIN,tapio nurmela,,Nagano 1998,Nordic Combined,Individual men
15,NOR,fred boerre lundberg,,Nagano 1998,Nordic Combined,Individual men
16,SUI,jean-yves cuendet,,Nagano 1998,Nordic Combined,Individual men
17,SUI,urs kunz,,Nagano 1998,Nordic Combined,Individual men
18,AUT,christoph bieler,,Nagano 1998,Nordic Combined,Individual men
19,USA,todd lodwick,,Nagano 1998,Nordic Combined,Individual men
20,AUT,felix gottwald,,Nagano 1998,Nordic Combined,Individual men
21,ITA,andrea longo,,Nagano 1998,Nordic Combined,Individual men
22,JPN,junichi kogawa,,Nagano 1998,Nordic Combined,Individual men
23,AUT,christoph eugen,,Nagano 1998,Nordic Combined,Individual men
24,SUI,marco zarucchi,,Nagano 1998,Nordic Combined,Individual men
25,NOR,kristian hammer,,Nagano 1998,Nordic Combined,Individual men
26,FIN,jari mantila,,Nagano 1998,Nordic Combined,Individual men
27,SUI,andy hartmann,,Nagano 1998,Nordic Combined,Individual men
28,FRA,fabrice guy,,Nagano 1998,Nordic Combined,Individual men
29,USA,john jarrett,,Nagano 1998,Nordic Combined,Individual men
30,FRA,ludovic roux,,Nagano 1998,Nordic Combined,Individual men
31,GER,matthias looss,,Nagano 1998,Nordic Combined,Individual men
32,EST,magnar freimuth,,Nagano 1998,Nordic Combined,Individual men
33,USA,william michael demong,,Nagano 1998,Nordic Combined,Individual men
34,CZE,jan matura,,Nagano 1998,Nordic Combined,Individual men
35,USA,timothy tetreault,,Nagano 1998,Nordic Combined,Individual men
36,RUS,aleksey fadeyev,,Nagano 1998,Nordic Combined,Individual men
37,JPN,satoshi mori,,Nagano 1998,Nordic Combined,Individual men
38,EST,jens salumae,,Nagano 1998,Nordic Combined,Individual men
39,CZE,petr smejc,,Nagano 1998,Nordic Combined,Individual men
40,SLO,roman perko,,Nagano 1998,Nordic Combined,Individual men
41,BLR,konstantin kalinovsky,,Nagano 1998,Nordic Combined,Individual men
42,BLR,siarhei zakharenka,,Nagano 1998,Nordic Combined,Individual men
43,EST,tambet pikkor,,Nagano 1998,Nordic Combined,Individual men
44,RUS,denis tichaguine,Did not finish,Nagano 1998,Nordic Combined,Individual men
45,NOR,halldor skard,Did not finish,Nagano 1998,Nordic Combined,Individual men
46,GER,josef buchner,Did not finish,Nagano 1998,Nordic Combined,Individual men
47,EST,ago markvardt,Did not finish,Nagano 1998,Nordic Combined,Individual men
0,,,,Nagano 1998,Nordic Combined,Team men
1,,,,Nagano 1998,Nordic Combined,Team men
2,,,,Nagano 1998,Nordic Combined,Team men
3,,,,Nagano 1998,Nordic Combined,Team men
4,,,,Nagano 1998,Nordic Combined,Team men
5,,,,Nagano 1998,Nordic Combined,Team men
6,,,,Nagano 1998,Nordic Combined,Team men
7,,,,Nagano 1998,Nordic Combined,Team men
8,,,,Nagano 1998,Nordic Combined,Team men
9,,,,Nagano 1998,Nordic Combined,Team men
10,,,,Nagano 1998,Nordic Combined,Team men
