,country,participant,result,olympic_game,discipline,event
0,JPN,kazuyoshi funaki,272.3,Nagano 1998,Ski Jumping,Large Hill Individual men
1,FIN,jani soininen,260.8,Nagano 1998,Ski Jumping,Large Hill Individual men
2,JPN,masahiko harada,258.3,Nagano 1998,Ski Jumping,Large Hill Individual men
3,AUT,andreas widhoelzl,258.2,Nagano 1998,Ski Jumping,Large Hill Individual men
4,SLO,primoz peterka,251.1,Nagano 1998,Ski Jumping,Large Hill Individual men
5,JPN,takanobu okabe,250.1,Nagano 1998,Ski Jumping,Large Hill Individual men
6,AUT,reinhard schwarzenberger,244.2,Nagano 1998,Ski Jumping,Large Hill Individual men
7,CZE,michal dolezal,243.2,Nagano 1998,Ski Jumping,Large Hill Individual men
8,NOR,roar ljoekelsoey,242.3,Nagano 1998,Ski Jumping,Large Hill Individual men
9,NOR,lasse ottesen,238.9,Nagano 1998,Ski Jumping,Large Hill Individual men
10,POL,wojciech skupien,237.5,Nagano 1998,Ski Jumping,Large Hill Individual men
11,GER,dieter thoma,235.6,Nagano 1998,Ski Jumping,Large Hill Individual men
12,NOR,kristian brenden,234.5,Nagano 1998,Ski Jumping,Large Hill Individual men
13,GER,martin schmitt,233.7,Nagano 1998,Ski Jumping,Large Hill Individual men
14,CZE,jakub suchacek,229.3,Nagano 1998,Ski Jumping,Large Hill Individual men
15,FRA,nicolas dessum,228.5,Nagano 1998,Ski Jumping,Large Hill Individual men
16,SLO,blaz vrhovnik,226.8,Nagano 1998,Ski Jumping,Large Hill Individual men
17,FIN,mika laitinen,222.5,Nagano 1998,Ski Jumping,Large Hill Individual men
18,SUI,bruno reuteler,222.3,Nagano 1998,Ski Jumping,Large Hill Individual men
19,POL,robert mateja,219.6,Nagano 1998,Ski Jumping,Large Hill Individual men
20,FRA,jérome gay,219.3,Nagano 1998,Ski Jumping,Large Hill Individual men
21,ITA,roberto cecon,217.6,Nagano 1998,Ski Jumping,Large Hill Individual men
22,RUS,artur khamidullin,217.2,Nagano 1998,Ski Jumping,Large Hill Individual men
23,CZE,frantisek jez,208.7,Nagano 1998,Ski Jumping,Large Hill Individual men
24,KAZ,stanislav filimonov,206.6,Nagano 1998,Ski Jumping,Large Hill Individual men
25,SVK,martin mesik,198.0,Nagano 1998,Ski Jumping,Large Hill Individual men
26,RUS,alexander volkov,179.5,Nagano 1998,Ski Jumping,Large Hill Individual men
27,SLO,peter zonta,178.4,Nagano 1998,Ski Jumping,Large Hill Individual men
28,UKR,volodymyr hiyvka,168.5,Nagano 1998,Ski Jumping,Large Hill Individual men
29,USA,casey colby,165.8,Nagano 1998,Ski Jumping,Large Hill Individual men
30,FIN,ari-pekka nikkola,94.3,Nagano 1998,Ski Jumping,Large Hill Individual men
31,BLR,aleksandr sinyavsky,94.2,Nagano 1998,Ski Jumping,Large Hill Individual men
