,URLS
0,https://olympics.com/en/olympic-games/beijing-2022/results/alpine-skiing
1,https://olympics.com/en/olympic-games/beijing-2022/results/biathlon
2,https://olympics.com/en/olympic-games/beijing-2022/results/bobsleigh
3,https://olympics.com/en/olympic-games/beijing-2022/results/cross-country-skiing
4,https://olympics.com/en/olympic-games/beijing-2022/results/curling
5,https://olympics.com/en/olympic-games/beijing-2022/results/figure-skating
6,https://olympics.com/en/olympic-games/beijing-2022/results/freestyle-skiing
7,https://olympics.com/en/olympic-games/beijing-2022/results/ice-hockey
8,https://olympics.com/en/olympic-games/beijing-2022/results/luge
9,https://olympics.com/en/olympic-games/beijing-2022/results/nordic-combined
10,https://olympics.com/en/olympic-games/beijing-2022/results/short-track-speed-skating
11,https://olympics.com/en/olympic-games/beijing-2022/results/skeleton
12,https://olympics.com/en/olympic-games/beijing-2022/results/ski-jumping
13,https://olympics.com/en/olympic-games/beijing-2022/results/snowboard
14,https://olympics.com/en/olympic-games/beijing-2022/results/speed-skating
15,https://olympics.com/en/olympic-games/tokyo-2020/results/3x3-basketball
16,https://olympics.com/en/olympic-games/tokyo-2020/results/archery
17,https://olympics.com/en/olympic-games/tokyo-2020/results/artistic-gymnastics
18,https://olympics.com/en/olympic-games/tokyo-2020/results/artistic-swimming
19,https://olympics.com/en/olympic-games/tokyo-2020/results/athletics
20,https://olympics.com/en/olympic-games/tokyo-2020/results/badminton
21,https://olympics.com/en/olympic-games/tokyo-2020/results/baseball-softball
22,https://olympics.com/en/olympic-games/tokyo-2020/results/basketball
23,https://olympics.com/en/olympic-games/tokyo-2020/results/beach-volleyball
24,https://olympics.com/en/olympic-games/tokyo-2020/results/boxing
25,https://olympics.com/en/olympic-games/tokyo-2020/results/canoe-slalom
26,https://olympics.com/en/olympic-games/tokyo-2020/results/cycling-bmx-freestyle
27,https://olympics.com/en/olympic-games/tokyo-2020/results/cycling-bmx-racing
28,https://olympics.com/en/olympic-games/tokyo-2020/results/cycling-mountain-bike
29,https://olympics.com/en/olympic-games/tokyo-2020/results/cycling-road
30,https://olympics.com/en/olympic-games/tokyo-2020/results/cycling-track
31,https://olympics.com/en/olympic-games/tokyo-2020/results/diving
32,https://olympics.com/en/olympic-games/tokyo-2020/results/equestrian
33,https://olympics.com/en/olympic-games/tokyo-2020/results/fencing
34,https://olympics.com/en/olympic-games/tokyo-2020/results/football
35,https://olympics.com/en/olympic-games/tokyo-2020/results/golf
36,https://olympics.com/en/olympic-games/tokyo-2020/results/handball
37,https://olympics.com/en/olympic-games/tokyo-2020/results/hockey
38,https://olympics.com/en/olympic-games/tokyo-2020/results/judo
39,https://olympics.com/en/olympic-games/tokyo-2020/results/karate
40,https://olympics.com/en/olympic-games/tokyo-2020/results/marathon-swimming
41,https://olympics.com/en/olympic-games/tokyo-2020/results/modern-pentathlon
42,https://olympics.com/en/olympic-games/tokyo-2020/results/rhythmic-gymnastics
43,https://olympics.com/en/olympic-games/tokyo-2020/results/rowing
44,https://olympics.com/en/olympic-games/tokyo-2020/results/rugby-sevens
45,https://olympics.com/en/olympic-games/tokyo-2020/results/sailing
46,https://olympics.com/en/olympic-games/tokyo-2020/results/shooting
47,https://olympics.com/en/olympic-games/tokyo-2020/results/skateboarding
48,https://olympics.com/en/olympic-games/tokyo-2020/results/sport-climbing
49,https://olympics.com/en/olympic-games/tokyo-2020/results/surfing
50,https://olympics.com/en/olympic-games/tokyo-2020/results/swimming
51,https://olympics.com/en/olympic-games/tokyo-2020/results/table-tennis
52,https://olympics.com/en/olympic-games/tokyo-2020/results/taekwondo
53,https://olympics.com/en/olympic-games/tokyo-2020/results/tennis
54,https://olympics.com/en/olympic-games/tokyo-2020/results/triathlon
55,https://olympics.com/en/olympic-games/tokyo-2020/results/volleyball
56,https://olympics.com/en/olympic-games/tokyo-2020/results/water-polo
57,https://olympics.com/en/olympic-games/tokyo-2020/results/weightlifting
58,https://olympics.com/en/olympic-games/tokyo-2020/results/wrestling
59,https://olympics.com/en/olympic-games/pyeongchang-2018/results/alpine-skiing
60,https://olympics.com/en/olympic-games/pyeongchang-2018/results/biathlon
61,https://olympics.com/en/olympic-games/pyeongchang-2018/results/bobsleigh
62,https://olympics.com/en/olympic-games/pyeongchang-2018/results/cross-country-skiing
63,https://olympics.com/en/olympic-games/pyeongchang-2018/results/curling
64,https://olympics.com/en/olympic-games/pyeongchang-2018/results/figure-skating
65,https://olympics.com/en/olympic-games/pyeongchang-2018/results/freestyle-skiing
66,https://olympics.com/en/olympic-games/pyeongchang-2018/results/ice-hockey
67,https://olympics.com/en/olympic-games/pyeongchang-2018/results/luge
