,country,participant,result,olympic_game,discipline,event
0,USA,richard button,9×1+,Oslo 1952,Figure skating,Individual men
1,AUT,hellmut seibt,6×2+,Oslo 1952,Figure skating,Individual men
2,USA,james grogan,9×3+,Oslo 1952,Figure skating,Individual men
3,USA,hayes allen jenkins,9×5+,Oslo 1952,Figure skating,Individual men
4,CAN,peter firstbrook,7×5+,Oslo 1952,Figure skating,Individual men
5,ITA,carlo fassi,9×6+,Oslo 1952,Figure skating,Individual men
6,FRA,alain giletti,9×7+,Oslo 1952,Figure skating,Individual men
7,GER,freimut stein,9×8+,Oslo 1952,Figure skating,Individual men
8,SUI,françois pache,5×9+,Oslo 1952,Figure skating,Individual men
9,AUS,adrian swan,8×11+,Oslo 1952,Figure skating,Individual men
10,AUT,kurt oppelt,7×11+,Oslo 1952,Figure skating,Individual men
11,HUN,györgy czako,5×12+,Oslo 1952,Figure skating,Individual men
12,FIN,kalle tuulos,8×13+,Oslo 1952,Figure skating,Individual men
13,DEN,per cock-clausen,9×14+,Oslo 1952,Figure skating,Individual men
0,GBR,jeannette altwegg,6×1+,Oslo 1952,Figure skating,Individual women
1,USA,tenley albright,5×2+,Oslo 1952,Figure skating,Individual women
2,FRA,jacqueline du bief,7×3+,Oslo 1952,Figure skating,Individual women
3,USA,sonya helen klopfer,6×4+,Oslo 1952,Figure skating,Individual women
4,USA,virginia day baxter,5×5+,Oslo 1952,Figure skating,Individual women
5,CAN,suzanne morrow,7×6+,Oslo 1952,Figure skating,Individual women
6,GBR,barbara wyatt,7×7+,Oslo 1952,Figure skating,Individual women
7,GER,gundi busch,6×8+,Oslo 1952,Figure skating,Individual women
8,CAN,marlene elizabeth smith,5×9+,Oslo 1952,Figure skating,Individual women
9,GER,erika kraft,5×10+,Oslo 1952,Figure skating,Individual women
10,GBR,valda rosemary osborn,8×11+,Oslo 1952,Figure skating,Individual women
11,GER,helga rosa maria dudzinski,7×12+,Oslo 1952,Figure skating,Individual women
12,CAN,vera smith,6×13+,Oslo 1952,Figure skating,Individual women
13,AUS,nancy burley,6×15+,Oslo 1952,Figure skating,Individual women
14,SUI,susy wirz,6×16+,Oslo 1952,Figure skating,Individual women
15,AUT,anneliese schilhan,6×16+,Oslo 1952,Figure skating,Individual women
16,GBR,patricia devries,7×17+,Oslo 1952,Figure skating,Individual women
17,SUI,yolande jobin,5×17+,Oslo 1952,Figure skating,Individual women
18,AUT,sissy schwarz,7×20+,Oslo 1952,Figure skating,Individual women
19,FIN,leena pietilä,5×20+,Oslo 1952,Figure skating,Individual women
20,AUS,gweneth molony,6×21+,Oslo 1952,Figure skating,Individual women
21,NED,lidy stoppelman,8×22+,Oslo 1952,Figure skating,Individual women
22,HUN,eszter jurok,8×23+,Oslo 1952,Figure skating,Individual women
23,NOR,ingeborg nilsson,9×24+,Oslo 1952,Figure skating,Individual women
24,NOR,bjørg løhnner øien,Did not finish,Oslo 1952,Figure skating,Individual women
0,GER,ria falk,6×1+,Oslo 1952,Figure skating,Pairs mixed
1,USA,karol kennedy,7×2+,Oslo 1952,Figure skating,Pairs mixed
2,HUN,marianna nagy,8×4+,Oslo 1952,Figure skating,Pairs mixed
3,GBR,jennifer mary wisden nicks,5×4+,Oslo 1952,Figure skating,Pairs mixed
4,CAN,norris bowden,6×6+,Oslo 1952,Figure skating,Pairs mixed
5,USA,janet jean gerhauser,7×6+,Oslo 1952,Figure skating,Pairs mixed
6,SUI,silvia grandjean,8×7+,Oslo 1952,Figure skating,Pairs mixed
7,GER,hermann braun,6×8+,Oslo 1952,Figure skating,Pairs mixed
8,AUT,sissy schwarz,6×9+,Oslo 1952,Figure skating,Pairs mixed
9,HUN,eva szöllosi,5×10+,Oslo 1952,Figure skating,Pairs mixed
10,GBR,raymond charles lockwood,9×11+,Oslo 1952,Figure skating,Pairs mixed
11,SWE,ulf berendt,9×12+,Oslo 1952,Figure skating,Pairs mixed
12,NOR,bjørg skjælaaen,9×13+,Oslo 1952,Figure skating,Pairs mixed
