,country,participant,result,olympic_game,discipline,event
0,NOR,hjalmar andersen,00:16:45.800,Oslo 1952,Speed skating,10000m men
1,NED,cornelis broekman,00:17:10.600,Oslo 1952,Speed skating,10000m men
2,SWE,carl-erik asplund,00:17:16.600,Oslo 1952,Speed skating,10000m men
3,FIN,pentti lammio,00:17:20.500,Oslo 1952,Speed skating,10000m men
4,NED,anton huiskes,00:17:25.500,Oslo 1952,Speed skating,10000m men
5,NOR,sverre haugli,00:17:30.200,Oslo 1952,Speed skating,10000m men
6,JPN,kazuhiko sugawara,00:17:34.000,Oslo 1952,Speed skating,10000m men
7,FIN,lauri parkkinen,00:17:36.800,Oslo 1952,Speed skating,10000m men
8,SWE,göthe hedlund,00:17:39.200,Oslo 1952,Speed skating,10000m men
9,GBR,john graham hearn,00:17:41.500,Oslo 1952,Speed skating,10000m men
10,AUT,arthur mannsbarth,00:17:44.200,Oslo 1952,Speed skating,10000m men
11,FIN,kauko salomaa,00:17:49.600,Oslo 1952,Speed skating,10000m men
12,SWE,sigvard ericsson,00:17:52.800,Oslo 1952,Speed skating,10000m men
13,JPN,yoshiyasu gomi,00:17:53.000,Oslo 1952,Speed skating,10000m men
14,GBR,norman arthur holwell,00:18:02.400,Oslo 1952,Speed skating,10000m men
15,USA,pat mcnamara,00:18:08.700,Oslo 1952,Speed skating,10000m men
16,HUN,jozsef merenyi,00:18:09.000,Oslo 1952,Speed skating,10000m men
17,NOR,yngvar hafsund karlsen,00:18:10.600,Oslo 1952,Speed skating,10000m men
18,NED,egbert jan van't oever,00:18:20.800,Oslo 1952,Speed skating,10000m men
19,SWE,gunnar hallkvist,00:18:20.900,Oslo 1952,Speed skating,10000m men
20,CAN,ralf olin,00:18:22.800,Oslo 1952,Speed skating,10000m men
21,GER,theo meding,00:18:24.400,Oslo 1952,Speed skating,10000m men
22,FIN,matti tuomi,00:18:25.500,Oslo 1952,Speed skating,10000m men
23,CAN,craig mackay,00:18:27.400,Oslo 1952,Speed skating,10000m men
24,USA,alfred george broadhurst,00:18:44.200,Oslo 1952,Speed skating,10000m men
25,AUT,franz offenberger,00:19:04.200,Oslo 1952,Speed skating,10000m men
26,USA,charles william burke,00:19:07.100,Oslo 1952,Speed skating,10000m men
27,ITA,guido caroli,00:19:13.600,Oslo 1952,Speed skating,10000m men
28,NOR,ingar nordlund,fall,Oslo 1952,Speed skating,10000m men
29,USA,john roland werket,fall,Oslo 1952,Speed skating,10000m men
0,NOR,hjalmar andersen,00:02:20.400,Oslo 1952,Speed skating,1500m men
1,NED,willem van der voort,00:02:20.600,Oslo 1952,Speed skating,1500m men
2,NOR,roald aas,00:02:21.600,Oslo 1952,Speed skating,1500m men
3,SWE,carl-erik asplund,00:02:22.600,Oslo 1952,Speed skating,1500m men
4,NED,cornelis broekman,00:02:22.800,Oslo 1952,Speed skating,1500m men
5,FIN,lauri parkkinen,00:02:23.000,Oslo 1952,Speed skating,1500m men
6,FIN,kauko salomaa,00:02:23.300,Oslo 1952,Speed skating,1500m men
7,SWE,sigvard ericsson,00:02:23.400,Oslo 1952,Speed skating,1500m men
8,NOR,ivar martinsen,00:02:23.400,Oslo 1952,Speed skating,1500m men
9,HUN,ferenc lörincz,00:02:23.700,Oslo 1952,Speed skating,1500m men
10,JPN,tsuneo sato,00:02:23.900,Oslo 1952,Speed skating,1500m men
11,NED,gerardus maarse,00:02:24.300,Oslo 1952,Speed skating,1500m men
12,USA,john roland werket,00:02:24.300,Oslo 1952,Speed skating,1500m men
13,GBR,norman arthur holwell,00:02:24.500,Oslo 1952,Speed skating,1500m men
14,NOR,nicolai stene,00:02:24.800,Oslo 1952,Speed skating,1500m men
15,CAN,craig mackay,00:02:25.000,Oslo 1952,Speed skating,1500m men
16,USA,kenneth henry,00:02:25.000,Oslo 1952,Speed skating,1500m men
17,USA,pat mcnamara,00:02:25.500,Oslo 1952,Speed skating,1500m men
18,SWE,gunnar ström,00:02:25.800,Oslo 1952,Speed skating,1500m men
19,AUT,franz offenberger,00:02:25.900,Oslo 1952,Speed skating,1500m men
20,HUN,jozsef merenyi,00:02:26.100,Oslo 1952,Speed skating,1500m men
21,AUT,arthur mannsbarth,00:02:26.600,Oslo 1952,Speed skating,1500m men
22,JPN,masanori aoki,00:02:26.900,Oslo 1952,Speed skating,1500m men
23,FIN,kalevi laitinen,00:02:27.100,Oslo 1952,Speed skating,1500m men
24,FIN,toivo salonen,00:02:27.400,Oslo 1952,Speed skating,1500m men
25,NED,cornelis pieter van der elst,00:02:27.600,Oslo 1952,Speed skating,1500m men
26,SWE,john richard wickström,00:02:27.600,Oslo 1952,Speed skating,1500m men
27,USA,donald mcdermott,00:02:28.800,Oslo 1952,Speed skating,1500m men
28,CAN,ralf olin,00:02:29.300,Oslo 1952,Speed skating,1500m men
