,country,participant,result,olympic_game,discipline,event
0,,,00:03:15.850,PyeongChang 2018,Bobsleigh,Four-man
1,,,00:03:16.380,PyeongChang 2018,Bobsleigh,Four-man
2,,,00:03:16.380,PyeongChang 2018,Bobsleigh,Four-man
3,,,00:03:16.590,PyeongChang 2018,Bobsleigh,Four-man
4,,,00:03:16.650,PyeongChang 2018,Bobsleigh,Four-man
5,,,00:03:16.690,PyeongChang 2018,Bobsleigh,Four-man
6,,,00:03:16.900,PyeongChang 2018,Bobsleigh,Four-man
7,,,00:03:17.110,PyeongChang 2018,Bobsleigh,Four-man
8,,,00:03:17.280,PyeongChang 2018,Bobsleigh,Four-man
9,,,00:03:17.410,PyeongChang 2018,Bobsleigh,Four-man
10,,,00:03:17.560,PyeongChang 2018,Bobsleigh,Four-man
11,,,00:03:17.810,PyeongChang 2018,Bobsleigh,Four-man
12,,,00:03:17.890,PyeongChang 2018,Bobsleigh,Four-man
13,,,00:03:17.910,PyeongChang 2018,Bobsleigh,Four-man
14,,,00:03:17.940,PyeongChang 2018,Bobsleigh,Four-man
15,,,00:03:17.960,PyeongChang 2018,Bobsleigh,Four-man
16,,,00:03:18.260,PyeongChang 2018,Bobsleigh,Four-man
17,,,00:03:18.290,PyeongChang 2018,Bobsleigh,Four-man
18,,,00:03:18.540,PyeongChang 2018,Bobsleigh,Four-man
19,,,00:03:18.550,PyeongChang 2018,Bobsleigh,Four-man
20,,,00:02:29.090,PyeongChang 2018,Bobsleigh,Four-man
21,,,00:02:29.240,PyeongChang 2018,Bobsleigh,Four-man
22,,,00:02:29.490,PyeongChang 2018,Bobsleigh,Four-man
23,,,00:02:29.590,PyeongChang 2018,Bobsleigh,Four-man
24,,,00:02:29.700,PyeongChang 2018,Bobsleigh,Four-man
25,,,00:02:29.740,PyeongChang 2018,Bobsleigh,Four-man
26,,,00:02:29.880,PyeongChang 2018,Bobsleigh,Four-man
27,,,00:02:31.450,PyeongChang 2018,Bobsleigh,Four-man
28,,,00:02:32.150,PyeongChang 2018,Bobsleigh,Four-man
0,,,00:03:16.860,PyeongChang 2018,Bobsleigh,Two-man
1,,,00:03:16.860,PyeongChang 2018,Bobsleigh,Two-man
2,,,00:03:16.910,PyeongChang 2018,Bobsleigh,Two-man
3,,,00:03:17.060,PyeongChang 2018,Bobsleigh,Two-man
4,,,00:03:17.140,PyeongChang 2018,Bobsleigh,Two-man
5,,,00:03:17.400,PyeongChang 2018,Bobsleigh,Two-man
