,country,participant,result,olympic_game,discipline,event
0,CAN,tessa virtue,206.07,PyeongChang 2018,Figure skating,Ice Dance
1,FRA,guillaume cizeron,205.28,PyeongChang 2018,Figure skating,Ice Dance
2,USA,maia shibutani,192.59,PyeongChang 2018,Figure skating,Ice Dance
3,USA,zachary donohue,187.69,PyeongChang 2018,Figure skating,Ice Dance
4,ROC,ekaterina bobrova,186.92,PyeongChang 2018,Figure skating,Ice Dance
5,ITA,anna cappellini,184.91,PyeongChang 2018,Figure skating,Ice Dance
6,CAN,kaitlyn weaver,181.98,PyeongChang 2018,Figure skating,Ice Dance
7,CAN,paul poirier,176.91,PyeongChang 2018,Figure skating,Ice Dance
8,USA,evan bates,175.58,PyeongChang 2018,Figure skating,Ice Dance
9,ITA,charlene guignard,173.47,PyeongChang 2018,Figure skating,Ice Dance
10,GBR,nicholas buckland,170.32,PyeongChang 2018,Figure skating,Ice Dance
11,ESP,kirill khaliavin,168.33,PyeongChang 2018,Figure skating,Ice Dance
12,ROC,tiffani zagorski,162.24,PyeongChang 2018,Figure skating,Ice Dance
13,POL,natalia kaliszek,161.35,PyeongChang 2018,Figure skating,Ice Dance
14,JPN,chris reed,160.63,PyeongChang 2018,Figure skating,Ice Dance
15,GER,joti polizoakis,150.49,PyeongChang 2018,Figure skating,Ice Dance
16,FRA,romain le gac,149.59,PyeongChang 2018,Figure skating,Ice Dance
17,KOR,yura min,147.74,PyeongChang 2018,Figure skating,Ice Dance
18,TUR,alisa agafonova,147.18,PyeongChang 2018,Figure skating,Ice Dance
19,SVK,lucie mysliveckova,142.57,PyeongChang 2018,Figure skating,Ice Dance
0,ROC,alina zagitova,239.57,PyeongChang 2018,Figure skating,Ladies' Single Skating
1,ROC,evgenia medvedeva,238.26,PyeongChang 2018,Figure skating,Ladies' Single Skating
2,CAN,kaetlyn osmond,231.02,PyeongChang 2018,Figure skating,Ladies' Single Skating
3,JPN,satoko miyahara,222.38,PyeongChang 2018,Figure skating,Ladies' Single Skating
4,ITA,carolina kostner,212.44,PyeongChang 2018,Figure skating,Ladies' Single Skating
5,JPN,kaori sakamoto,209.71,PyeongChang 2018,Figure skating,Ladies' Single Skating
