,country,participant,result,olympic_game,discipline,event
0,GER,tobias wendl,00:01:31.697,PyeongChang 2018,Luge,Doubles
1,AUT,georg fischler,00:01:31.785,PyeongChang 2018,Luge,Doubles
2,GER,toni eggert,00:01:31.987,PyeongChang 2018,Luge,Doubles
3,AUT,lorenz koller,00:01:32.284,PyeongChang 2018,Luge,Doubles
4,CAN,justin snith,00:01:32.369,PyeongChang 2018,Luge,Doubles
5,LAT,juris sics,00:01:32.442,PyeongChang 2018,Luge,Doubles
6,ITA,ivan nagler,00:01:32.563,PyeongChang 2018,Luge,Doubles
7,USA,andrew sherk,00:01:32.652,PyeongChang 2018,Luge,Doubles
8,KOR,jinyong park,00:01:32.672,PyeongChang 2018,Luge,Doubles
9,USA,jayson terdiman,00:01:32.687,PyeongChang 2018,Luge,Doubles
10,ROC,vladislav antonov,00:01:32.781,PyeongChang 2018,Luge,Doubles
11,POL,jakub kowalewski,00:01:33.087,PyeongChang 2018,Luge,Doubles
12,CZE,lukas broz,00:01:33.152,PyeongChang 2018,Luge,Doubles
13,LAT,peteris kalnins,00:01:33.207,PyeongChang 2018,Luge,Doubles
14,ITA,ludwig rieder,00:01:33.276,PyeongChang 2018,Luge,Doubles
15,ROC,andrei bogdanov,00:01:33.508,PyeongChang 2018,Luge,Doubles
16,SVK,marek solcansky,00:01:33.591,PyeongChang 2018,Luge,Doubles
17,CZE,jaromir kudera,00:01:33.728,PyeongChang 2018,Luge,Doubles
18,ROU,stefan musei,00:01:34.272,PyeongChang 2018,Luge,Doubles
19,UKR,roman zakharkiv,00:01:35.717,PyeongChang 2018,Luge,Doubles
0,AUT,david gleirscher,00:03:10.702,PyeongChang 2018,Luge,Men’s Singles
1,USA,chris mazdzer,00:03:10.728,PyeongChang 2018,Luge,Men’s Singles
2,GER,johannes ludwig,00:03:10.932,PyeongChang 2018,Luge,Men’s Singles
3,ITA,dominik fischnaller,00:03:10.934,PyeongChang 2018,Luge,Men’s Singles
4,GER,felix loch,00:03:10.968,PyeongChang 2018,Luge,Men’s Singles
5,CAN,sam edney,00:03:11.021,PyeongChang 2018,Luge,Men’s Singles
6,ITA,kevin fischnaller,00:03:11.054,PyeongChang 2018,Luge,Men’s Singles
7,ROC,roman repilov,00:03:11.108,PyeongChang 2018,Luge,Men’s Singles
8,AUT,wolfgang kindl,00:03:11.133,PyeongChang 2018,Luge,Men’s Singles
9,GER,andi langenhan,00:03:11.433,PyeongChang 2018,Luge,Men’s Singles
10,LAT,kristers aparjods,00:03:11.456,PyeongChang 2018,Luge,Men’s Singles
11,CAN,reid watts,00:03:11.490,PyeongChang 2018,Luge,Men’s Singles
12,ROC,stepan fedorov,00:03:11.608,PyeongChang 2018,Luge,Men’s Singles
13,ROC,semen pavlichenko,00:03:11.859,PyeongChang 2018,Luge,Men’s Singles
14,AUT,reinhard egger,00:03:11.927,PyeongChang 2018,Luge,Men’s Singles
15,CAN,mitchel malyk,00:03:11.946,PyeongChang 2018,Luge,Men’s Singles
16,ITA,emanuel rieder,00:03:12.141,PyeongChang 2018,Luge,Men’s Singles
17,USA,taylor morris,00:03:12.547,PyeongChang 2018,Luge,Men’s Singles
18,POL,maciej kurowski,00:03:12.613,PyeongChang 2018,Luge,Men’s Singles
19,LAT,inars kivlenieks,00:03:12.822,PyeongChang 2018,Luge,Men’s Singles
20,CZE,ondrej hyman,00:02:24.913,PyeongChang 2018,Luge,Men’s Singles
21,GBR,adam rosen,00:02:25.167,PyeongChang 2018,Luge,Men’s Singles
22,UKR,anton dukach,00:02:25.498,PyeongChang 2018,Luge,Men’s Singles
23,LAT,arturs darznieks,00:02:25.578,PyeongChang 2018,Luge,Men’s Singles
24,SVK,jozef ninis,00:02:25.942,PyeongChang 2018,Luge,Men’s Singles
25,USA,tucker west,00:02:26.019,PyeongChang 2018,Luge,Men’s Singles
26,POL,mateusz sochowicz,00:02:26.180,PyeongChang 2018,Luge,Men’s Singles
27,AUS,alex ferlazzo,00:02:26.191,PyeongChang 2018,Luge,Men’s Singles
28,ROU,valentin cretu,00:02:26.539,PyeongChang 2018,Luge,Men’s Singles
29,KOR,namkyu lim,00:02:26.672,PyeongChang 2018,Luge,Men’s Singles
30,ROU,andrei turea,00:02:27.285,PyeongChang 2018,Luge,Men’s Singles
31,GEO,giorgi sogoiani,00:02:27.459,PyeongChang 2018,Luge,Men’s Singles
32,GBR,rupert staudinger,00:02:27.842,PyeongChang 2018,Luge,Men’s Singles
33,IND,shiva keshavan,00:02:28.188,PyeongChang 2018,Luge,Men’s Singles
34,SVK,jakub simonak,00:02:28.936,PyeongChang 2018,Luge,Men’s Singles
35,KAZ,nikita kopyrenko,00:02:29.718,PyeongChang 2018,Luge,Men’s Singles
36,BUL,pavel angelov,00:02:31.112,PyeongChang 2018,Luge,Men’s Singles
37,TPE,te-an lien,00:02:34.138,PyeongChang 2018,Luge,Men’s Singles
38,SLO,tilen sirse,00:02:38.309,PyeongChang 2018,Luge,Men’s Singles
