,country,participant,result,olympic_game,discipline,event
0,KOR,bonchan ku,,Rio 2016,Archery,Individual competition men
1,FRA,jean-charles valladont,,Rio 2016,Archery,Individual competition men
2,USA,brady ellison,,Rio 2016,Archery,Individual competition men
3,NED,sjef van den berg,,Rio 2016,Archery,Individual competition men
4,AUS,taylor worth,,Rio 2016,Archery,Individual competition men
5,ITA,mauro nespoli,,Rio 2016,Archery,Individual competition men
6,KOR,seungyun lee,,Rio 2016,Archery,Individual competition men
7,JPN,takaharu furukawa,,Rio 2016,Archery,Individual competition men
8,INA,riau ega agatha,,Rio 2016,Archery,Individual competition men
9,THA,witthaya thamwong,,Rio 2016,Archery,Individual competition men
10,IND,atanu das,,Rio 2016,Archery,Individual competition men
11,CHI,ricardo soto,,Rio 2016,Archery,Individual competition men
12,ESP,antonio fernandez,,Rio 2016,Archery,Individual competition men
13,GER,florian floto,,Rio 2016,Archery,Individual competition men
14,ESP,juan ignacio rodriguez liebana,,Rio 2016,Archery,Individual competition men
15,USA,zach garrett,,Rio 2016,Archery,Individual competition men
16,KOR,woojin kim,,Rio 2016,Archery,Individual competition men
17,KAZ,sultan duzelbayev,,Rio 2016,Archery,Individual competition men
18,TPE,chun-heng wei,,Rio 2016,Archery,Individual competition men
19,UKR,viktor ruban,,Rio 2016,Archery,Individual competition men
20,CUB,adrian andres puentes perez,,Rio 2016,Archery,Individual competition men
21,ESP,miguel alvarino garcia,,Rio 2016,Archery,Individual competition men
22,BRA,bernardo oliveira,,Rio 2016,Archery,Individual competition men
23,TUR,mete gazoz,,Rio 2016,Archery,Individual competition men
24,ITA,david pasqualucci,,Rio 2016,Archery,Individual competition men
25,VEN,elias malave,,Rio 2016,Archery,Individual competition men
26,MAS,khairul anuar mohamad,,Rio 2016,Archery,Individual competition men
27,GBR,patrick huston,,Rio 2016,Archery,Individual competition men
28,NOR,baard magnus nesteng,,Rio 2016,Archery,Individual competition men
29,BEL,robin ramaekers,,Rio 2016,Archery,Individual competition men
30,CAN,crispin duenas,,Rio 2016,Archery,Individual competition men
31,USA,jake kaminski,,Rio 2016,Archery,Individual competition men
32,ZIM,gavin ben sutherland,,Rio 2016,Archery,Individual competition men
33,CHN,yu xing,,Rio 2016,Archery,Individual competition men
34,CHN,xuesong gu,,Rio 2016,Archery,Individual competition men
35,INA,muhammad wijaya,,Rio 2016,Archery,Individual competition men
36,FIJ,robert elder,,Rio 2016,Archery,Individual competition men
37,MGL,gantögs jantsangiin,,Rio 2016,Archery,Individual competition men
38,INA,hendra purnama,,Rio 2016,Archery,Individual competition men
39,CIV,rene philippe kouassi,,Rio 2016,Archery,Individual competition men
40,NEP,jitbahadur muktan,,Rio 2016,Archery,Individual competition men
41,MEX,ernesto boardman,,Rio 2016,Archery,Individual competition men
42,FRA,lucas daniel,,Rio 2016,Archery,Individual competition men
43,BRA,daniel rezende xavier,,Rio 2016,Archery,Individual competition men
44,BLR,anton prylepav,,Rio 2016,Archery,Individual competition men
45,AUS,alec potts,,Rio 2016,Archery,Individual competition men
46,FRA,pierre plihon,,Rio 2016,Archery,Individual competition men
47,TGA,hans arne jensen,,Rio 2016,Archery,Individual competition men
48,MAW,areneo david,,Rio 2016,Archery,Individual competition men
49,TPE,hao-wen kao,,Rio 2016,Archery,Individual competition men
50,CHN,dapeng wang,,Rio 2016,Archery,Individual competition men
