,country,participant,result,olympic_game,discipline,event
0,CHN,haifeng fu,,Rio 2016,Badminton,doubles men
1,MAS,wee kiong tan,,Rio 2016,Badminton,doubles men
2,GBR,marcus ellis,,Rio 2016,Badminton,doubles men
3,CHN,wei hong,,Rio 2016,Badminton,doubles men
4,RUS,vladimir ivanov,,Rio 2016,Badminton,doubles men
5,KOR,yeon-seong yu,,Rio 2016,Badminton,doubles men
6,KOR,gi jung kim,,Rio 2016,Badminton,doubles men
7,JPN,hiroyuki endo,,Rio 2016,Badminton,doubles men
8,AUS,sawan serasinghe,,Rio 2016,Badminton,doubles men
9,TPE,chia hsin tsai,,Rio 2016,Badminton,doubles men
10,GER,johannes schoettler,,Rio 2016,Badminton,doubles men
11,USA,sattawat pongnairat,,Rio 2016,Badminton,doubles men
12,DEN,carsten mogensen,,Rio 2016,Badminton,doubles men
13,POL,przemyslaw wacha,,Rio 2016,Badminton,doubles men
14,INA,hendra setiawan,,Rio 2016,Badminton,doubles men
15,IND,manu attri,,Rio 2016,Badminton,doubles men
0,INA,liliyana natsir,,Rio 2016,Badminton,Doubles mixed
1,MAS,liu ying goh,,Rio 2016,Badminton,Doubles mixed
2,CHN,nan zhang,,Rio 2016,Badminton,Doubles mixed
3,CHN,jin ma,,Rio 2016,Badminton,Doubles mixed
4,JPN,kenta kazuno,,Rio 2016,Badminton,Doubles mixed
5,INA,debby susanto,,Rio 2016,Badminton,Doubles mixed
6,POL,robert mateusiak,,Rio 2016,Badminton,Doubles mixed
7,KOR,ha na kim,,Rio 2016,Badminton,Doubles mixed
8,GER,birgit michels,,Rio 2016,Badminton,Doubles mixed
9,HKG,hoi wah chau,,Rio 2016,Badminton,Doubles mixed
10,GBR,gabrielle adcock,,Rio 2016,Badminton,Doubles mixed
11,DEN,christinna pedersen,,Rio 2016,Badminton,Doubles mixed
12,THA,bodin isara,,Rio 2016,Badminton,Doubles mixed
13,AUS,leanne choo,,Rio 2016,Badminton,Doubles mixed
14,NED,jacco arends,,Rio 2016,Badminton,Doubles mixed
15,USA,phillip chew,,Rio 2016,Badminton,Doubles mixed
0,JPN,ayaka takahashi,,Rio 2016,Badminton,doubles women
1,DEN,kamilla rytter juhl,,Rio 2016,Badminton,doubles women
2,KOR,gyeong-eun jeong,,Rio 2016,Badminton,doubles women
3,CHN,yang yu,,Rio 2016,Badminton,doubles women
4,MAS,vivian kah mun hoo,,Rio 2016,Badminton,doubles women
5,NED,eefje muskens,,Rio 2016,Badminton,doubles women
6,INA,greysia polii,,Rio 2016,Badminton,doubles women
7,KOR,ye na chang,,Rio 2016,Badminton,doubles women
8,THA,puttita supajirakul,,Rio 2016,Badminton,doubles women
9,IND,ashwini ponnappa,,Rio 2016,Badminton,doubles women
10,USA,eva lee,,Rio 2016,Badminton,doubles women
11,CHN,ying luo,,Rio 2016,Badminton,doubles women
12,GBR,lauren smith,,Rio 2016,Badminton,doubles women
13,HKG,ying suet tse,,Rio 2016,Badminton,doubles women
14,BUL,gabriela stoeva,,Rio 2016,Badminton,doubles women
15,GER,carla nelte,,Rio 2016,Badminton,doubles women
0,CHN,long chen,,Rio 2016,Badminton,Singles men
1,MAS,chong wei lee,,Rio 2016,Badminton,Singles men
2,DEN,viktor axelsen,,Rio 2016,Badminton,Singles men
3,CHN,dan lin,,Rio 2016,Badminton,Singles men
4,TPE,tien chen chou,,Rio 2016,Badminton,Singles men
5,IND,srikanth kidambi,,Rio 2016,Badminton,Singles men
6,GBR,rajiv ouseph,,Rio 2016,Badminton,Singles men
7,KOR,wan ho son,,Rio 2016,Badminton,Singles men
8,HKG,yun hu,,Rio 2016,Badminton,Singles men
9,DEN,jan ø. jørgensen,,Rio 2016,Badminton,Singles men
10,INA,tommy sugiarto,,Rio 2016,Badminton,Singles men
11,IRL,scott evans,,Rio 2016,Badminton,Singles men
12,HKG,ka long angus ng,,Rio 2016,Badminton,Singles men
13,ESP,pablo abian,,Rio 2016,Badminton,Singles men
14,BRA,ygor coelho coelho de oliveira,,Rio 2016,Badminton,Singles men
15,POL,adrian dziolko,,Rio 2016,Badminton,Singles men
16,CAN,martin giuffre,,Rio 2016,Badminton,Singles men
17,CUB,osleni guerrero,,Rio 2016,Badminton,Singles men
18,SWE,henri hurskainen,,Rio 2016,Badminton,Singles men
19,SRI,niluka karunaratne,,Rio 2016,Badminton,Singles men
20,CZE,petr koukal,,Rio 2016,Badminton,Singles men
21,KOR,dong keun lee,,Rio 2016,Badminton,Singles men
22,FRA,brice leverdez,,Rio 2016,Badminton,Singles men
23,RSA,jacob malieka,,Rio 2016,Badminton,Singles men
24,RUS,vladimir malkov,,Rio 2016,Badminton,Singles men
25,POR,pedro martins,,Rio 2016,Badminton,Singles men
26,MEX,lino munoz,,Rio 2016,Badminton,Singles men
27,EST,raul must,,Rio 2016,Badminton,Singles men
28,VIE,tien minh nguyen,,Rio 2016,Badminton,Singles men
29,AUT,david obernosterer,,Rio 2016,Badminton,Singles men
30,SUR,soren opti,,Rio 2016,Badminton,Singles men
31,UKR,artem pochtarov,,Rio 2016,Badminton,Singles men
32,THA,boonsak ponsana,,Rio 2016,Badminton,Singles men
33,JPN,sho sasaki,,Rio 2016,Badminton,Singles men
34,USA,howard shu,,Rio 2016,Badminton,Singles men
35,BEL,yuhan tan,,Rio 2016,Badminton,Singles men
36,SGP,zi liang derek wong,,Rio 2016,Badminton,Singles men
37,BRU,jaspar woon chai yu,,Rio 2016,Badminton,Singles men
38,ISR,misha zilberman,,Rio 2016,Badminton,Singles men
39,GER,marc zwiebler,,Rio 2016,Badminton,Singles men
40,GUA,kevin cordon,Did not finish,Rio 2016,Badminton,Singles men
0,ESP,carolina marín,,Rio 2016,Badminton,Singles women
1,IND,pusarla venkata sindhu,,Rio 2016,Badminton,Singles women
2,JPN,nozomi okuhara,,Rio 2016,Badminton,Singles women
3,CHN,xuerui li,,Rio 2016,Badminton,Singles women
4,KOR,ji-hyeon seong,,Rio 2016,Badminton,Singles women
5,THA,porntip buranaprasertsuk,,Rio 2016,Badminton,Singles women
6,JPN,akane yamaguchi,,Rio 2016,Badminton,Singles women
7,CHN,yihan wang,,Rio 2016,Badminton,Singles women
8,BUL,linda zetchiri,,Rio 2016,Badminton,Singles women
9,UKR,maria ulitina,,Rio 2016,Badminton,Singles women
10,KOR,yeon ju bae,,Rio 2016,Badminton,Singles women
11,THA,ratchanok intanon,,Rio 2016,Badminton,Singles women
12,TPE,tzu ying tai,,Rio 2016,Badminton,Singles women
13,DEN,line kjaersfeldt,,Rio 2016,Badminton,Singles women
14,FIN,nanna vainio,,Rio 2016,Badminton,Singles women
15,SGP,xiao yu liang,,Rio 2016,Badminton,Singles women
16,FRA,delphine lansac,,Rio 2016,Badminton,Singles women
17,GBR,kirsty gilmour,,Rio 2016,Badminton,Singles women
18,SUI,sabrina jaquet,,Rio 2016,Badminton,Singles women
