,country,participant,result,olympic_game,discipline,event
0,FRA,tony victor james yoka,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
1,GBR,joe joyce,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
2,CRO,filip hrgovic,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
3,KAZ,ivan dychko,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
4,JOR,hussein iashaish,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
5,CUB,leinier eunice pero,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
6,UZB,bakhodir jalolov,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
7,NGR,efe ajagba,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
8,ISV,laurent jr. clayton,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
9,ROU,mihai nistor,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
10,ITA,guido vianello,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
11,TUR,ali eren demirezen,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
12,CPV,davilson dos santos morais,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
13,VEN,edgar ramon munoz,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
14,TTO,nigel paul,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
15,AZE,məhəmmədrəsul məcidov,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
16,GER,erik pfeifer,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
17,MAR,mohammed arjaoui,,Rio 2016,Boxing,+ 91kg (super heavyweight) men
0,UZB,hasanboy dusmatov,,Rio 2016,Boxing,46-49kg men
1,COL,yurberjen herney martinez,,Rio 2016,Boxing,46-49kg men
2,CUB,joahnys argilagos,,Rio 2016,Boxing,46-49kg men
3,USA,nico miguel hernandez,,Rio 2016,Boxing,46-49kg men
4,KEN,peter mungai warui,,Rio 2016,Boxing,46-49kg men
5,ESP,samuel carmona heredia,,Rio 2016,Boxing,46-49kg men
6,KAZ,birzhan zhakypov,,Rio 2016,Boxing,46-49kg men
7,ECU,carlos eduardo quipo pilataxi,,Rio 2016,Boxing,46-49kg men
8,GBR,galal yafai,,Rio 2016,Boxing,46-49kg men
9,CHN,bin lv,,Rio 2016,Boxing,46-49kg men
10,PHI,rogen ladon,,Rio 2016,Boxing,46-49kg men
11,IRL,patrick barnes,,Rio 2016,Boxing,46-49kg men
12,MEX,joselito velazquez,,Rio 2016,Boxing,46-49kg men
13,NAM,mathias tulyoongeleni hamunyela,,Rio 2016,Boxing,46-49kg men
14,MGL,gan-erdene gankhuyag,,Rio 2016,Boxing,46-49kg men
15,RUS,vasily yegorov,,Rio 2016,Boxing,46-49kg men
16,CMR,simplice fotsala,,Rio 2016,Boxing,46-49kg men
17,BRA,patrick lourenco,,Rio 2016,Boxing,46-49kg men
18,ARM,artur hovhannisyan,,Rio 2016,Boxing,46-49kg men
19,ARG,leandro blanc,,Rio 2016,Boxing,46-49kg men
20,AZE,rufat huseynov,,Rio 2016,Boxing,46-49kg men
21,ITA,manuel cappai,,Rio 2016,Boxing,46-49kg men
0,GBR,nicola adams,,Rio 2016,Boxing,51 kg fly women
1,FRA,sarah ourahmoune,,Rio 2016,Boxing,51 kg fly women
2,CHN,cancan ren,,Rio 2016,Boxing,51 kg fly women
3,COL,ingrit valencia victoria,,Rio 2016,Boxing,51 kg fly women
4,UKR,tetyana kob,,Rio 2016,Boxing,51 kg fly women
5,CAN,mandy bujold,,Rio 2016,Boxing,51 kg fly women
6,THA,peamwilai laopeam,,Rio 2016,Boxing,51 kg fly women
7,KAZ,zhaina shekerbekova,,Rio 2016,Boxing,51 kg fly women
8,BUL,stanimira petrova,,Rio 2016,Boxing,51 kg fly women
9,UZB,yodgoroy mirzaeva,,Rio 2016,Boxing,51 kg fly women
10,CAF,judith mbougnade,,Rio 2016,Boxing,51 kg fly women
11,MAR,zohra ez zahraoui,,Rio 2016,Boxing,51 kg fly women
0,UZB,shakhobidin zoirov,,Rio 2016,Boxing,52kg men
1,VEN,yoel segundo finol,,Rio 2016,Boxing,52kg men
2,CHN,jianguan hu,,Rio 2016,Boxing,52kg men
3,AZE,elvin mamishzada,,Rio 2016,Boxing,52kg men
4,ALG,mohamed flissi,,Rio 2016,Boxing,52kg men
5,COL,ceiber david ávila segura,,Rio 2016,Boxing,52kg men
6,CUB,yosbany veitia,,Rio 2016,Boxing,52kg men
7,KAZ,olzhas sattibayev,,Rio 2016,Boxing,52kg men
8,USA,antonio vargas,,Rio 2016,Boxing,52kg men
9,GBR,muhammad ali,,Rio 2016,Boxing,52kg men
10,BUL,daniel asenov,,Rio 2016,Boxing,52kg men
11,FRA,elie konki,,Rio 2016,Boxing,52kg men
12,MEX,elias eliseo emigdio abarca,,Rio 2016,Boxing,52kg men
13,ARM,narek abgaryan,,Rio 2016,Boxing,52kg men
14,MAR,achraf kharroubi,,Rio 2016,Boxing,52kg men
15,PUR,jeyvier jesus cintron,,Rio 2016,Boxing,52kg men
16,IRL,brendan emmet irvine,,Rio 2016,Boxing,52kg men
17,BRA,juliao neto,,Rio 2016,Boxing,52kg men
18,DOM,leonel de los santos nunez,,Rio 2016,Boxing,52kg men
19,ARG,fernando daniel martinez,,Rio 2016,Boxing,52kg men
20,GER,hamza touba,,Rio 2016,Boxing,52kg men
21,MGL,enkh-amar kharkhuu,,Rio 2016,Boxing,52kg men
22,TUR,selcuk eker,,Rio 2016,Boxing,52kg men
23,UGA,ronald serugo,,Rio 2016,Boxing,52kg men
24,LES,moroke jeremia mokhotho,,Rio 2016,Boxing,52kg men
25,RUS,misha aloian,Disqualified,Rio 2016,Boxing,52kg men
0,CUB,robeisy ramirez carrazana,,Rio 2016,Boxing,56kg men
1,USA,shakur stevenson,,Rio 2016,Boxing,56kg men
2,RUS,vladimir nikitin,,Rio 2016,Boxing,56kg men
3,UZB,murodzhon akhmadaliyev,,Rio 2016,Boxing,56kg men
4,IRL,michael john conlan,,Rio 2016,Boxing,56kg men
5,MGL,tsendbaatar erdenebat,,Rio 2016,Boxing,56kg men
6,CHN,jiawei zhang,,Rio 2016,Boxing,56kg men
7,ARG,alberto ezequiel melian,,Rio 2016,Boxing,56kg men
8,ARM,aram avagyan,,Rio 2016,Boxing,56kg men
9,THA,chatchai butdee,,Rio 2016,Boxing,56kg men
10,BLR,dzmitry asanau,,Rio 2016,Boxing,56kg men
11,BRA,robenilson de jesus,,Rio 2016,Boxing,56kg men
12,KOR,sangmyeong ham,,Rio 2016,Boxing,56kg men
13,MAR,mohamed hamout,,Rio 2016,Boxing,56kg men
14,TUN,bilel mhamdi,,Rio 2016,Boxing,56kg men
15,KAZ,kairat yeraliyev,,Rio 2016,Boxing,56kg men
16,JPN,arashi morisaka,,Rio 2016,Boxing,56kg men
17,GBR,qais ashfaq,,Rio 2016,Boxing,56kg men
18,VAN,boe warawara,,Rio 2016,Boxing,56kg men
19,DOM,hector luis garcia mora,,Rio 2016,Boxing,56kg men
20,KEN,benson gicharu njangiru,,Rio 2016,Boxing,56kg men
21,ALG,fahem hammachi,,Rio 2016,Boxing,56kg men
22,VEN,victor rodriguez,,Rio 2016,Boxing,56kg men
23,UKR,mykola butsenko,,Rio 2016,Boxing,56kg men
24,IND,shiva thapa,,Rio 2016,Boxing,56kg men
25,GHA,abdul omar,,Rio 2016,Boxing,56kg men
26,LES,inkululeko suntele,,Rio 2016,Boxing,56kg men
27,AZE,cavid çələbiyev,,Rio 2016,Boxing,56kg men
0,BRA,robson conceicao,,Rio 2016,Boxing,57-60kg lightweight men
1,FRA,sofiane oumiha,,Rio 2016,Boxing,57-60kg lightweight men
2,CUB,lazaro alvarez estrada,,Rio 2016,Boxing,57-60kg lightweight men
3,MGL,otgondalai dorjnyambuu,,Rio 2016,Boxing,57-60kg lightweight men
4,USA,carlos zenon balderas jr.,,Rio 2016,Boxing,57-60kg lightweight men
5,UZB,khurshid todzhiboyev,,Rio 2016,Boxing,57-60kg lightweight men
6,ALG,reda benbaziz,,Rio 2016,Boxing,57-60kg lightweight men
7,AZE,albert selimov,,Rio 2016,Boxing,57-60kg lightweight men
8,ITA,carmine tommasone,,Rio 2016,Boxing,57-60kg lightweight men
9,JPN,daisuke narimatsu,,Rio 2016,Boxing,57-60kg lightweight men
10,GBR,joseph cordina,,Rio 2016,Boxing,57-60kg lightweight men
11,TJK,anvar yunusov,,Rio 2016,Boxing,57-60kg lightweight men
12,NED,enrico lacruz,,Rio 2016,Boxing,57-60kg lightweight men
13,RUS,adlan abdurashidov,,Rio 2016,Boxing,57-60kg lightweight men
14,THA,amnat ruenroeng,,Rio 2016,Boxing,57-60kg lightweight men
15,IRL,david oliver joyce,,Rio 2016,Boxing,57-60kg lightweight men
16,MEX,lindolfo delgado,,Rio 2016,Boxing,57-60kg lightweight men
17,VEN,luis cabrera,,Rio 2016,Boxing,57-60kg lightweight men
18,KAZ,berik abdrakhmanov,,Rio 2016,Boxing,57-60kg lightweight men
19,QAT,hakan eresker,,Rio 2016,Boxing,57-60kg lightweight men
20,PHI,charly coronel suarez,,Rio 2016,Boxing,57-60kg lightweight men
21,CHN,jun shan,,Rio 2016,Boxing,57-60kg lightweight men
22,TPE,chu-en lai,,Rio 2016,Boxing,57-60kg lightweight men
23,PNG,thadius katua,,Rio 2016,Boxing,57-60kg lightweight men
24,EGY,mahmoud abdelaal,,Rio 2016,Boxing,57-60kg lightweight men
25,HON,teofimo andres lopez rivera,,Rio 2016,Boxing,57-60kg lightweight men
26,ARG,ignacio perrin,,Rio 2016,Boxing,57-60kg lightweight men
27,SEY,andrique allisop,,Rio 2016,Boxing,57-60kg lightweight men
0,UZB,fazliddin gaibnazarov,,Rio 2016,Boxing,60 - 64 kg men
1,AZE,lorenzo sotomayor collazo,,Rio 2016,Boxing,60 - 64 kg men
