,country,participant,result,olympic_game,discipline,event
0,SUI,nino schurter,01:33:28.000,Rio 2016,Cycling Mountain Bike,cross-country men
1,CZE,jaroslav kulhavy,01:34:18.000,Rio 2016,Cycling Mountain Bike,cross-country men
2,ESP,carlos coloma nicolas,01:34:51.000,Rio 2016,Cycling Mountain Bike,cross-country men
3,FRA,maxime marotte,01:35:01.000,Rio 2016,Cycling Mountain Bike,cross-country men
4,COL,jhonnatan botero villegas,01:35:44.000,Rio 2016,Cycling Mountain Bike,cross-country men
5,SUI,mathias fluckiger,01:35:52.000,Rio 2016,Cycling Mountain Bike,cross-country men
6,ITA,luca braidot,01:36:35.000,Rio 2016,Cycling Mountain Bike,cross-country men
7,FRA,julien absalon,01:36:43.000,Rio 2016,Cycling Mountain Bike,cross-country men
8,ESP,david valero serrano,01:37:00.000,Rio 2016,Cycling Mountain Bike,cross-country men
9,FRA,victor koretzky,01:37:27.000,Rio 2016,Cycling Mountain Bike,cross-country men
10,BEL,ruben scheire,01:37:36.000,Rio 2016,Cycling Mountain Bike,cross-country men
11,RUS,anton sintsov,01:37:38.000,Rio 2016,Cycling Mountain Bike,cross-country men
12,GER,manuel fumic,01:37:39.000,Rio 2016,Cycling Mountain Bike,cross-country men
13,CZE,ondrej cink,01:38:18.000,Rio 2016,Cycling Mountain Bike,cross-country men
14,ESP,jose antonio hermida ramos,01:38:21.000,Rio 2016,Cycling Mountain Bike,cross-country men
15,AUS,daniel mcconnell,01:38:42.000,Rio 2016,Cycling Mountain Bike,cross-country men
16,GBR,grant ferguson,01:39:10.000,Rio 2016,Cycling Mountain Bike,cross-country men
17,BEL,jens schuermans,01:39:30.000,Rio 2016,Cycling Mountain Bike,cross-country men
18,ITA,andrea tiberi,01:39:33.000,Rio 2016,Cycling Mountain Bike,cross-country men
19,ITA,marco aurelio fontana,01:40:25.000,Rio 2016,Cycling Mountain Bike,cross-country men
20,JPN,kohei yamamoto,01:40:34.000,Rio 2016,Cycling Mountain Bike,cross-country men
21,CZE,jan skarnitzl,01:41:11.000,Rio 2016,Cycling Mountain Bike,cross-country men
22,BRA,henrique avancini,01:41:18.000,Rio 2016,Cycling Mountain Bike,cross-country men
23,HUN,andras parti,01:41:20.000,Rio 2016,Cycling Mountain Bike,cross-country men
24,ARG,catriel andres soto,01:42:01.000,Rio 2016,Cycling Mountain Bike,cross-country men
25,RSA,alan hatherly,01:42:03.000,Rio 2016,Cycling Mountain Bike,cross-country men
26,CAN,leandre bouchard,01:42:43.000,Rio 2016,Cycling Mountain Bike,cross-country men
27,GER,moritz milatz,01:43:14.000,Rio 2016,Cycling Mountain Bike,cross-country men
28,ISR,shlomi haimy,01:43:30.000,Rio 2016,Cycling Mountain Bike,cross-country men
29,BRA,rubens donizete valeriano,01:44:01.000,Rio 2016,Cycling Mountain Bike,cross-country men
30,GRE,dimitrios antoniadis,01:44:17.000,Rio 2016,Cycling Mountain Bike,cross-country men
31,HKG,chun hing chan,01:44:41.000,Rio 2016,Cycling Mountain Bike,cross-country men
32,CRC,andrey fonseca,01:44:54.000,Rio 2016,Cycling Mountain Bike,cross-country men
