,country,participant,result,olympic_game,discipline,event
0,GBR,jason kenny,,Rio 2016,Cycling Track,Keirin men
1,NED,matthijs buchli,,Rio 2016,Cycling Track,Keirin men
2,MAS,azizulhasni awang,,Rio 2016,Cycling Track,Keirin men
3,GER,joachim eilers,,Rio 2016,Cycling Track,Keirin men
4,COL,fabian hernando puerta zapata,,Rio 2016,Cycling Track,Keirin men
5,POL,damian zielinski,,Rio 2016,Cycling Track,Keirin men
6,NZL,sam webster,10.206,Rio 2016,Cycling Track,Keirin men
7,FRA,michael dalmeida,at 0.009,Rio 2016,Cycling Track,Keirin men
8,POL,krzysztof maksel,at 0.107,Rio 2016,Cycling Track,Keirin men
9,AUS,matthew glaetzer,at 0.322,Rio 2016,Cycling Track,Keirin men
10,FRA,francois pervis,at 0.406,Rio 2016,Cycling Track,Keirin men
11,GRE,christos volikakis,at 0.514,Rio 2016,Cycling Track,Keirin men
12,CAN,hugo barrette,,Rio 2016,Cycling Track,Keirin men
13,KOR,chaebin im,,Rio 2016,Cycling Track,Keirin men
14,JPN,yuta wakimoto,,Rio 2016,Cycling Track,Keirin men
15,RUS,denis dmitriev,,Rio 2016,Cycling Track,Keirin men
16,NED,theo bos,,Rio 2016,Cycling Track,Keirin men
17,KOR,dongjin kang,,Rio 2016,Cycling Track,Keirin men
18,NZL,edward dawkins,,Rio 2016,Cycling Track,Keirin men
19,USA,matthew baranoski,,Rio 2016,Cycling Track,Keirin men
20,CZE,pavel kelemen,,Rio 2016,Cycling Track,Keirin men
21,JPN,kazunari watanabe,,Rio 2016,Cycling Track,Keirin men
22,VEN,angel pulgar,,Rio 2016,Cycling Track,Keirin men
23,GER,maximilian levy,,Rio 2016,Cycling Track,Keirin men
24,VEN,hersony canelon,,Rio 2016,Cycling Track,Keirin men
25,AUS,patrick constable,,Rio 2016,Cycling Track,Keirin men
26,GBR,callum skinner,,Rio 2016,Cycling Track,Keirin men
0,NED,elis ligtlee,,Rio 2016,Cycling Track,Keirin women
1,GBR,rebecca james,,Rio 2016,Cycling Track,Keirin women
2,AUS,anna meares,,Rio 2016,Cycling Track,Keirin women
3,RUS,anastasiia voinova,,Rio 2016,Cycling Track,Keirin women
4,UKR,liubov basova,,Rio 2016,Cycling Track,Keirin women
5,GER,kristina vogel,,Rio 2016,Cycling Track,Keirin women
6,HKG,wai sze lee,11.407,Rio 2016,Cycling Track,Keirin women
7,KOR,hyejin lee,at 0.059,Rio 2016,Cycling Track,Keirin women
8,NED,laurine van riessen,at 0.140,Rio 2016,Cycling Track,Keirin women
9,COL,martha bayona pineda,at 0.220,Rio 2016,Cycling Track,Keirin women
10,CHN,tianshi zhong,at 0.445,Rio 2016,Cycling Track,Keirin women
11,LTU,simona krupeckaite,at 0.464,Rio 2016,Cycling Track,Keirin women
12,AUS,stephanie morton,,Rio 2016,Cycling Track,Keirin women
13,RUS,daria shmeleva,,Rio 2016,Cycling Track,Keirin women
14,NZL,natasha hansen,,Rio 2016,Cycling Track,Keirin women
15,CAN,kate obrien,,Rio 2016,Cycling Track,Keirin women
16,FRA,virginie cueff,,Rio 2016,Cycling Track,Keirin women
17,ESP,helena casas roige,,Rio 2016,Cycling Track,Keirin women
18,CHN,jinjie gong,,Rio 2016,Cycling Track,Keirin women
19,CUB,lisandra guerra,,Rio 2016,Cycling Track,Keirin women
20,AZE,olqa panarina-i̇smayılova,,Rio 2016,Cycling Track,Keirin women
21,ESP,tania calvo barbero,,Rio 2016,Cycling Track,Keirin women
22,FRA,sandie clair,,Rio 2016,Cycling Track,Keirin women
23,IRL,shannon mccurley,,Rio 2016,Cycling Track,Keirin women
24,CAN,monique sullivan,,Rio 2016,Cycling Track,Keirin women
25,GER,miriam welte,,Rio 2016,Cycling Track,Keirin women
26,NZL,olivia podmore,,Rio 2016,Cycling Track,Keirin women
0,ITA,elia viviani,207,Rio 2016,Cycling Track,Omnium men
1,GBR,mark cavendish,194,Rio 2016,Cycling Track,Omnium men
2,DEN,lasse norman hansen,192,Rio 2016,Cycling Track,Omnium men
3,COL,fernando gaviria rendon,181,Rio 2016,Cycling Track,Omnium men
4,FRA,thomas boudat,172,Rio 2016,Cycling Track,Omnium men
5,GER,roger kluge,167,Rio 2016,Cycling Track,Omnium men
6,AUS,glenn oshea,144,Rio 2016,Cycling Track,Omnium men
7,NZL,dylan kennett,143,Rio 2016,Cycling Track,Omnium men
8,NED,tim veldt,111,Rio 2016,Cycling Track,Omnium men
9,KAZ,artyom zakharov,111,Rio 2016,Cycling Track,Omnium men
