,country,participant,result,olympic_game,discipline,event
0,KOR,sangyoung park,,Rio 2016,Fencing,épée individual men
1,HUN,geza imre,,Rio 2016,Fencing,épée individual men
2,FRA,gauthier grumier,,Rio 2016,Fencing,épée individual men
3,SUI,benjamin steffen,,Rio 2016,Fencing,épée individual men
4,FRA,yannick borel,,Rio 2016,Fencing,épée individual men
5,JPN,kazuyasu minobe,,Rio 2016,Fencing,épée individual men
6,SUI,max heinzer,,Rio 2016,Fencing,épée individual men
7,EST,nikolai novosjolov,,Rio 2016,Fencing,épée individual men
8,ITA,enrico garozzo,,Rio 2016,Fencing,épée individual men
9,UKR,bohdan nikishyn,,Rio 2016,Fencing,épée individual men
10,RUS,vadim anokhin,,Rio 2016,Fencing,épée individual men
11,SUI,fabian kauter,,Rio 2016,Fencing,épée individual men
12,HUN,gabor boczko,,Rio 2016,Fencing,épée individual men
13,EGY,ayman fayez,,Rio 2016,Fencing,épée individual men
14,RUS,anton avdeev,,Rio 2016,Fencing,épée individual men
15,VEN,francisco limardo,,Rio 2016,Fencing,épée individual men
16,FRA,daniel jerent,,Rio 2016,Fencing,épée individual men
17,NED,bas verwijlen,,Rio 2016,Fencing,épée individual men
18,KOR,kyoungdoo park,,Rio 2016,Fencing,épée individual men
19,RUS,pavel sukhov,,Rio 2016,Fencing,épée individual men
20,VEN,ruben limardo gascon,,Rio 2016,Fencing,épée individual men
21,USA,jason pryor,,Rio 2016,Fencing,épée individual men
22,SEN,alexandre bouzaid,,Rio 2016,Fencing,épée individual men
23,UKR,anatoliy herei,,Rio 2016,Fencing,épée individual men
24,ITA,paolo pizzo,,Rio 2016,Fencing,épée individual men
25,ITA,marco fichera,,Rio 2016,Fencing,épée individual men
26,CAN,maxime brinck-croteau,,Rio 2016,Fencing,épée individual men
27,HUN,andras redli,,Rio 2016,Fencing,épée individual men
28,COL,john edison rodriguez,,Rio 2016,Fencing,épée individual men
29,CHN,yunlong jiao,,Rio 2016,Fencing,épée individual men
30,KOR,jin-seon jeong,,Rio 2016,Fencing,épée individual men
31,BRA,athos schwantes,,Rio 2016,Fencing,épée individual men
32,CZE,jiri beran,,Rio 2016,Fencing,épée individual men
33,VEN,silvio fernandez,,Rio 2016,Fencing,épée individual men
34,BRA,guilherme melaragno,,Rio 2016,Fencing,épée individual men
35,UKR,dmytro karyuchenko,,Rio 2016,Fencing,épée individual men
36,BRA,nicolas ferreira,,Rio 2016,Fencing,épée individual men
37,IOA,abdulaziz alshatti,,Rio 2016,Fencing,épée individual men
0,HUN,emese szasz,,Rio 2016,Fencing,épée individual women
1,ITA,rossella fiamingo,,Rio 2016,Fencing,épée individual women
2,CHN,yiwen sun,,Rio 2016,Fencing,épée individual women
