,country,participant,result,olympic_game,discipline,event
0,ARG,paula pareto,,Rio 2016,Judo,- 48 kg women
1,KOR,bokyeong jeong,,Rio 2016,Judo,- 48 kg women
2,JPN,ami kondo,,Rio 2016,Judo,- 48 kg women
3,KAZ,otgontsetseg galbadrakh,,Rio 2016,Judo,- 48 kg women
4,MGL,urantsetseg munkhbat,,Rio 2016,Judo,- 48 kg women
5,CUB,dayaris mestre alvarez,,Rio 2016,Judo,- 48 kg women
6,BRA,sarah menezes,,Rio 2016,Judo,- 48 kg women
7,HUN,eva csernoviczki,,Rio 2016,Judo,- 48 kg women
8,FRA,laetitia payet,,Rio 2016,Judo,- 48 kg women
9,VIE,ngoc tu van,,Rio 2016,Judo,- 48 kg women
10,BEL,charline van snick,,Rio 2016,Judo,- 48 kg women
11,ESP,julia figueroa,,Rio 2016,Judo,- 48 kg women
12,RUS,irina dolgova,,Rio 2016,Judo,- 48 kg women
13,UKR,maryna cherniak,,Rio 2016,Judo,- 48 kg women
14,MEX,edna carrillo,,Rio 2016,Judo,- 48 kg women
15,GBS,taciana lima,,Rio 2016,Judo,- 48 kg women
16,AUS,chloe rayner,,Rio 2016,Judo,- 48 kg women
17,ITA,valentina moscatt,,Rio 2016,Judo,- 48 kg women
18,ROU,monica ungureanu,,Rio 2016,Judo,- 48 kg women
19,MAD,asaramanitra ratiarison,,Rio 2016,Judo,- 48 kg women
20,PRK,sol mi kim,,Rio 2016,Judo,- 48 kg women
21,ISR,shira rishony,,Rio 2016,Judo,- 48 kg women
22,TUR,dilara lokmanhekim,,Rio 2016,Judo,- 48 kg women
0,RUS,beslan mudranov,,Rio 2016,Judo,- 60 kg men
1,KAZ,yeldos smetov,,Rio 2016,Judo,- 60 kg men
2,JPN,naohisa takato,,Rio 2016,Judo,- 60 kg men
3,UZB,diyorbek urozboev,,Rio 2016,Judo,- 60 kg men
4,AZE,orxan səfərov,,Rio 2016,Judo,- 60 kg men
5,GEO,amiran papinashvili,,Rio 2016,Judo,- 60 kg men
6,KOR,won jin kim,,Rio 2016,Judo,- 60 kg men
7,BRA,felipe kitadai,,Rio 2016,Judo,- 60 kg men
8,MGL,tsogtbaatar tsend-ochir,,Rio 2016,Judo,- 60 kg men
9,ARM,hovhannes davtyan,,Rio 2016,Judo,- 60 kg men
10,CZE,pavel petrikov,,Rio 2016,Judo,- 60 kg men
11,BUL,yanislav gerchev,,Rio 2016,Judo,- 60 kg men
12,KGZ,otar bestaev,,Rio 2016,Judo,- 60 kg men
13,GER,tobias englmaier,,Rio 2016,Judo,- 60 kg men
14,GBR,ashley mckenzie,,Rio 2016,Judo,- 60 kg men
15,SUI,ludovic chammartin,,Rio 2016,Judo,- 60 kg men
16,ITA,elios manzi,,Rio 2016,Judo,- 60 kg men
17,FIN,juho reinvall,,Rio 2016,Judo,- 60 kg men
18,NED,jeroen mooren,,Rio 2016,Judo,- 60 kg men
19,AUT,ludwig paischer,,Rio 2016,Judo,- 60 kg men
20,MON,yann siccardi,,Rio 2016,Judo,- 60 kg men
21,BOT,gavin mogopa,,Rio 2016,Judo,- 60 kg men
22,CAN,sergio pessoa,,Rio 2016,Judo,- 60 kg men
23,TPE,ming-yen tsai,,Rio 2016,Judo,- 60 kg men
24,PER,juan postigos,,Rio 2016,Judo,- 60 kg men
25,EGY,ahmed abelrahman,,Rio 2016,Judo,- 60 kg men
26,FRA,walide khyar,,Rio 2016,Judo,- 60 kg men
27,ESP,francisco garrigos,,Rio 2016,Judo,- 60 kg men
28,LBA,mohamed elhadi elkawisah,,Rio 2016,Judo,- 60 kg men
29,TUR,bekir ozlu,,Rio 2016,Judo,- 60 kg men
30,AUS,joshua katz,,Rio 2016,Judo,- 60 kg men
31,ECU,lenin preciado,,Rio 2016,Judo,- 60 kg men
32,GUA,jose ramos,,Rio 2016,Judo,- 60 kg men
33,LAO,soukphaxay sithisane,,Rio 2016,Judo,- 60 kg men
34,PLE,simon yacoub,,Rio 2016,Judo,- 60 kg men
0,FRA,teddy riner,,Rio 2016,Judo,+ 100kg (heavyweight) men
1,JPN,hisayoshi harasawa,,Rio 2016,Judo,+ 100kg (heavyweight) men
2,BRA,rafael silva,,Rio 2016,Judo,+ 100kg (heavyweight) men
3,ISR,or sasson,,Rio 2016,Judo,+ 100kg (heavyweight) men
4,UZB,abdullo tangriev,,Rio 2016,Judo,+ 100kg (heavyweight) men
5,CUB,alex garcia mendoza,,Rio 2016,Judo,+ 100kg (heavyweight) men
6,NED,roy meyer,,Rio 2016,Judo,+ 100kg (heavyweight) men
7,KGZ,yury krakovetsky,,Rio 2016,Judo,+ 100kg (heavyweight) men
8,ALG,mohammed amine tayeb,,Rio 2016,Judo,+ 100kg (heavyweight) men
9,RUS,renat saidov,,Rio 2016,Judo,+ 100kg (heavyweight) men
10,KOR,sungmin kim,,Rio 2016,Judo,+ 100kg (heavyweight) men
11,POL,maciej sarnacki,,Rio 2016,Judo,+ 100kg (heavyweight) men
12,AZE,ushangi kokauri,,Rio 2016,Judo,+ 100kg (heavyweight) men
13,HUN,barna bor,,Rio 2016,Judo,+ 100kg (heavyweight) men
14,UKR,iakiv khammo,,Rio 2016,Judo,+ 100kg (heavyweight) men
15,ROU,daniel natea,,Rio 2016,Judo,+ 100kg (heavyweight) men
16,MGL,temuulen battulga,,Rio 2016,Judo,+ 100kg (heavyweight) men
17,HON,ramon pileta,,Rio 2016,Judo,+ 100kg (heavyweight) men
18,AUT,daniel allerstorfer,,Rio 2016,Judo,+ 100kg (heavyweight) men
19,CGO,deo gracia ngokaba,,Rio 2016,Judo,+ 100kg (heavyweight) men
20,ECU,freddy figueroa,,Rio 2016,Judo,+ 100kg (heavyweight) men
21,EGY,islam el shehaby,,Rio 2016,Judo,+ 100kg (heavyweight) men
22,ISL,thormodur jonsson,,Rio 2016,Judo,+ 100kg (heavyweight) men
23,GEO,adam okruashvili,,Rio 2016,Judo,+ 100kg (heavyweight) men
24,LAT,arturs nikiforenko,,Rio 2016,Judo,+ 100kg (heavyweight) men
25,TUN,faicel jaballah,,Rio 2016,Judo,+ 100kg (heavyweight) men
26,TJK,mukhamadmurod abdurakhmonov,,Rio 2016,Judo,+ 100kg (heavyweight) men
27,BUR,rachid sidibe,,Rio 2016,Judo,+ 100kg (heavyweight) men
28,GER,andre breitbarth,,Rio 2016,Judo,+ 100kg (heavyweight) men
29,THA,kunathip yea-on,,Rio 2016,Judo,+ 100kg (heavyweight) men
30,SAM,derek sua,,Rio 2016,Judo,+ 100kg (heavyweight) men
0,FRA,emilie andeol,,Rio 2016,Judo,+ 78kg (heavyweight) women
1,CUB,idalys ortiz,,Rio 2016,Judo,+ 78kg (heavyweight) women
2,JPN,kanae yamabe,,Rio 2016,Judo,+ 78kg (heavyweight) women
3,CHN,song yu,,Rio 2016,Judo,+ 78kg (heavyweight) women
4,TUR,kayra sayit,,Rio 2016,Judo,+ 78kg (heavyweight) women
5,KOR,minjeong kim,,Rio 2016,Judo,+ 78kg (heavyweight) women
6,TUN,nihel cheikh rouhou,,Rio 2016,Judo,+ 78kg (heavyweight) women
7,NED,tessie savelkouls,,Rio 2016,Judo,+ 78kg (heavyweight) women
8,ALG,sonia asselah,,Rio 2016,Judo,+ 78kg (heavyweight) women
9,PUR,melissa mojica,,Rio 2016,Judo,+ 78kg (heavyweight) women
10,MEX,vanessa zambotti,,Rio 2016,Judo,+ 78kg (heavyweight) women
11,BIH,larisa ceric,,Rio 2016,Judo,+ 78kg (heavyweight) women
12,RUS,ksenia chibisova,,Rio 2016,Judo,+ 78kg (heavyweight) women
13,BRA,maria suelen altheman,,Rio 2016,Judo,+ 78kg (heavyweight) women
14,LTU,santa pakenyte,,Rio 2016,Judo,+ 78kg (heavyweight) women
15,UKR,svitlana iaromka,,Rio 2016,Judo,+ 78kg (heavyweight) women
16,GER,jasmin kuelbs,,Rio 2016,Judo,+ 78kg (heavyweight) women
0,KOS,majlinda kelmendi,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
1,ITA,odette giuffrida,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
2,JPN,misato nakamura,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
3,RUS,nataliya kuzyutina,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
4,BRA,erika miranda,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
5,CHN,yingnan ma,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
6,ROU,andreea chitu,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
7,MRI,christianne legentil,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
8,ESP,laura isabel gomez quintero,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
9,GER,mareen kraeh,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
10,TUN,hela ayari,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
11,POR,joana ramos,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
12,SUI,evelyne tschopp,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
13,ISR,gili cohen,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
14,MGL,tsolmon adiyasambuu,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
15,CAN,ecaterina guica,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
16,TKM,gulbadam babamuratova,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
17,BLR,darya skrypnik,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
18,BDI,antoinette gasongo,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
19,FRA,priscilla gneto,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
20,USA,angelica delgado,,Rio 2016,Judo,48 - 52kg (half-lightweight) women
