,country,participant,result,olympic_game,discipline,event
0,GBR,alistair brownlee,01:45:01.000,Rio 2016,Triathlon,Individual men
1,GBR,jonathan brownlee,01:45:07.000,Rio 2016,Triathlon,Individual men
2,RSA,henri schoeman,01:45:43.000,Rio 2016,Triathlon,Individual men
3,RSA,richard murray,01:45:50.000,Rio 2016,Triathlon,Individual men
4,POR,joao pereira,01:45:52.000,Rio 2016,Triathlon,Individual men
5,BEL,marten van riel,01:46:03.000,Rio 2016,Triathlon,Individual men
6,FRA,vincent luis,01:46:12.000,Rio 2016,Triathlon,Individual men
7,ESP,mario mola,01:46:26.000,Rio 2016,Triathlon,Individual men
8,AUS,aaron royle,01:46:42.000,Rio 2016,Triathlon,Individual men
9,AUS,ryan bailie,01:47:02.000,Rio 2016,Triathlon,Individual men
10,SVK,richard varga,01:47:17.000,Rio 2016,Triathlon,Individual men
11,MEX,crisanto grajales,01:47:28.000,Rio 2016,Triathlon,Individual men
12,NOR,kristian blummenfelt,01:47:31.000,Rio 2016,Triathlon,Individual men
13,ITA,alessandro fabian,01:47:35.000,Rio 2016,Triathlon,Individual men
14,CAN,tyler mislawchuk,01:47:50.000,Rio 2016,Triathlon,Individual men
15,SUI,andrea salvisberg,01:47:56.000,Rio 2016,Triathlon,Individual men
16,NZL,ryan sissons,01:48:01.000,Rio 2016,Triathlon,Individual men
17,ESP,fernando alarza,01:48:08.000,Rio 2016,Triathlon,Individual men
18,SUI,sven riederer,01:48:15.000,Rio 2016,Triathlon,Individual men
19,HUN,gabor faldum,01:48:20.000,Rio 2016,Triathlon,Individual men
20,NZL,tony dodds,01:48:24.000,Rio 2016,Triathlon,Individual men
21,MEX,irving perez,01:48:26.000,Rio 2016,Triathlon,Individual men
22,USA,joe maloy,01:48:30.000,Rio 2016,Triathlon,Individual men
23,AUS,ryan fisher,01:48:34.000,Rio 2016,Triathlon,Individual men
24,FRA,pierre le corre,01:48:36.000,Rio 2016,Triathlon,Individual men
25,ISR,ron darmon,01:48:41.000,Rio 2016,Triathlon,Individual men
26,ESP,vicente hernandez,01:48:50.000,Rio 2016,Triathlon,Individual men
27,DEN,andreas schilling,01:48:56.000,Rio 2016,Triathlon,Individual men
28,USA,ben kanute,01:48:59.000,Rio 2016,Triathlon,Individual men
29,CRC,leonardo chacon,01:49:06.000,Rio 2016,Triathlon,Individual men
30,RUS,igor polyanskiy,01:49:11.000,Rio 2016,Triathlon,Individual men
31,RUS,dmitriy polyanskiy,01:49:26.000,Rio 2016,Triathlon,Individual men
32,HUN,tamas toth,01:50:02.000,Rio 2016,Triathlon,Individual men
33,ITA,davide uccellari,01:51:06.000,Rio 2016,Triathlon,Individual men
34,POR,joao silva,01:51:33.000,Rio 2016,Triathlon,Individual men
35,FRA,dorian coninx,01:51:50.000,Rio 2016,Triathlon,Individual men
36,USA,greg billington,01:52:04.000,Rio 2016,Triathlon,Individual men
37,BEL,jelle geens,01:52:05.000,Rio 2016,Triathlon,Individual men
38,AZE,rostyslav pevtsov,01:52:06.000,Rio 2016,Triathlon,Individual men
39,IRL,bryan keane,01:52:09.000,Rio 2016,Triathlon,Individual men
40,BRA,diogo sclebin,01:52:32.000,Rio 2016,Triathlon,Individual men
41,CAN,andrew yorke,01:52:46.000,Rio 2016,Triathlon,Individual men
