,country,participant,result,olympic_game,discipline,event
0,CHN,qingquan long,WR,Rio 2016,Weightlifting,-56kg (bantamweight) men
1,PRK,yun chol om,,Rio 2016,Weightlifting,-56kg (bantamweight) men
2,THA,sinphet kruaithong,,Rio 2016,Weightlifting,-56kg (bantamweight) men
3,KAZ,arli chontey,,Rio 2016,Weightlifting,-56kg (bantamweight) men
4,VIE,le quoc toan tran,,Rio 2016,Weightlifting,-56kg (bantamweight) men
5,COL,habib de las salas de la rosa,,Rio 2016,Weightlifting,-56kg (bantamweight) men
6,ITA,mirco scarantino,,Rio 2016,Weightlifting,-56kg (bantamweight) men
7,DOM,luis alberto garcia brito,,Rio 2016,Weightlifting,-56kg (bantamweight) men
8,THA,witoon mingmoon,,Rio 2016,Weightlifting,-56kg (bantamweight) men
9,GUA,edgar pineda zeta,,Rio 2016,Weightlifting,-56kg (bantamweight) men
10,JPN,hiroaki takao,,Rio 2016,Weightlifting,-56kg (bantamweight) men
11,TPE,chi-chung tan,,Rio 2016,Weightlifting,-56kg (bantamweight) men
12,FIJ,manueli tulo,,Rio 2016,Weightlifting,-56kg (bantamweight) men
13,BEL,tom richard goegebuer,,Rio 2016,Weightlifting,-56kg (bantamweight) men
14,NRU,elson brechtefeld,,Rio 2016,Weightlifting,-56kg (bantamweight) men
15,PHI,nestor colonia,Did not finish,Rio 2016,Weightlifting,-56kg (bantamweight) men
16,VIE,kim tuan thach,Did not finish,Rio 2016,Weightlifting,-56kg (bantamweight) men
17,ESP,josue brachi garcia,Did not finish,Rio 2016,Weightlifting,-56kg (bantamweight) men
18,MGL,chagnaadorj usukhbayar,Disqualified,Rio 2016,Weightlifting,-56kg (bantamweight) men
0,GEO,lasha talakhadze,WR,Rio 2016,Weightlifting,+105kg men
1,ARM,gor minasyan,,Rio 2016,Weightlifting,+105kg men
2,GEO,irakli turmanidze,,Rio 2016,Weightlifting,+105kg men
3,ARM,ruben aleksanyan,,Rio 2016,Weightlifting,+105kg men
4,BRA,fernando saraiva reis,,Rio 2016,Weightlifting,+105kg men
5,UZB,rustam djangabaev,,Rio 2016,Weightlifting,+105kg men
6,EST,mart seim,,Rio 2016,Weightlifting,+105kg men
7,CZE,jiri orsag,,Rio 2016,Weightlifting,+105kg men
8,GER,almir velagic,,Rio 2016,Weightlifting,+105kg men
9,HUN,peter nagy,,Rio 2016,Weightlifting,+105kg men
10,UZB,sardorbek dusmurotov,,Rio 2016,Weightlifting,+105kg men
11,BLR,aliaksei mzhachyk,,Rio 2016,Weightlifting,+105kg men
12,ALG,walid bidani,,Rio 2016,Weightlifting,+105kg men
13,ECU,fernando salas manguis,,Rio 2016,Weightlifting,+105kg men
14,SYR,man asaad,,Rio 2016,Weightlifting,+105kg men
15,GER,alexej prochorow,,Rio 2016,Weightlifting,+105kg men
16,ISR,igor olshanetskyi,,Rio 2016,Weightlifting,+105kg men
17,SVK,ondrej kruzel,,Rio 2016,Weightlifting,+105kg men
18,UKR,ihor shymechko,,Rio 2016,Weightlifting,+105kg men
19,EGY,ahmed mohamed,Did not finish,Rio 2016,Weightlifting,+105kg men
20,TKM,hojamuhammet toychyyev,Did not finish,Rio 2016,Weightlifting,+105kg men
21,TPE,shih-chieh chen,Did not finish,Rio 2016,Weightlifting,+105kg men
22,IRI,behdad salimikordasiabi,Did not finish,Rio 2016,Weightlifting,+105kg men
0,CHN,suping meng,,Rio 2016,Weightlifting,+75kg women
1,PRK,kuk hyang kim,,Rio 2016,Weightlifting,+75kg women
2,USA,sarah robles,,Rio 2016,Weightlifting,+75kg women
3,EGY,shaimaa haridy,,Rio 2016,Weightlifting,+75kg women
4,KOR,huisol lee,,Rio 2016,Weightlifting,+75kg women
5,KOR,younghee son,,Rio 2016,Weightlifting,+75kg women
6,VEN,yaniuska isabel espinosa,,Rio 2016,Weightlifting,+75kg women
7,ROU,andreea aanei,,Rio 2016,Weightlifting,+75kg women
8,NGR,maryam usman,,Rio 2016,Weightlifting,+75kg women
9,UKR,anastasiia lysenko,,Rio 2016,Weightlifting,+75kg women
10,TUN,yosra dhieb,,Rio 2016,Weightlifting,+75kg women
11,GEO,anast'asia hot'pridi,,Rio 2016,Weightlifting,+75kg women
12,NZL,tracey lambrechs,,Rio 2016,Weightlifting,+75kg women
13,COK,luisa fatiaki taitapu peters,,Rio 2016,Weightlifting,+75kg women
14,ALG,bouchra fatima zohra hirech,,Rio 2016,Weightlifting,+75kg women
15,VEN,naryury alexandra perez reveron,Did not finish,Rio 2016,Weightlifting,+75kg women
0,UZB,ruslan nurudinov,,Rio 2016,Weightlifting,105kg heavyweight men
