,country,participant,result,olympic_game,discipline,event
0,URS,yevgeny minayev,372.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
1,USA,isaac berger,362.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
2,ITA,sebastiano mannironi,352.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
3,KOR,hae-nam kim,345,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
4,JPN,yukio furuyama,345,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
5,UAR,hosni mohamed abbas,337.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
6,MYA,maung kywe tun,327.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
7,PHI,alberto nogar,325,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
8,BUL,kirill georgiev,325,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
9,UAR,moustafa el-shalakani,320,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
10,MAL,kum-weng chung,315,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
11,IND,laxmi kanta das,315,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
12,GER,georg miske,310,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
13,LBN,salah chammah,307.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
14,MEX,mauro alanis,297.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
15,AUT,hermann dodojacek,295,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
16,PAN,angel famiglietti,292.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
17,GBR,allan robinson,292.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
18,ISR,gazi cohen,285,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
19,AUT,walter legel,282.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
20,ESP,jose luis izquierdo talavera,275,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
21,IRL,samuel dalzell,270,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
22,AUS,alan oshyer,92.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
23,IRI,ali safa sonboli,92.5,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
24,JPN,yoshinobu fujishima,200,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
25,COL,jorge danilo pineda,205,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
26,INA,asber nasution,Did not finish,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
27,RSA,gaston sibert gaffney (gaffley),Did not finish,Rome 1960,Weightlifting,56 - 60kg (featherweight) men
0,USA,charles thomas jr. vinci,345,Rome 1960,Weightlifting,56kg bantamweight men
1,JPN,yoshinobu miyake,337.5,Rome 1960,Weightlifting,56kg bantamweight men
2,IRI,ismail elm khah,330,Rome 1960,Weightlifting,56kg bantamweight men
3,JPN,shigeo kogure,322.5,Rome 1960,Weightlifting,56kg bantamweight men
4,POL,marian jankowski,322.5,Rome 1960,Weightlifting,56kg bantamweight men
5,HUN,imre földi,320,Rome 1960,Weightlifting,56kg bantamweight men
6,KOR,in-ho yu,315,Rome 1960,Weightlifting,56kg bantamweight men
7,IRQ,hussain hassan,312.5,Rome 1960,Weightlifting,56kg bantamweight men
8,ITA,renzo grandi,307.5,Rome 1960,Weightlifting,56kg bantamweight men
9,WIF,grantley sobers,307.5,Rome 1960,Weightlifting,56kg bantamweight men
10,AHO,hector publio curiel,305,Rome 1960,Weightlifting,56kg bantamweight men
11,ROU,balaș fitzi,300,Rome 1960,Weightlifting,56kg bantamweight men
12,ITA,rocco spinola,300,Rome 1960,Weightlifting,56kg bantamweight men
13,HUN,arpad borsanyi,295,Rome 1960,Weightlifting,56kg bantamweight men
14,PUR,fernando luis baez cruz,290,Rome 1960,Weightlifting,56kg bantamweight men
15,IRQ,zuhair elia mansour,290,Rome 1960,Weightlifting,56kg bantamweight men
16,INA,tjoe-gwat tan,285,Rome 1960,Weightlifting,56kg bantamweight men
17,ISR,edward maron,270,Rome 1960,Weightlifting,56kg bantamweight men
18,POR,luis ramos paquete,245,Rome 1960,Weightlifting,56kg bantamweight men
19,PHI,alberto canlas,167.5,Rome 1960,Weightlifting,56kg bantamweight men
20,GER,hans reck,170,Rome 1960,Weightlifting,56kg bantamweight men
21,PAK,muhammad azam mian,182.5,Rome 1960,Weightlifting,56kg bantamweight men
0,URS,viktor bushuev,397.5,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
1,SGP,tiger tan,380,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
2,IRQ,abdul wahid aziz,380,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
3,POL,marian zielinski,375,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
4,POL,waldemar baszanowski,370,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
5,HUN,mihaly huszka,365,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
6,GER,werner dittrich,362.5,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
7,TCH,zdenek otahal,362.5,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
8,COL,ney lopez,357.5,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
9,KOR,oh-hyeon jin,355,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
10,FRA,roger gerber,355,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
11,UAR,fawzi rasmy,352.5,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
12,ITA,luciano de genova,352.5,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
13,IRI,henrik tamraz,347.5,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
14,CUB,juan torres martinez,345,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
15,AUT,josef tauchner,340,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
16,RSA,harry webber,340,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
17,GBR,benjamin helfgott,337.5,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
18,FRA,robert delebarre,335,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
19,BEL,clement haeyen,325,Rome 1960,Weightlifting,60 - 67.5kg (lightweight) men
