,country,participant,result,olympic_game,discipline,event
0,USA,terence john mccann,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
1,BUL,nedjet zalev,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
2,POL,tadeusz hipolit trojanowski,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
3,JPN,tadashi asai,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
4,FIN,tauno antero jaskari,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
5,URS,mikhail shakhov,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
6,IRI,mohammad mehdi yaghoubi,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
7,ITA,luigi chinazzo,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
8,GER,fred kammerer,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
9,PAN,eduardo campbell,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
10,PAK,muhammad siraj-din,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
11,KOR,gwang-jae im,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
12,IRL,dermot dunne,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
13,TUR,hüseyin akbas,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
14,SWE,edvin vesterby,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
15,AUS,geoffrey acton jameson,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
16,SUI,paul hanni,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
17,GBR,walter pilling,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
18,SMR,vittorio mancini,,Rome 1960,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
0,URS,oleg karavaev,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
1,ROU,ion cernea,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
2,BUL,dinko petrov stoykov,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
3,SWE,edvin vesterby,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
4,TCH,jiri svec,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
5,TUR,yaşar yılmaz,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
6,JPN,masamitsu ichiguchi,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
7,POL,bernard knitter,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
8,LBN,michel nacouzi,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
9,ITA,gilberto gramellini,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
10,HUN,imre hodos,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
11,YUG,stepan dora,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
12,FRA,gilbert dubier,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
13,NED,laurens cornelus alflen,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
14,GER,ewald tauer,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
15,AUT,franz brunner,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
16,SUI,richard debrunner,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
17,FIN,reino tuominen,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
18,UAR,kamel el-sayed,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
19,IRI,ali bani hashemi,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
20,GRE,mikhail theodoropoulos,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
21,POR,orlando goncalvez,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
22,NOR,john olav tveiten,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
23,BEL,aime verhoeven,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
24,MAR,michel benakoun,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
25,USA,lawrence eugene lauchle,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
26,ESP,santiago canete pastor,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
27,LUX,françois schlechter,,Rome 1960,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
0,TUR,mustafa dagistanli,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
1,BUL,stancho ivanov kolev,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
2,URS,vladimir rubashvili,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
3,JPN,tamiji sato,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
4,BEL,joseph mewis,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
5,PAK,muhammad akhtar,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
6,RSA,abraham geldenhuys,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
7,IRI,mohamed khadem khorasani,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
8,USA,louis domenico giani,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
9,IRQ,kasim ahmed sayed,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
10,FRA,georges ballery,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
11,POL,jan zyrawski,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
12,MEX,roberto vallejo,,Rome 1960,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
