,country,participant,result,olympic_game,discipline,event
0,NOR,kjetil andre aamodt,00:03:17.560,Salt Lake City 2002,Alpine Skiing,alpine combined men
1,USA,bode miller,00:03:17.840,Salt Lake City 2002,Alpine Skiing,alpine combined men
2,AUT,benjamin raich,00:03:18.260,Salt Lake City 2002,Alpine Skiing,alpine combined men
3,AUT,rainer schoenfelder,00:03:18.670,Salt Lake City 2002,Alpine Skiing,alpine combined men
4,NOR,lasse kjus,00:03:19.800,Salt Lake City 2002,Alpine Skiing,alpine combined men
5,SUI,paul accola,00:03:22.260,Salt Lake City 2002,Alpine Skiing,alpine combined men
6,ITA,patrick staudacher,00:03:22.470,Salt Lake City 2002,Alpine Skiing,alpine combined men
7,CAN,jean-philippe roy,00:03:22.680,Salt Lake City 2002,Alpine Skiing,alpine combined men
8,SLO,jernej koblar,00:03:23.470,Salt Lake City 2002,Alpine Skiing,alpine combined men
9,CZE,stanley hayer,00:03:24.440,Salt Lake City 2002,Alpine Skiing,alpine combined men
10,AUT,kilian albrecht,00:03:24.950,Salt Lake City 2002,Alpine Skiing,alpine combined men
11,CZE,borek zakouril,00:03:25.200,Salt Lake City 2002,Alpine Skiing,alpine combined men
12,ITA,alessandro fattori,00:03:25.570,Salt Lake City 2002,Alpine Skiing,alpine combined men
13,RUS,andrey filichkin,00:03:28.140,Salt Lake City 2002,Alpine Skiing,alpine combined men
14,GBR,ross green,00:03:29.110,Salt Lake City 2002,Alpine Skiing,alpine combined men
15,BUL,stefan georgiev,00:03:29.390,Salt Lake City 2002,Alpine Skiing,alpine combined men
16,CAN,darin mc beath,00:03:29.570,Salt Lake City 2002,Alpine Skiing,alpine combined men
17,RUS,pavel chestakov,00:03:30.180,Salt Lake City 2002,Alpine Skiing,alpine combined men
18,USA,jakub fiala,00:03:30.430,Salt Lake City 2002,Alpine Skiing,alpine combined men
19,CZE,jan holicky,00:03:31.150,Salt Lake City 2002,Alpine Skiing,alpine combined men
20,FRA,antoine deneriaz,00:03:31.970,Salt Lake City 2002,Alpine Skiing,alpine combined men
21,RUS,sergeij komarov,00:03:32.030,Salt Lake City 2002,Alpine Skiing,alpine combined men
22,ARG,nicolas arsel,00:03:36.580,Salt Lake City 2002,Alpine Skiing,alpine combined men
23,SVK,ivan heimschild,00:03:36.780,Salt Lake City 2002,Alpine Skiing,alpine combined men
24,UKR,nikolay skriabin,00:03:41.060,Salt Lake City 2002,Alpine Skiing,alpine combined men
