,country,participant,result,olympic_game,discipline,event
0,NOR,frode estil,00:23:41.900,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
1,NOR,thomas alsgaard,00:23:41.900,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
2,SWE,per elofsson,00:23:45.900,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
3,ITA,giorgio di centa,00:23:46.800,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
4,RUS,vitaly denisov,00:23:51.500,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
5,ITA,pietro piller cottrer,00:23:54.200,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
6,NOR,anders aukland,00:24:03.800,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
7,EST,jaak mae,00:24:05.100,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
8,AUT,mikhail botvinov,00:24:10.200,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
9,GER,rene sommerfeldt,00:24:15.700,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
10,UKR,roman leybyuk,00:24:16.200,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
11,CZE,lukas bauer,00:24:16.300,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
12,FRA,vincent vittoz,00:24:19.800,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
13,USA,kris freeman,00:24:25.000,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
14,KAZ,andrei nevzorov,00:24:27.700,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
15,RUS,sergey novikov,00:24:38.900,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
16,GER,andreas schluetter,00:24:41.200,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
17,ITA,fulvio valbusa,00:24:42.700,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
18,USA,john bauer,00:24:42.900,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
19,ITA,fabio maj,00:24:43.800,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
20,KAZ,andrey golovko,00:24:48.900,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
21,NOR,kristen skjeldal,00:24:50.600,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
22,GER,tobias angerer,00:24:50.900,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
23,JPN,masaaki kozu,00:25:05.600,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
24,SVK,ivan batory,00:25:05.700,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
25,LIE,markus hasler,00:25:07.300,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
26,SWE,mathias fredriksson,00:25:12.900,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
27,SWE,niklas jonsson,00:25:18.100,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
28,RUS,aleksey prokurorov,00:25:18.200,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
29,BLR,roman virolainen,00:25:29.100,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
30,FIN,sami repo,00:25:29.700,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
31,POL,janusz krezelok,00:25:30.300,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
32,JPN,mitsuo horigome,00:25:30.500,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
33,JPN,hiroyuki imai,00:25:32.800,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
34,FRA,alexandre rousselet,00:25:33.900,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
35,RUS,vladimir vilissov,00:25:38.400,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
36,ESP,juan jesus gutierrez,00:25:47.500,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
37,GER,axel teichmann,00:25:53.400,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
38,KAZ,nikolay chebotko,00:25:56.500,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
39,SUI,patrick mächler,00:26:02.100,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
40,SUI,reto burgermeister,00:26:11.700,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
41,USA,justin wadsworth,00:26:13.200,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
42,LIE,stephan kunz,00:26:14.200,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
43,CZE,martin koukal,00:26:17.800,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
44,USA,patrick weaver,00:26:32.200,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
45,FIN,sami pietila,00:26:38.800,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
46,LTU,ricardas panavas,00:26:40.100,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
47,KAZ,denis krivushkin,00:26:57.700,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
48,JPN,katsuhito ebisawa,00:27:14.300,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
49,SVK,martin bajcicak,00:27:30.000,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
50,LAT,juris germanis,00:27:32.800,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
51,CZE,milan sperl,00:27:33.700,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
52,EST,priit narusk,00:27:38.200,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
53,ESP,haritz zunzunegui,00:27:41.000,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
54,SLO,matej soklic,00:28:05.400,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
55,FRA,christophe perrillat,00:28:11.900,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
56,ESP,johann muehlegg,Disqualified,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
57,AUT,achim walcher,Disqualified,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
58,AUT,marc mayer,Disqualified,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
59,SWE,morgan goeransson,Did not start,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
60,CAN,donald farley,Did not start,Salt Lake City 2002,Cross Country Skiing,10km pursuit men
0,NOR,frode estil,00:23:41.900,Salt Lake City 2002,Cross Country Skiing,10km women
1,NOR,thomas alsgaard,00:23:41.900,Salt Lake City 2002,Cross Country Skiing,10km women
2,SWE,per elofsson,00:23:45.900,Salt Lake City 2002,Cross Country Skiing,10km women
3,ITA,giorgio di centa,00:23:46.800,Salt Lake City 2002,Cross Country Skiing,10km women
4,RUS,vitaly denisov,00:23:51.500,Salt Lake City 2002,Cross Country Skiing,10km women
5,ITA,pietro piller cottrer,00:23:54.200,Salt Lake City 2002,Cross Country Skiing,10km women
6,NOR,anders aukland,00:24:03.800,Salt Lake City 2002,Cross Country Skiing,10km women
7,EST,jaak mae,00:24:05.100,Salt Lake City 2002,Cross Country Skiing,10km women
8,AUT,mikhail botvinov,00:24:10.200,Salt Lake City 2002,Cross Country Skiing,10km women
9,GER,rene sommerfeldt,00:24:15.700,Salt Lake City 2002,Cross Country Skiing,10km women
10,UKR,roman leybyuk,00:24:16.200,Salt Lake City 2002,Cross Country Skiing,10km women
11,CZE,lukas bauer,00:24:16.300,Salt Lake City 2002,Cross Country Skiing,10km women
12,FRA,vincent vittoz,00:24:19.800,Salt Lake City 2002,Cross Country Skiing,10km women
13,USA,kris freeman,00:24:25.000,Salt Lake City 2002,Cross Country Skiing,10km women
14,KAZ,andrei nevzorov,00:24:27.700,Salt Lake City 2002,Cross Country Skiing,10km women
15,RUS,sergey novikov,00:24:38.900,Salt Lake City 2002,Cross Country Skiing,10km women
16,GER,andreas schluetter,00:24:41.200,Salt Lake City 2002,Cross Country Skiing,10km women
17,ITA,fulvio valbusa,00:24:42.700,Salt Lake City 2002,Cross Country Skiing,10km women
18,USA,john bauer,00:24:42.900,Salt Lake City 2002,Cross Country Skiing,10km women
19,ITA,fabio maj,00:24:43.800,Salt Lake City 2002,Cross Country Skiing,10km women
20,KAZ,andrey golovko,00:24:48.900,Salt Lake City 2002,Cross Country Skiing,10km women
21,NOR,kristen skjeldal,00:24:50.600,Salt Lake City 2002,Cross Country Skiing,10km women
22,GER,tobias angerer,00:24:50.900,Salt Lake City 2002,Cross Country Skiing,10km women
23,JPN,masaaki kozu,00:25:05.600,Salt Lake City 2002,Cross Country Skiing,10km women
24,SVK,ivan batory,00:25:05.700,Salt Lake City 2002,Cross Country Skiing,10km women
25,LIE,markus hasler,00:25:07.300,Salt Lake City 2002,Cross Country Skiing,10km women
26,SWE,mathias fredriksson,00:25:12.900,Salt Lake City 2002,Cross Country Skiing,10km women
27,SWE,niklas jonsson,00:25:18.100,Salt Lake City 2002,Cross Country Skiing,10km women
28,RUS,aleksey prokurorov,00:25:18.200,Salt Lake City 2002,Cross Country Skiing,10km women
29,BLR,roman virolainen,00:25:29.100,Salt Lake City 2002,Cross Country Skiing,10km women
30,FIN,sami repo,00:25:29.700,Salt Lake City 2002,Cross Country Skiing,10km women
31,POL,janusz krezelok,00:25:30.300,Salt Lake City 2002,Cross Country Skiing,10km women
32,JPN,mitsuo horigome,00:25:30.500,Salt Lake City 2002,Cross Country Skiing,10km women
33,JPN,hiroyuki imai,00:25:32.800,Salt Lake City 2002,Cross Country Skiing,10km women
34,FRA,alexandre rousselet,00:25:33.900,Salt Lake City 2002,Cross Country Skiing,10km women
35,RUS,vladimir vilissov,00:25:38.400,Salt Lake City 2002,Cross Country Skiing,10km women
36,ESP,juan jesus gutierrez,00:25:47.500,Salt Lake City 2002,Cross Country Skiing,10km women
37,GER,axel teichmann,00:25:53.400,Salt Lake City 2002,Cross Country Skiing,10km women
38,KAZ,nikolay chebotko,00:25:56.500,Salt Lake City 2002,Cross Country Skiing,10km women
39,SUI,patrick mächler,00:26:02.100,Salt Lake City 2002,Cross Country Skiing,10km women
40,SUI,reto burgermeister,00:26:11.700,Salt Lake City 2002,Cross Country Skiing,10km women
41,USA,justin wadsworth,00:26:13.200,Salt Lake City 2002,Cross Country Skiing,10km women
42,LIE,stephan kunz,00:26:14.200,Salt Lake City 2002,Cross Country Skiing,10km women
43,CZE,martin koukal,00:26:17.800,Salt Lake City 2002,Cross Country Skiing,10km women
44,USA,patrick weaver,00:26:32.200,Salt Lake City 2002,Cross Country Skiing,10km women
45,FIN,sami pietila,00:26:38.800,Salt Lake City 2002,Cross Country Skiing,10km women
46,LTU,ricardas panavas,00:26:40.100,Salt Lake City 2002,Cross Country Skiing,10km women
47,KAZ,denis krivushkin,00:26:57.700,Salt Lake City 2002,Cross Country Skiing,10km women
48,JPN,katsuhito ebisawa,00:27:14.300,Salt Lake City 2002,Cross Country Skiing,10km women
49,SVK,martin bajcicak,00:27:30.000,Salt Lake City 2002,Cross Country Skiing,10km women
50,LAT,juris germanis,00:27:32.800,Salt Lake City 2002,Cross Country Skiing,10km women
51,CZE,milan sperl,00:27:33.700,Salt Lake City 2002,Cross Country Skiing,10km women
52,EST,priit narusk,00:27:38.200,Salt Lake City 2002,Cross Country Skiing,10km women
53,ESP,haritz zunzunegui,00:27:41.000,Salt Lake City 2002,Cross Country Skiing,10km women
54,SLO,matej soklic,00:28:05.400,Salt Lake City 2002,Cross Country Skiing,10km women
55,FRA,christophe perrillat,00:28:11.900,Salt Lake City 2002,Cross Country Skiing,10km women
56,ESP,johann muehlegg,Disqualified,Salt Lake City 2002,Cross Country Skiing,10km women
57,AUT,achim walcher,Disqualified,Salt Lake City 2002,Cross Country Skiing,10km women
58,AUT,marc mayer,Disqualified,Salt Lake City 2002,Cross Country Skiing,10km women
59,SWE,morgan goeransson,Did not start,Salt Lake City 2002,Cross Country Skiing,10km women
60,CAN,donald farley,Did not start,Salt Lake City 2002,Cross Country Skiing,10km women
