,country,participant,result,olympic_game,discipline,event
0,,,55,Salt Lake City 2002,Ice Hockey,ice hockey men
1,,,65,Salt Lake City 2002,Ice Hockey,ice hockey men
2,,,43,Salt Lake City 2002,Ice Hockey,ice hockey men
3,,,41 / Member(s) DSQ for doping,Salt Lake City 2002,Ice Hockey,ice hockey men
4,,,34,Salt Lake City 2002,Ice Hockey,ice hockey men
5,,,27,Salt Lake City 2002,Ice Hockey,ice hockey men
6,,,31,Salt Lake City 2002,Ice Hockey,ice hockey men
7,,,44,Salt Lake City 2002,Ice Hockey,ice hockey men
8,,,49,Salt Lake City 2002,Ice Hockey,ice hockey men
9,,,26,Salt Lake City 2002,Ice Hockey,ice hockey men
10,,,25,Salt Lake City 2002,Ice Hockey,ice hockey men
11,,,17,Salt Lake City 2002,Ice Hockey,ice hockey men
12,,,34,Salt Lake City 2002,Ice Hockey,ice hockey men
13,,,14,Salt Lake City 2002,Ice Hockey,ice hockey men
0,,,74,Salt Lake City 2002,Ice Hockey,ice hockey women
1,,,80,Salt Lake City 2002,Ice Hockey,ice hockey women
2,,,23,Salt Lake City 2002,Ice Hockey,ice hockey women
3,,,29,Salt Lake City 2002,Ice Hockey,ice hockey women
4,,,29,Salt Lake City 2002,Ice Hockey,ice hockey women
5,,,24,Salt Lake City 2002,Ice Hockey,ice hockey women
6,,,20,Salt Lake City 2002,Ice Hockey,ice hockey women
7,,,5,Salt Lake City 2002,Ice Hockey,ice hockey women
