,country,participant,result,olympic_game,discipline,event
0,FIN,samppa lajunen,,Salt Lake City 2002,Nordic Combined,Individual men
1,FIN,jaakko tallus,,Salt Lake City 2002,Nordic Combined,Individual men
2,AUT,felix gottwald,,Salt Lake City 2002,Nordic Combined,Individual men
3,GER,ronny ackermann,,Salt Lake City 2002,Nordic Combined,Individual men
4,GER,bjoern kircheisen,,Salt Lake City 2002,Nordic Combined,Individual men
5,AUT,mario stecher,,Salt Lake City 2002,Nordic Combined,Individual men
6,USA,todd lodwick,,Salt Lake City 2002,Nordic Combined,Individual men
7,NOR,kristian hammer,,Salt Lake City 2002,Nordic Combined,Individual men
8,SUI,andy hartmann,,Salt Lake City 2002,Nordic Combined,Individual men
9,FRA,nicolas bal,,Salt Lake City 2002,Nordic Combined,Individual men
10,JPN,kenji ogiwara,,Salt Lake City 2002,Nordic Combined,Individual men
11,JPN,daito takahashi,,Salt Lake City 2002,Nordic Combined,Individual men
12,SLO,andrej jezersek,,Salt Lake City 2002,Nordic Combined,Individual men
13,FIN,hannu manninen,,Salt Lake City 2002,Nordic Combined,Individual men
14,AUT,christoph bieler,,Salt Lake City 2002,Nordic Combined,Individual men
15,CZE,pavel churavy,,Salt Lake City 2002,Nordic Combined,Individual men
16,FRA,kevin arnould,,Salt Lake City 2002,Nordic Combined,Individual men
17,USA,matt dayton,,Salt Lake City 2002,Nordic Combined,Individual men
18,USA,william michael demong,,Salt Lake City 2002,Nordic Combined,Individual men
19,AUT,christoph eugen,,Salt Lake City 2002,Nordic Combined,Individual men
20,GER,sebastian haseney,,Salt Lake City 2002,Nordic Combined,Individual men
21,NOR,preben fjaere brynemo,,Salt Lake City 2002,Nordic Combined,Individual men
22,RUS,alexej barannikov,,Salt Lake City 2002,Nordic Combined,Individual men
23,NOR,jan rune grave,,Salt Lake City 2002,Nordic Combined,Individual men
24,SUI,andreas hurschler,,Salt Lake City 2002,Nordic Combined,Individual men
25,FRA,ludovic roux,,Salt Lake City 2002,Nordic Combined,Individual men
26,RUS,aleksey tsvetkov,,Salt Lake City 2002,Nordic Combined,Individual men
27,FIN,mikko keskinarkaus,,Salt Lake City 2002,Nordic Combined,Individual men
28,SUI,ronny heer,,Salt Lake City 2002,Nordic Combined,Individual men
29,JPN,satoshi mori,,Salt Lake City 2002,Nordic Combined,Individual men
30,RUS,aleksey fadeyev,,Salt Lake City 2002,Nordic Combined,Individual men
31,USA,johnny spillane,,Salt Lake City 2002,Nordic Combined,Individual men
32,JPN,gen tomii,,Salt Lake City 2002,Nordic Combined,Individual men
33,GER,georg hettich,,Salt Lake City 2002,Nordic Combined,Individual men
34,RUS,vladimir lysenin,,Salt Lake City 2002,Nordic Combined,Individual men
35,NOR,sverre rotevatn,,Salt Lake City 2002,Nordic Combined,Individual men
36,FRA,frederic baud,,Salt Lake City 2002,Nordic Combined,Individual men
37,SVK,michal psenko,,Salt Lake City 2002,Nordic Combined,Individual men
38,CZE,ladislav rygl,,Salt Lake City 2002,Nordic Combined,Individual men
39,EST,jens salumae,,Salt Lake City 2002,Nordic Combined,Individual men
40,CZE,milan kucera,,Salt Lake City 2002,Nordic Combined,Individual men
41,SUI,ivan rieder,,Salt Lake City 2002,Nordic Combined,Individual men
42,CZE,petr smejc,,Salt Lake City 2002,Nordic Combined,Individual men
43,BLR,siarhei zakharenka,,Salt Lake City 2002,Nordic Combined,Individual men
