,country,participant,result,olympic_game,discipline,event
0,USA,"jim shea, jr.",00:01:41.960,Salt Lake City 2002,Skeleton,Individual men
1,AUT,martin rettl,00:01:42.010,Salt Lake City 2002,Skeleton,Individual men
2,SUI,gregor staehli,00:01:42.150,Salt Lake City 2002,Skeleton,Individual men
3,IRL,clifton wrottesley,00:01:42.570,Salt Lake City 2002,Skeleton,Individual men
4,USA,lincoln dewitt,00:01:42.830,Salt Lake City 2002,Skeleton,Individual men
5,CAN,jeff pain,00:01:42.920,Salt Lake City 2002,Skeleton,Individual men
6,USA,chris soule,00:01:42.980,Salt Lake City 2002,Skeleton,Individual men
7,JPN,kazuhiro koshi,00:01:43.020,Salt Lake City 2002,Skeleton,Individual men
8,GER,wilfried schneider,00:01:43.140,Salt Lake City 2002,Skeleton,Individual men
9,CAN,duff gibson,00:01:43.160,Salt Lake City 2002,Skeleton,Individual men
10,GER,frank kleber,00:01:43.340,Salt Lake City 2002,Skeleton,Individual men
11,AUT,christian auer,00:01:43.370,Salt Lake City 2002,Skeleton,Individual men
12,GBR,kristan bromley,00:01:43.430,Salt Lake City 2002,Skeleton,Individual men
13,NOR,snorre pedersen,00:01:43.770,Salt Lake City 2002,Skeleton,Individual men
14,CAN,pascal richard,00:01:43.840,Salt Lake City 2002,Skeleton,Individual men
15,SUI,felix poletti,00:01:43.870,Salt Lake City 2002,Skeleton,Individual men
16,FRA,philippe cavoret,00:01:43.880,Salt Lake City 2002,Skeleton,Individual men
17,JPN,masaru inada,00:01:43.980,Salt Lake City 2002,Skeleton,Individual men
18,ITA,christian steger,00:01:44.400,Salt Lake City 2002,Skeleton,Individual men
19,KOR,gwang-bae gang,00:01:44.510,Salt Lake City 2002,Skeleton,Individual men
20,LAT,tomass dukurs,00:01:44.670,Salt Lake City 2002,Skeleton,Individual men
21,RUS,constantin aladashvili,00:01:45.590,Salt Lake City 2002,Skeleton,Individual men
22,GRE,michael panagiotis voudouris,00:01:48.440,Salt Lake City 2002,Skeleton,Individual men
23,CZE,josef chuchla,00:01:48.660,Salt Lake City 2002,Skeleton,Individual men
24,MEX,luis carrasco arena,00:01:48.980,Salt Lake City 2002,Skeleton,Individual men
25,ARG,german a glessner,00:01:52.650,Salt Lake City 2002,Skeleton,Individual men
0,USA,tristan gale,00:01:45.110,Salt Lake City 2002,Skeleton,Individual women
1,USA,lea ann parsley,00:01:45.210,Salt Lake City 2002,Skeleton,Individual women
2,GBR,alex coomber,00:01:45.370,Salt Lake City 2002,Skeleton,Individual women
3,GER,diana sartor,00:01:45.530,Salt Lake City 2002,Skeleton,Individual women
4,SUI,maya pedersen,00:01:45.550,Salt Lake City 2002,Skeleton,Individual women
5,CAN,lindsay alcock,00:01:45.690,Salt Lake City 2002,Skeleton,Individual women
6,GER,steffi hanzlik,00:01:45.950,Salt Lake City 2002,Skeleton,Individual women
7,RUS,ekaterina mironova,00:01:45.950,Salt Lake City 2002,Skeleton,Individual women
8,ITA,dany locati,00:01:46.650,Salt Lake City 2002,Skeleton,Individual women
9,CAN,michelle kelly,00:01:47.320,Salt Lake City 2002,Skeleton,Individual women
10,NZL,liz couch,00:01:47.800,Salt Lake City 2002,Skeleton,Individual women
11,JPN,eiko nakayama,00:01:48.720,Salt Lake City 2002,Skeleton,Individual women
12,GRE,cindy ninos,00:01:49.280,Salt Lake City 2002,Skeleton,Individual women
