,country,participant,result,olympic_game,discipline,event
0,NOR,magnar solberg,01:15:55.500,Sapporo 1972,Biathlon,20km men
1,GDR,h-joerg knauthe,01:16:07.600,Sapporo 1972,Biathlon,20km men
2,SWE,lars-göran arwidson,01:16:27.030,Sapporo 1972,Biathlon,20km men
3,URS,aleksandr tikhonov,01:16:48.650,Sapporo 1972,Biathlon,20km men
4,FIN,yrjö salpakari,01:16:51.430,Sapporo 1972,Biathlon,20km men
5,FIN,esko saira,01:17:34.800,Sapporo 1972,Biathlon,20km men
6,URS,viktor mamatov,01:18:16.260,Sapporo 1972,Biathlon,20km men
7,NOR,tor svendsberget,01:18:26.540,Sapporo 1972,Biathlon,20km men
8,POL,alexander klima,01:19:00.860,Sapporo 1972,Biathlon,20km men
9,FRA,daniel claudon,01:19:14.670,Sapporo 1972,Biathlon,20km men
10,GBR,keith anthony oliver,01:20:40.310,Sapporo 1972,Biathlon,20km men
11,URS,ivan biakov,01:20:42.780,Sapporo 1972,Biathlon,20km men
12,GDR,dieter speer,01:20:43.630,Sapporo 1972,Biathlon,20km men
13,USA,peter karns,01:20:59.670,Sapporo 1972,Biathlon,20km men
14,GDR,günter bartnik,01:21:01.730,Sapporo 1972,Biathlon,20km men
15,ITA,willy bertin,01:21:03.040,Sapporo 1972,Biathlon,20km men
16,JPN,miki shibuya,01:21:57.270,Sapporo 1972,Biathlon,20km men
17,NOR,kaare hovda,01:22:20.370,Sapporo 1972,Biathlon,20km men
18,URS,rinnat safin,01:22:22.590,Sapporo 1972,Biathlon,20km men
19,GDR,horst koschka,01:22:24.580,Sapporo 1972,Biathlon,20km men
20,SWE,holmfrid olsson,01:22:28.780,Sapporo 1972,Biathlon,20km men
21,ITA,giovanni astegiano,01:22:45.900,Sapporo 1972,Biathlon,20km men
22,JPN,shozo sasaki,01:23:05.540,Sapporo 1972,Biathlon,20km men
23,USA,dennis donahue,01:23:20.390,Sapporo 1972,Biathlon,20km men
24,JPN,isao ohno,01:23:26.830,Sapporo 1972,Biathlon,20km men
25,GBR,jeffrey stevens,01:23:28.950,Sapporo 1972,Biathlon,20km men
26,FIN,mauri roppanen,01:23:45.880,Sapporo 1972,Biathlon,20km men
27,ROU,victor fontana,01:24:17.850,Sapporo 1972,Biathlon,20km men
28,NOR,ragnar tveiten,01:24:19.910,Sapporo 1972,Biathlon,20km men
29,FIN,juhani suutarinen,01:24:25.990,Sapporo 1972,Biathlon,20km men
30,ITA,pierantonio clementi,01:25:28.740,Sapporo 1972,Biathlon,20km men
31,ROU,vilmoș gheorghe,01:25:52.270,Sapporo 1972,Biathlon,20km men
32,POL,andrzej rapacz,01:26:21.020,Sapporo 1972,Biathlon,20km men
33,ROU,nicolae vestea,01:27:08.210,Sapporo 1972,Biathlon,20km men
34,POL,jozef stopka,01:27:18.660,Sapporo 1972,Biathlon,20km men
35,TCH,ladislav zizka,01:27:36.810,Sapporo 1972,Biathlon,20km men
36,FRA,rené arpin,01:27:52.640,Sapporo 1972,Biathlon,20km men
37,JPN,kazuo sasakubo,01:28:07.430,Sapporo 1972,Biathlon,20km men
38,TCH,arnost hajek,01:28:22.370,Sapporo 1972,Biathlon,20km men
39,ITA,lino jordan,01:28:26.090,Sapporo 1972,Biathlon,20km men
40,USA,dexter morse,01:28:40.140,Sapporo 1972,Biathlon,20km men
41,SWE,olle petrusson,01:28:40.580,Sapporo 1972,Biathlon,20km men
42,GBR,alan graham notley,01:28:48.720,Sapporo 1972,Biathlon,20km men
43,TCH,stanislav fajstaver,01:28:53.330,Sapporo 1972,Biathlon,20km men
44,USA,william bowerman,01:29:13.710,Sapporo 1972,Biathlon,20km men
45,FRG,josef niedermeyer,01:29:26.440,Sapporo 1972,Biathlon,20km men
46,TCH,pavel ploc,01:29:38.790,Sapporo 1972,Biathlon,20km men
47,POL,andrzej fiedor,01:30:17.250,Sapporo 1972,Biathlon,20km men
48,SWE,torsten wadman,01:30:17.560,Sapporo 1972,Biathlon,20km men
49,FRG,theo merkel,01:30:58.170,Sapporo 1972,Biathlon,20km men
50,FRA,aimé gruet-masson,01:33:44.410,Sapporo 1972,Biathlon,20km men
51,ROU,constantin carabela,01:33:45.950,Sapporo 1972,Biathlon,20km men
52,GBR,malcolm hirst,01:34:55.590,Sapporo 1972,Biathlon,20km men
53,FRA,paul chassagne,Did not finish,Sapporo 1972,Biathlon,20km men
0,,,01:51:44.920,Sapporo 1972,Biathlon,4x7.5km relay men
1,,,01:54:37.250,Sapporo 1972,Biathlon,4x7.5km relay men
2,,,01:54:57.670,Sapporo 1972,Biathlon,4x7.5km relay men
3,,,01:56:24.410,Sapporo 1972,Biathlon,4x7.5km relay men
4,,,01:56:57.400,Sapporo 1972,Biathlon,4x7.5km relay men
5,,,01:57:24.320,Sapporo 1972,Biathlon,4x7.5km relay men
6,,,01:58:09.920,Sapporo 1972,Biathlon,4x7.5km relay men
7,,,01:59:09.480,Sapporo 1972,Biathlon,4x7.5km relay men
8,,,01:59:30.610,Sapporo 1972,Biathlon,4x7.5km relay men
9,,,01:59:47.620,Sapporo 1972,Biathlon,4x7.5km relay men
10,,,02:01:38.840,Sapporo 1972,Biathlon,4x7.5km relay men
11,,,02:03:08.170,Sapporo 1972,Biathlon,4x7.5km relay men
12,,,02:03:08.900,Sapporo 1972,Biathlon,4x7.5km relay men
