,country,participant,result,olympic_game,discipline,event
0,URS,galina kulakova,00:34:17.820,Sapporo 1972,Cross Country Skiing,10km women
1,URS,alevtina olyunina,00:34:54.110,Sapporo 1972,Cross Country Skiing,10km women
2,FIN,marjatta kajosmaa,00:34:56.450,Sapporo 1972,Cross Country Skiing,10km women
3,URS,lyubov mukhachova,00:34:58.560,Sapporo 1972,Cross Country Skiing,10km women
4,FIN,helena takalo,00:35:06.340,Sapporo 1972,Cross Country Skiing,10km women
5,NOR,aslaug dahl,00:35:18.840,Sapporo 1972,Cross Country Skiing,10km women
6,TCH,helena sikolova,00:35:29.330,Sapporo 1972,Cross Country Skiing,10km women
7,FIN,hilkka riihivuori,00:35:36.710,Sapporo 1972,Cross Country Skiing,10km women
8,GDR,renate fischer,00:35:46.960,Sapporo 1972,Cross Country Skiing,10km women
9,URS,nina chebalina,00:35:54.590,Sapporo 1972,Cross Country Skiing,10km women
10,POL,weronika budny,00:35:57.590,Sapporo 1972,Cross Country Skiing,10km women
11,NOR,inger aufles,00:36:07.080,Sapporo 1972,Cross Country Skiing,10km women
12,SWE,barbro tano,00:36:29.340,Sapporo 1972,Cross Country Skiing,10km women
13,NOR,berit mördre,00:36:29.430,Sapporo 1972,Cross Country Skiing,10km women
14,POL,anna duraj,00:36:32.650,Sapporo 1972,Cross Country Skiing,10km women
15,USA,martha rockwell,00:36:34.220,Sapporo 1972,Cross Country Skiing,10km women
16,FRG,michaela endler,00:36:38.050,Sapporo 1972,Cross Country Skiing,10km women
17,GDR,gabriele haupt,00:36:38.410,Sapporo 1972,Cross Country Skiing,10km women
18,SWE,meeri bodelid,00:36:41.520,Sapporo 1972,Cross Country Skiing,10km women
19,GDR,anna unger,00:36:45.240,Sapporo 1972,Cross Country Skiing,10km women
20,POL,jozefa chromik,00:36:45.390,Sapporo 1972,Cross Country Skiing,10km women
21,FIN,marjatta olkkonen,00:36:46.400,Sapporo 1972,Cross Country Skiing,10km women
22,SWE,eva ohlsson,00:36:46.500,Sapporo 1972,Cross Country Skiing,10km women
23,CAN,sharon firth,00:36:52.490,Sapporo 1972,Cross Country Skiing,10km women
24,JPN,hiroko takahashi,00:36:53.840,Sapporo 1972,Cross Country Skiing,10km women
25,TCH,milena chlumova,00:36:59.870,Sapporo 1972,Cross Country Skiing,10km women
26,TCH,alena bartosova,00:37:01.730,Sapporo 1972,Cross Country Skiing,10km women
27,SWE,birgitta lindqvist,00:37:24.760,Sapporo 1972,Cross Country Skiing,10km women
28,NOR,katharina mo,00:37:33.160,Sapporo 1972,Cross Country Skiing,10km women
29,TCH,milena cillerova,00:37:40.700,Sapporo 1972,Cross Country Skiing,10km women
30,GDR,christine philipp,00:37:51.760,Sapporo 1972,Cross Country Skiing,10km women
31,FRG,ingrid rothfuss,00:38:03.690,Sapporo 1972,Cross Country Skiing,10km women
32,JPN,tokiko ozeki,00:38:07.240,Sapporo 1972,Cross Country Skiing,10km women
33,POL,wladyslawa majerczyk,00:38:19.660,Sapporo 1972,Cross Country Skiing,10km women
34,USA,alison owen-spencer,00:38:50.050,Sapporo 1972,Cross Country Skiing,10km women
35,USA,marguerite mahoney,00:39:27.950,Sapporo 1972,Cross Country Skiing,10km women
36,JPN,harumi imai,00:39:33.130,Sapporo 1972,Cross Country Skiing,10km women
37,JPN,hideko saito,00:39:51.610,Sapporo 1972,Cross Country Skiing,10km women
38,GBR,frances lutken,00:40:02.730,Sapporo 1972,Cross Country Skiing,10km women
39,CAN,hellen sander,00:40:25.110,Sapporo 1972,Cross Country Skiing,10km women
40,USA,trina hosmer,00:40:40.560,Sapporo 1972,Cross Country Skiing,10km women
41,FRG,monika mrklas,Did not finish,Sapporo 1972,Cross Country Skiing,10km women
0,SWE,sven-aake lundbäck,00:45:28.240,Sapporo 1972,Cross Country Skiing,15km men
1,URS,fyodor simashev,00:46:00.840,Sapporo 1972,Cross Country Skiing,15km men
2,NOR,ivar formo,00:46:02.680,Sapporo 1972,Cross Country Skiing,15km men
3,FIN,juha mieto,00:46:02.740,Sapporo 1972,Cross Country Skiing,15km men
4,URS,yury skobov,00:46:04.590,Sapporo 1972,Cross Country Skiing,15km men
5,GDR,axel lesser,00:46:17.010,Sapporo 1972,Cross Country Skiing,15km men
6,FRG,walter demel,00:46:17.360,Sapporo 1972,Cross Country Skiing,15km men
7,SWE,gunnar larsson,00:46:23.290,Sapporo 1972,Cross Country Skiing,15km men
8,NOR,oddvar braa,00:46:25.880,Sapporo 1972,Cross Country Skiing,15km men
9,FIN,osmo karjalainen,00:46:27.510,Sapporo 1972,Cross Country Skiing,15km men
10,SUI,eduard hauser,00:46:30.530,Sapporo 1972,Cross Country Skiing,15km men
11,URS,vladimir voronkov,00:46:33.430,Sapporo 1972,Cross Country Skiing,15km men
12,GDR,gerd-dietmar klause,00:46:34.400,Sapporo 1972,Cross Country Skiing,15km men
13,SUI,albert giger,00:46:38.360,Sapporo 1972,Cross Country Skiing,15km men
14,NOR,johs harviken,00:46:46.360,Sapporo 1972,Cross Country Skiing,15km men
15,URS,valery tarakanov,00:46:48.320,Sapporo 1972,Cross Country Skiing,15km men
16,SUI,alois kälin,00:46:50.310,Sapporo 1972,Cross Country Skiing,15km men
17,SWE,lars-göran aaslund,00:46:56.230,Sapporo 1972,Cross Country Skiing,15km men
18,NOR,magne myrmo,00:47:02.550,Sapporo 1972,Cross Country Skiing,15km men
19,SWE,tord backman,00:47:22.970,Sapporo 1972,Cross Country Skiing,15km men
20,TCH,stanislav henych,00:47:25.810,Sapporo 1972,Cross Country Skiing,15km men
21,FRG,gerhard gehring,00:47:33.780,Sapporo 1972,Cross Country Skiing,15km men
22,FIN,juhani repo,00:47:56.160,Sapporo 1972,Cross Country Skiing,15km men
23,ITA,carlo favre,00:47:59.070,Sapporo 1972,Cross Country Skiing,15km men
24,GDR,gerd hessler,00:48:04.150,Sapporo 1972,Cross Country Skiing,15km men
25,GDR,rainer gross,00:48:05.860,Sapporo 1972,Cross Country Skiing,15km men
26,ITA,tonio biondini,00:48:10.090,Sapporo 1972,Cross Country Skiing,15km men
