,country,participant,result,olympic_game,discipline,event
0,GDR,ulrich wehling,413.340,Sapporo 1972,Nordic Combined,Individual men
1,FIN,rauno miettinen,405.505,Sapporo 1972,Nordic Combined,Individual men
2,GDR,karl-heinz luck,398.800,Sapporo 1972,Nordic Combined,Individual men
3,FIN,erkki kilpinen,391.845,Sapporo 1972,Nordic Combined,Individual men
4,JPN,yuji katsuro,390.200,Sapporo 1972,Nordic Combined,Individual men
5,TCH,tomas kucera,387.935,Sapporo 1972,Nordic Combined,Individual men
6,URS,aleksandr nosov,387.730,Sapporo 1972,Nordic Combined,Individual men
7,NOR,kaare olav berg,384.800,Sapporo 1972,Nordic Combined,Individual men
8,GDR,günter deckert,382.970,Sapporo 1972,Nordic Combined,Individual men
9,FRG,ralph pöhland,381.195,Sapporo 1972,Nordic Combined,Individual men
10,URS,mikhail artukhov,380.185,Sapporo 1972,Nordic Combined,Individual men
11,POL,kazimierz dlugopolski,375.860,Sapporo 1972,Nordic Combined,Individual men
12,JPN,hideki nakano,375.055,Sapporo 1972,Nordic Combined,Individual men
13,NOR,kjell aasvestad,374.405,Sapporo 1972,Nordic Combined,Individual men
14,JPN,kazuo araya,374.040,Sapporo 1972,Nordic Combined,Individual men
15,ITA,ezio damolin,372.220,Sapporo 1972,Nordic Combined,Individual men
16,POL,stefan hula,370.525,Sapporo 1972,Nordic Combined,Individual men
17,GDR,hans hartleb,369.505,Sapporo 1972,Nordic Combined,Individual men
18,NOR,henning weid,369.320,Sapporo 1972,Nordic Combined,Individual men
19,FRG,urban hettich,366.775,Sapporo 1972,Nordic Combined,Individual men
20,USA,michael devecka,362.835,Sapporo 1972,Nordic Combined,Individual men
21,URS,anatoly zaytsev,362.475,Sapporo 1972,Nordic Combined,Individual men
22,NOR,gjert andersen,360.315,Sapporo 1972,Nordic Combined,Individual men
23,JPN,nobutaka sasaki,359.945,Sapporo 1972,Nordic Combined,Individual men
24,FRG,alfred winkler,357.110,Sapporo 1972,Nordic Combined,Individual men
25,TCH,ladislav rygl,355.755,Sapporo 1972,Nordic Combined,Individual men
26,FIN,jukka kuvaja,354.385,Sapporo 1972,Nordic Combined,Individual men
27,TCH,jaroslav svoboda,351.605,Sapporo 1972,Nordic Combined,Individual men
28,URS,vyacheslav dryagin,347.525,Sapporo 1972,Nordic Combined,Individual men
29,ITA,fabio morandini,340.680,Sapporo 1972,Nordic Combined,Individual men
30,POL,jozef gasienica,339.125,Sapporo 1972,Nordic Combined,Individual men
31,YUG,janez gorjanc,337.520,Sapporo 1972,Nordic Combined,Individual men
32,FRG,franz keller,336.860,Sapporo 1972,Nordic Combined,Individual men
33,USA,james g. miller,334.950,Sapporo 1972,Nordic Combined,Individual men
34,FRA,jacques gaillard,325.210,Sapporo 1972,Nordic Combined,Individual men
35,SWE,sven-olof israelsson,323.300,Sapporo 1972,Nordic Combined,Individual men
36,AUT,ulrich öhlböck,320.710,Sapporo 1972,Nordic Combined,Individual men
37,USA,walter ten eyck weed,313.605,Sapporo 1972,Nordic Combined,Individual men
38,USA,robert kendall,303.635,Sapporo 1972,Nordic Combined,Individual men
39,TCH,libor foltman,Did not finish,Sapporo 1972,Nordic Combined,Individual men
