,country,participant,result,olympic_game,discipline,event
0,USA,william johnson,00:01:45.590,Sarajevo 1984,Alpine Skiing,downhill men
1,SUI,peter müller,00:01:45.860,Sarajevo 1984,Alpine Skiing,downhill men
2,AUT,anton steiner,00:01:45.950,Sarajevo 1984,Alpine Skiing,downhill men
3,SUI,pirmin zurbriggen,00:01:46.050,Sarajevo 1984,Alpine Skiing,downhill men
4,SUI,urs räber,00:01:46.320,Sarajevo 1984,Alpine Skiing,downhill men
5,AUT,helmut höflehner,00:01:46.320,Sarajevo 1984,Alpine Skiing,downhill men
6,FRG,sepp wildgruber,00:01:46.530,Sarajevo 1984,Alpine Skiing,downhill men
7,CAN,steve podborski,00:01:46.590,Sarajevo 1984,Alpine Skiing,downhill men
8,CAN,todd brooker,00:01:46.640,Sarajevo 1984,Alpine Skiing,downhill men
9,AUT,franz klammer,00:01:47.040,Sarajevo 1984,Alpine Skiing,downhill men
10,AUT,erwin resch,00:01:47.060,Sarajevo 1984,Alpine Skiing,downhill men
11,FRG,klaus gattermann,00:01:47.120,Sarajevo 1984,Alpine Skiing,downhill men
12,LIE,günther marxer,00:01:47.430,Sarajevo 1984,Alpine Skiing,downhill men
13,SUI,conradin cathomen,00:01:47.630,Sarajevo 1984,Alpine Skiing,downhill men
14,ITA,michael mair,00:01:47.700,Sarajevo 1984,Alpine Skiing,downhill men
15,URS,vladimir makeyev,00:01:47.870,Sarajevo 1984,Alpine Skiing,downhill men
16,ITA,alberto ghidoni,00:01:47.870,Sarajevo 1984,Alpine Skiing,downhill men
17,GBR,martin bell,00:01:48.000,Sarajevo 1984,Alpine Skiing,downhill men
18,AUS,steven john lee,00:01:48.020,Sarajevo 1984,Alpine Skiing,downhill men
19,FRA,franck piccard,00:01:48.060,Sarajevo 1984,Alpine Skiing,downhill men
20,ITA,danilo sbardellotto,00:01:48.060,Sarajevo 1984,Alpine Skiing,downhill men
21,FRG,herbert renoth,00:01:48.390,Sarajevo 1984,Alpine Skiing,downhill men
22,URS,valery tsyganov,00:01:48.460,Sarajevo 1984,Alpine Skiing,downhill men
23,USA,douglas g. lewis,00:01:48.490,Sarajevo 1984,Alpine Skiing,downhill men
24,FRA,michel vion,00:01:48.680,Sarajevo 1984,Alpine Skiing,downhill men
25,CAN,gary athans,00:01:48.790,Sarajevo 1984,Alpine Skiing,downhill men
26,YUG,janez pletersek,00:01:48.970,Sarajevo 1984,Alpine Skiing,downhill men
27,JPN,shinya chiba,00:01:49.020,Sarajevo 1984,Alpine Skiing,downhill men
