,country,participant,result,olympic_game,discipline,event
0,NOR,tom sandberg,422.595,Sarajevo 1984,Nordic Combined,Individual men
1,FIN,jouko karjalainen,416.900,Sarajevo 1984,Nordic Combined,Individual men
2,FIN,jukka ylipulli,410.825,Sarajevo 1984,Nordic Combined,Individual men
3,FIN,rauno miettinen,402.970,Sarajevo 1984,Nordic Combined,Individual men
4,FRG,thomas müller,401.995,Sarajevo 1984,Nordic Combined,Individual men
5,URS,aleksandr prosvirnin,400.185,Sarajevo 1984,Nordic Combined,Individual men
6,GDR,uwe dotzauer,397.780,Sarajevo 1984,Nordic Combined,Individual men
7,FRG,hermann weinbuch,397.390,Sarajevo 1984,Nordic Combined,Individual men
8,AUT,klaus sulzenbacher,394.570,Sarajevo 1984,Nordic Combined,Individual men
9,NOR,geir andersen,393.155,Sarajevo 1984,Nordic Combined,Individual men
10,NOR,hallstein bögseth,391.100,Sarajevo 1984,Nordic Combined,Individual men
11,URS,sergey chervyakov,388.345,Sarajevo 1984,Nordic Combined,Individual men
12,USA,kerry-joel lynch,388.165,Sarajevo 1984,Nordic Combined,Individual men
13,URS,aleksandr mayorov,387.330,Sarajevo 1984,Nordic Combined,Individual men
14,GDR,günter schmieder,385.755,Sarajevo 1984,Nordic Combined,Individual men
15,GDR,andreas langer,384.980,Sarajevo 1984,Nordic Combined,Individual men
16,USA,pat ahern,384.620,Sarajevo 1984,Nordic Combined,Individual men
17,FRG,dirk kramer,380.245,Sarajevo 1984,Nordic Combined,Individual men
18,NOR,espen andersen,378.515,Sarajevo 1984,Nordic Combined,Individual men
19,JPN,takahiro tanaka,378.175,Sarajevo 1984,Nordic Combined,Individual men
20,JPN,toshiaki maruyama,373.465,Sarajevo 1984,Nordic Combined,Individual men
21,TCH,jan klimko,366.235,Sarajevo 1984,Nordic Combined,Individual men
22,URS,ildar garifulline,355.825,Sarajevo 1984,Nordic Combined,Individual men
23,FRG,hubert schwarz,355.100,Sarajevo 1984,Nordic Combined,Individual men
24,TCH,vladimir frak,349.000,Sarajevo 1984,Nordic Combined,Individual men
25,SUI,walter hurschler,348.740,Sarajevo 1984,Nordic Combined,Individual men
26,YUG,robert kastrun,334.090,Sarajevo 1984,Nordic Combined,Individual men
27,USA,michael randall,320.950,Sarajevo 1984,Nordic Combined,Individual men
