,country,participant,result,olympic_game,discipline,event
0,,,,Seoul 1988,Hockey,hockey men
1,,,,Seoul 1988,Hockey,hockey men
2,,,,Seoul 1988,Hockey,hockey men
3,,,,Seoul 1988,Hockey,hockey men
4,,,,Seoul 1988,Hockey,hockey men
5,,,,Seoul 1988,Hockey,hockey men
6,,,,Seoul 1988,Hockey,hockey men
7,,,,Seoul 1988,Hockey,hockey men
8,,,,Seoul 1988,Hockey,hockey men
9,,,,Seoul 1988,Hockey,hockey men
10,,,,Seoul 1988,Hockey,hockey men
11,,,,Seoul 1988,Hockey,hockey men
0,,,,Seoul 1988,Hockey,hockey women
1,,,,Seoul 1988,Hockey,hockey women
2,,,,Seoul 1988,Hockey,hockey women
3,,,,Seoul 1988,Hockey,hockey women
4,,,,Seoul 1988,Hockey,hockey women
5,,,,Seoul 1988,Hockey,hockey women
6,,,,Seoul 1988,Hockey,hockey women
7,,,,Seoul 1988,Hockey,hockey women
