,country,participant,result,olympic_game,discipline,event
0,FRA,thierry peponnet,34.7,Seoul 1988,Sailing,470 - Two Person Dinghy men
1,URS,toomas toniste,46.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
2,USA,charles mckee,51.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
3,ESP,francisco sanchez,55.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
4,FRG,joachim hunger,58.7,Seoul 1988,Sailing,470 - Two Person Dinghy men
5,NZL,peter evans,62.7,Seoul 1988,Sailing,470 - Two Person Dinghy men
6,ITA,paolo montefusco,68.7,Seoul 1988,Sailing,470 - Two Person Dinghy men
7,CAN,gordon mcilquham,71.7,Seoul 1988,Sailing,470 - Two Person Dinghy men
8,NED,markus drontmann,83.4,Seoul 1988,Sailing,470 - Two Person Dinghy men
9,BRA,carlos wanderley,83.7,Seoul 1988,Sailing,470 - Two Person Dinghy men
10,GDR,jurgen brietzke,86.7,Seoul 1988,Sailing,470 - Two Person Dinghy men
11,JPN,kenji nakamura,96.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
12,NOR,herman horn johannessen,96.7,Seoul 1988,Sailing,470 - Two Person Dinghy men
13,SWE,anders liljeblad,120.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
14,GBR,jason belben,124.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
15,FIN,johan von koskull,129.4,Seoul 1988,Sailing,470 - Two Person Dinghy men
16,IND,kelly rao,134.7,Seoul 1988,Sailing,470 - Two Person Dinghy men
17,ISR,dan noam torten,135.2,Seoul 1988,Sailing,470 - Two Person Dinghy men
18,ARG,guillermo parada,140.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
19,SUI,jodok wicki,141.6,Seoul 1988,Sailing,470 - Two Person Dinghy men
20,DEN,paul natorp,143.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
21,ISL,isleifur fridriksson,146.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
22,HUN,gyula nyari,151.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
23,AUT,christian binder,151.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
24,CHN,shan-feng yang,170.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
25,KOR,ki-chul park,177.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
26,SGP,shaw her siew,182.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
27,CYP,andreas karapatakis,187.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
28,PAK,javed rasool,187.0,Seoul 1988,Sailing,470 - Two Person Dinghy men
0,USA,allison blair jolly,26.7,Seoul 1988,Sailing,470 - Two Person Dinghy women
1,SWE,birgitta bengtsson,40.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
2,URS,larisa moskalenko,45.4,Seoul 1988,Sailing,470 - Two Person Dinghy women
3,FIN,annika lemström,47.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
4,FRG,susanne bauckholt,56.4,Seoul 1988,Sailing,470 - Two Person Dinghy women
5,AUS,nicky bethwaite,57.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
6,GDR,silke preuss,57.4,Seoul 1988,Sailing,470 - Two Person Dinghy women
7,FRA,florence le brun,81.7,Seoul 1988,Sailing,470 - Two Person Dinghy women
8,NZL,janet lee shearer,83.7,Seoul 1988,Sailing,470 - Two Person Dinghy women
9,ESP,patricia guerra cabrera,90.7,Seoul 1988,Sailing,470 - Two Person Dinghy women
10,CAN,karen johnson,93.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
11,ITA,nives monico,95.7,Seoul 1988,Sailing,470 - Two Person Dinghy women
12,NED,hendrika vegter,96.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
13,DEN,mette munch,97.7,Seoul 1988,Sailing,470 - Two Person Dinghy women
14,GBR,debbie jarvis,107.4,Seoul 1988,Sailing,470 - Two Person Dinghy women
15,BRA,marcia pellicano,124.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
16,JPN,aiko saito,131.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
17,IRL,aisling bowman,134.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
18,MEX,tania fierro,137.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
19,CHN,rui-li chen,154.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
20,KOR,hye-sook kim,161.0,Seoul 1988,Sailing,470 - Two Person Dinghy women
0,NZL,anthony bruce kendall,35.4,Seoul 1988,Sailing,Division II - Windsurfer men
1,AHO,jan d. boersma,42.7,Seoul 1988,Sailing,Division II - Windsurfer men
2,USA,michael william gebhardt,48.0,Seoul 1988,Sailing,Division II - Windsurfer men
3,NED,bartolomeus verschoor,53.4,Seoul 1988,Sailing,Division II - Windsurfer men
4,FRA,robert nagy,61.7,Seoul 1988,Sailing,Division II - Windsurfer men
5,ITA,francesco wirz,63.0,Seoul 1988,Sailing,Division II - Windsurfer men
6,ARG,jorge ruben garcia velazco,70.1,Seoul 1988,Sailing,Division II - Windsurfer men
7,ESP,carlos iniesta mira,81.7,Seoul 1988,Sailing,Division II - Windsurfer men
8,SUI,jan bonga,81.7,Seoul 1988,Sailing,Division II - Windsurfer men
9,AUS,christopher lawrence,86.4,Seoul 1988,Sailing,Division II - Windsurfer men
10,AUT,thomas wallner,91.0,Seoul 1988,Sailing,Division II - Windsurfer men
11,CAN,richard myerscough,97.2,Seoul 1988,Sailing,Division II - Windsurfer men
12,FRG,dirk meyer,99.0,Seoul 1988,Sailing,Division II - Windsurfer men
