,country,participant,result,olympic_game,discipline,event
0,YUG,jasna sekaric,489.5,Seoul 1988,Shooting,10m air pistol 40 shots women
1,URS,nino salukvadze,487.9,Seoul 1988,Shooting,10m air pistol 40 shots women
2,URS,marina dobrancheva,485.2,Seoul 1988,Shooting,10m air pistol 40 shots women
3,BEL,anne goffin,480.2,Seoul 1988,Shooting,10m air pistol 40 shots women
4,GDR,anke völker,479.3,Seoul 1988,Shooting,10m air pistol 40 shots women
5,CHN,hai-ying liu,476.9,Seoul 1988,Shooting,10m air pistol 40 shots women
6,FRG,liselotte angelika breker-moller,476.0,Seoul 1988,Shooting,10m air pistol 40 shots women
7,AUT,christine strahalm,472.6,Seoul 1988,Shooting,10m air pistol 40 shots women
8,SWE,cris kajd,,Seoul 1988,Shooting,10m air pistol 40 shots women
9,ESP,m. evangelina suarez garcia,,Seoul 1988,Shooting,10m air pistol 40 shots women
10,JPN,michiko fukushima,,Seoul 1988,Shooting,10m air pistol 40 shots women
11,POL,dorota bidolachowna,,Seoul 1988,Shooting,10m air pistol 40 shots women
12,FRA,evelyne manchon,,Seoul 1988,Shooting,10m air pistol 40 shots women
13,ROU,anisoara matei,,Seoul 1988,Shooting,10m air pistol 40 shots women
14,KOR,jung-hee park,,Seoul 1988,Shooting,10m air pistol 40 shots women
15,USA,kimberley sue dyer,,Seoul 1988,Shooting,10m air pistol 40 shots women
16,HUN,annamaria gonczi,,Seoul 1988,Shooting,10m air pistol 40 shots women
17,CHN,zhi-fang wen,,Seoul 1988,Shooting,10m air pistol 40 shots women
18,KOR,hyun-joo bang,,Seoul 1988,Shooting,10m air pistol 40 shots women
19,SWE,kerstin bodin,,Seoul 1988,Shooting,10m air pistol 40 shots women
20,FRG,margit stein,,Seoul 1988,Shooting,10m air pistol 40 shots women
21,JPN,hisayo chikusa,,Seoul 1988,Shooting,10m air pistol 40 shots women
22,USA,ruby ellen fox,,Seoul 1988,Shooting,10m air pistol 40 shots women
23,GRE,agi kasoumi,,Seoul 1988,Shooting,10m air pistol 40 shots women
24,YUG,eszter poljak,,Seoul 1988,Shooting,10m air pistol 40 shots women
25,AUS,valerie winter,,Seoul 1988,Shooting,10m air pistol 40 shots women
26,MGL,altantsetseg byambajavyn,,Seoul 1988,Shooting,10m air pistol 40 shots women
27,BRA,tânia mara fassoni-giansante,,Seoul 1988,Shooting,10m air pistol 40 shots women
28,HUN,agnes ferencz,,Seoul 1988,Shooting,10m air pistol 40 shots women
29,TCH,yvonna jezova,,Seoul 1988,Shooting,10m air pistol 40 shots women
30,BRA,maria amaral,,Seoul 1988,Shooting,10m air pistol 40 shots women
31,INA,selviana adrian-sofyan,,Seoul 1988,Shooting,10m air pistol 40 shots women
32,FRA,rachel morin,,Seoul 1988,Shooting,10m air pistol 40 shots women
33,SUI,francine antonietti,,Seoul 1988,Shooting,10m air pistol 40 shots women
34,GBR,margaret thomas,,Seoul 1988,Shooting,10m air pistol 40 shots women
35,SGP,khatijan surattee,,Seoul 1988,Shooting,10m air pistol 40 shots women
36,ECU,ines margraff,,Seoul 1988,Shooting,10m air pistol 40 shots women
0,BUL,tanyu kiriakov,687.9,Seoul 1988,Shooting,10m air pistol 60 shots men
1,USA,erich buljung,687.9,Seoul 1988,Shooting,10m air pistol 60 shots men
2,CHN,haifeng xu,684.5,Seoul 1988,Shooting,10m air pistol 60 shots men
3,ROU,sorin babii,683.3,Seoul 1988,Shooting,10m air pistol 60 shots men
4,URS,igor basinski,683.2,Seoul 1988,Shooting,10m air pistol 60 shots men
5,TCH,miroslav ruzicka,681.4,Seoul 1988,Shooting,10m air pistol 60 shots men
6,POL,jerzy pietrzak,678.3,Seoul 1988,Shooting,10m air pistol 60 shots men
7,URS,boris kokorev,677.3,Seoul 1988,Shooting,10m air pistol 60 shots men
8,GDR,gernot eder,,Seoul 1988,Shooting,10m air pistol 60 shots men
9,GDR,jens potteck,,Seoul 1988,Shooting,10m air pistol 60 shots men
10,SWE,ragnar skanåker,,Seoul 1988,Shooting,10m air pistol 60 shots men
11,FRA,philippe cola,,Seoul 1988,Shooting,10m air pistol 60 shots men
12,JPN,mamoru inagaki,,Seoul 1988,Shooting,10m air pistol 60 shots men
13,FRG,arndt kaspar,,Seoul 1988,Shooting,10m air pistol 60 shots men
14,AUS,phillip maxwell adams,,Seoul 1988,Shooting,10m air pistol 60 shots men
15,SWE,bengt kamis,,Seoul 1988,Shooting,10m air pistol 60 shots men
