,country,participant,result,olympic_game,discipline,event
0,JPN,daichi suzuki,,Seoul 1988,Swimming,100m backstroke men
1,USA,david charles berkoff,,Seoul 1988,Swimming,100m backstroke men
2,URS,igor polyanski,,Seoul 1988,Swimming,100m backstroke men
3,URS,sergei zabolotnov,,Seoul 1988,Swimming,100m backstroke men
4,CAN,mark tewksbury,,Seoul 1988,Swimming,100m backstroke men
5,GDR,frank baltrusch,,Seoul 1988,Swimming,100m backstroke men
6,FRG,frank hoffmeister,,Seoul 1988,Swimming,100m backstroke men
7,CAN,sean murphy,,Seoul 1988,Swimming,100m backstroke men
8,GDR,dirk richter,,Seoul 1988,Swimming,100m backstroke men
9,FRA,franck schott,,Seoul 1988,Swimming,100m backstroke men
10,USA,jay paul mortenson,,Seoul 1988,Swimming,100m backstroke men
11,JPN,shigemori maruyama,,Seoul 1988,Swimming,100m backstroke men
12,BUL,georghi petrov mikhalev,,Seoul 1988,Swimming,100m backstroke men
13,SGP,david f.j. lim,,Seoul 1988,Swimming,100m backstroke men
14,PUR,manuel guzman flores,,Seoul 1988,Swimming,100m backstroke men
15,ISL,eðvarð þór eðvarðsson,,Seoul 1988,Swimming,100m backstroke men
16,FRG,jens-peter berndt,,Seoul 1988,Swimming,100m backstroke men
17,CHN,laijiu lin,,Seoul 1988,Swimming,100m backstroke men
18,NZL,paul kingsman,,Seoul 1988,Swimming,100m backstroke men
19,BRA,rogerio romero,,Seoul 1988,Swimming,100m backstroke men
20,DEN,lars sörensen,,Seoul 1988,Swimming,100m backstroke men
21,GBR,neil john harper,,Seoul 1988,Swimming,100m backstroke men
22,ESP,martin lopez zubero,,Seoul 1988,Swimming,100m backstroke men
23,SUI,patrick ferland,,Seoul 1988,Swimming,100m backstroke men
24,GBR,neil cochran,,Seoul 1988,Swimming,100m backstroke men
25,PER,alejandro luis alvizuri mack,,Seoul 1988,Swimming,100m backstroke men
26,AUS,carl wilson,,Seoul 1988,Swimming,100m backstroke men
27,HUN,tamas deutsch,,Seoul 1988,Swimming,100m backstroke men
28,IRL,stephen cullen,,Seoul 1988,Swimming,100m backstroke men
29,TCH,pavel vokoun,,Seoul 1988,Swimming,100m backstroke men
30,FRA,renaud boucher,,Seoul 1988,Swimming,100m backstroke men
31,AUS,simon upton,,Seoul 1988,Swimming,100m backstroke men
32,MEX,ernesto vela,,Seoul 1988,Swimming,100m backstroke men
33,GRE,ilias malamas,,Seoul 1988,Swimming,100m backstroke men
34,CHN,guo-xiong huang,,Seoul 1988,Swimming,100m backstroke men
35,IRL,richard gheel,,Seoul 1988,Swimming,100m backstroke men
36,ITA,valerio giambalvo,,Seoul 1988,Swimming,100m backstroke men
37,BRA,wladimir ribeiro,,Seoul 1988,Swimming,100m backstroke men
38,EGY,amin amer,,Seoul 1988,Swimming,100m backstroke men
39,KOR,dong-pil park,,Seoul 1988,Swimming,100m backstroke men
40,GUM,patrick sagisi,,Seoul 1988,Swimming,100m backstroke men
41,CRC,horst niehaus,,Seoul 1988,Swimming,100m backstroke men
42,HKG,hor-man yip,,Seoul 1988,Swimming,100m backstroke men
43,ZIM,brett halford,,Seoul 1988,Swimming,100m backstroke men
44,CRC,eric greenwood,,Seoul 1988,Swimming,100m backstroke men
45,HON,rodolfo barahona,,Seoul 1988,Swimming,100m backstroke men
46,SEN,bruno n'diaye,,Seoul 1988,Swimming,100m backstroke men
47,SMR,filippo piva,,Seoul 1988,Swimming,100m backstroke men
48,UAE,mohammed alghafri,,Seoul 1988,Swimming,100m backstroke men
49,LBN,rami kantari,,Seoul 1988,Swimming,100m backstroke men
50,UAE,mohammed bin abid,,Seoul 1988,Swimming,100m backstroke men
51,SWZ,yul mark du pont,,Seoul 1988,Swimming,100m backstroke men
52,BAR,paul yelle,Did not start,Seoul 1988,Swimming,100m backstroke men
53,IND,ranjoy punja,Did not start,Seoul 1988,Swimming,100m backstroke men
0,GDR,kristin otto,,Seoul 1988,Swimming,100m backstroke women
1,HUN,krisztina egerszegi,,Seoul 1988,Swimming,100m backstroke women
2,GDR,cornelia sirch,,Seoul 1988,Swimming,100m backstroke women
3,USA,elizabeth mitchell,,Seoul 1988,Swimming,100m backstroke women
4,USA,elizabeth cynthia barr,,Seoul 1988,Swimming,100m backstroke women
5,CRC,silvia poll ahrens,,Seoul 1988,Swimming,100m backstroke women
6,AUS,nicole livingstone,,Seoul 1988,Swimming,100m backstroke women
7,FRG,marion aizpors,,Seoul 1988,Swimming,100m backstroke women
8,ROU,aneta patrascoiu,,Seoul 1988,Swimming,100m backstroke women
9,FRG,svenja schlicht,,Seoul 1988,Swimming,100m backstroke women
10,ITA,manuela carosi,,Seoul 1988,Swimming,100m backstroke women
11,CAN,lori melien,,Seoul 1988,Swimming,100m backstroke women
12,ITA,lorenza vigarani,,Seoul 1988,Swimming,100m backstroke women
13,NED,jolanda de rover,,Seoul 1988,Swimming,100m backstroke women
14,NZL,sharon musson,,Seoul 1988,Swimming,100m backstroke women
15,GBR,kathy read,,Seoul 1988,Swimming,100m backstroke women
16,AUS,karen lord,,Seoul 1988,Swimming,100m backstroke women
17,GBR,sharon louise page,,Seoul 1988,Swimming,100m backstroke women
18,BUL,bistra gospodinova,,Seoul 1988,Swimming,100m backstroke women
19,FRA,laurence guillou,,Seoul 1988,Swimming,100m backstroke women
20,SUI,eva gysling,,Seoul 1988,Swimming,100m backstroke women
21,SWE,johanna larsson,,Seoul 1988,Swimming,100m backstroke women
22,CHN,bo-lin wang,,Seoul 1988,Swimming,100m backstroke women
23,JPN,satoko morishita,,Seoul 1988,Swimming,100m backstroke women
24,NZL,sylvia hume,,Seoul 1988,Swimming,100m backstroke women
25,JPN,tomoko onogi,,Seoul 1988,Swimming,100m backstroke women
26,IRL,michelle marie smith,,Seoul 1988,Swimming,100m backstroke women
27,PHI,gillian akiko thomson,,Seoul 1988,Swimming,100m backstroke women
28,IRL,aileen convery,,Seoul 1988,Swimming,100m backstroke women
29,KOR,ji-hee hong,,Seoul 1988,Swimming,100m backstroke women
30,PUR,rita jean garay massey,,Seoul 1988,Swimming,100m backstroke women
31,TPE,chi wang,,Seoul 1988,Swimming,100m backstroke women
32,HON,ana castellanos fortin,,Seoul 1988,Swimming,100m backstroke women
33,ISV,patricia duncan,,Seoul 1988,Swimming,100m backstroke women
34,HKG,wing-sze tsang,,Seoul 1988,Swimming,100m backstroke women
35,FIJ,sharon tania pickering,,Seoul 1988,Swimming,100m backstroke women
36,FIJ,angela birch,,Seoul 1988,Swimming,100m backstroke women
37,BOL,katerine moreno maiser,,Seoul 1988,Swimming,100m backstroke women
38,ANG,elsa vicente freire,,Seoul 1988,Swimming,100m backstroke women
39,MOZ,carolina araujo,,Seoul 1988,Swimming,100m backstroke women
40,ANG,carla fernandes,,Seoul 1988,Swimming,100m backstroke women
0,GBR,adrian david moorhouse,,Seoul 1988,Swimming,100m breaststroke men
1,HUN,karoly guttler,,Seoul 1988,Swimming,100m breaststroke men
2,URS,dmitri volkov,,Seoul 1988,Swimming,100m breaststroke men
3,CAN,victor davis,,Seoul 1988,Swimming,100m breaststroke men
4,HUN,tamas debnar,,Seoul 1988,Swimming,100m breaststroke men
5,USA,richard alan schroeder,,Seoul 1988,Swimming,100m breaststroke men
6,ITA,gianni minervini,,Seoul 1988,Swimming,100m breaststroke men
7,GDR,christian poswiat,,Seoul 1988,Swimming,100m breaststroke men
8,URS,aleksey matveyev,,Seoul 1988,Swimming,100m breaststroke men
9,NED,ronald dekker,,Seoul 1988,Swimming,100m breaststroke men
10,FRG,mark warnecke,,Seoul 1988,Swimming,100m breaststroke men
11,FRG,alexander mayer,,Seoul 1988,Swimming,100m breaststroke men
12,JPN,hironobu nagahata,,Seoul 1988,Swimming,100m breaststroke men
13,FIN,petri juhani suominen,,Seoul 1988,Swimming,100m breaststroke men
14,USA,daniel l. watters,,Seoul 1988,Swimming,100m breaststroke men
15,CHN,jianhong chen,,Seoul 1988,Swimming,100m breaststroke men
16,GBR,james guy parrack,,Seoul 1988,Swimming,100m breaststroke men
17,JPN,kenji watanabe,,Seoul 1988,Swimming,100m breaststroke men
18,COL,pablo restrepo,,Seoul 1988,Swimming,100m breaststroke men
19,GDR,raik hannemann,,Seoul 1988,Swimming,100m breaststroke men
20,SUI,pierre yves eberle,,Seoul 1988,Swimming,100m breaststroke men
21,AUS,ian mcadam,,Seoul 1988,Swimming,100m breaststroke men
22,FRA,david leblanc,,Seoul 1988,Swimming,100m breaststroke men
23,TPE,hsin-yen tsai,,Seoul 1988,Swimming,100m breaststroke men
24,TCH,radek beinhauer,,Seoul 1988,Swimming,100m breaststroke men
25,KOR,ju-il yun,,Seoul 1988,Swimming,100m breaststroke men
26,SUI,etienne dagon,,Seoul 1988,Swimming,100m breaststroke men
27,TCH,alexander marcek,,Seoul 1988,Swimming,100m breaststroke men
28,AUT,thomas bohm,,Seoul 1988,Swimming,100m breaststroke men
29,CHN,fu jin,,Seoul 1988,Swimming,100m breaststroke men
30,CAN,cameron grant,,Seoul 1988,Swimming,100m breaststroke men
31,ESP,joaquin fernandez corredor,,Seoul 1988,Swimming,100m breaststroke men
32,BEL,sidney appelboom,,Seoul 1988,Swimming,100m breaststroke men
33,IRL,gary charles o'toole,,Seoul 1988,Swimming,100m breaststroke men
34,MEX,javier careaga taguena,,Seoul 1988,Swimming,100m breaststroke men
35,FRA,cédric pénicaud,,Seoul 1988,Swimming,100m breaststroke men
36,BRA,cicero torteli,,Seoul 1988,Swimming,100m breaststroke men
37,NOR,jan-erick olsen,,Seoul 1988,Swimming,100m breaststroke men
38,NZL,anthony beks,,Seoul 1988,Swimming,100m breaststroke men
39,POR,alexandre yokochi,,Seoul 1988,Swimming,100m breaststroke men
40,SGP,yue-meng ng,,Seoul 1988,Swimming,100m breaststroke men
41,ISR,eyal shtigman,,Seoul 1988,Swimming,100m breaststroke men
42,ESP,sergio lopez miro,,Seoul 1988,Swimming,100m breaststroke men
43,INA,wirmandi sugriat,,Seoul 1988,Swimming,100m breaststroke men
44,BEL,luc van de vondel,,Seoul 1988,Swimming,100m breaststroke men
45,NZL,richard lockhart,,Seoul 1988,Swimming,100m breaststroke men
46,GRE,nikolaos fokianos,,Seoul 1988,Swimming,100m breaststroke men
47,DEN,lars sörensen,,Seoul 1988,Swimming,100m breaststroke men
48,PAN,manuel gutierrez,,Seoul 1988,Swimming,100m breaststroke men
49,PHI,lee patrick concepcion,,Seoul 1988,Swimming,100m breaststroke men
50,ISL,arnthor ragnarsson,,Seoul 1988,Swimming,100m breaststroke men
51,HKG,kam-sing watt,,Seoul 1988,Swimming,100m breaststroke men
52,BER,victor ruberry,,Seoul 1988,Swimming,100m breaststroke men
53,VIE,hoai nam quach,,Seoul 1988,Swimming,100m breaststroke men
54,ISV,kraig singleton,,Seoul 1988,Swimming,100m breaststroke men
55,SMR,michele piva,,Seoul 1988,Swimming,100m breaststroke men
56,LBN,amine el-domyati,,Seoul 1988,Swimming,100m breaststroke men
57,BAN,mohamed bazlur rahman,,Seoul 1988,Swimming,100m breaststroke men
58,ANG,gaspar fragata,,Seoul 1988,Swimming,100m breaststroke men
59,UAE,obaid al rumaithi,,Seoul 1988,Swimming,100m breaststroke men
60,ANG,vivaldo fernades,,Seoul 1988,Swimming,100m breaststroke men
61,SWZ,trevor ncala,Did not start,Seoul 1988,Swimming,100m breaststroke men
0,BUL,tania bogomilova-dangalakova,,Seoul 1988,Swimming,100m breaststroke women
