,country,participant,result,olympic_game,discipline,event
0,,,,Seoul 1988,Water Polo,water polo men
1,,,,Seoul 1988,Water Polo,water polo men
2,,,,Seoul 1988,Water Polo,water polo men
3,,,,Seoul 1988,Water Polo,water polo men
4,,,,Seoul 1988,Water Polo,water polo men
5,,,,Seoul 1988,Water Polo,water polo men
6,,,,Seoul 1988,Water Polo,water polo men
7,,,,Seoul 1988,Water Polo,water polo men
8,,,,Seoul 1988,Water Polo,water polo men
9,,,,Seoul 1988,Water Polo,water polo men
10,,,,Seoul 1988,Water Polo,water polo men
11,,,,Seoul 1988,Water Polo,water polo men
